L2 R D' F U' L2
L2 R D2 F B2 U'
L2 R D2 B2 F U'
L2 R F U2 F U
F2 L' U2 L' F U'
B' L' F2 L' R U
B' L' F2 R L' U
R L2 D' F U' L2
R L2 D2 F B2 U'
R L2 D2 B2 F U'
R L2 F U2 F U
R L2 F U2 F U
L2 D' R F U' L2
L2 D2 R F B2 U'
L2 D2 R B2 F U'
L2 D2 B2 R F U'
R F L2 F B' U'
R F L2 B' F U'
L2 F U2 F L' U
F2 D B' L' U F2
F2 D2 R2 B' L' U
F2 D2 B' L' R2 U
F2 D2 B' R2 L' U
F2 B' L' U2 L' U'
F2 B' D L' U F2
F2 B' D2 L' R2 U
F2 B' D2 R2 L' U
B' F2 L' U2 L' U'
B' F2 D L' U F2
B' F2 D2 L' R2 U
B' F2 D2 R2 L' U
L2 R U2 F2 U2 F' U'
L2 R D F U R2 U2
L2 R D F U' D2 L2
L2 R D F D B2 U'
L2 R D F D2 U' L2
L R D' L F U' L
R L D' L F U' L
L2 R D' F U' L2 D
L2 R D' F U' L2 D'
L2 R D' F U' L2 D2
L2 R D' F D' B2 U'
L2 R D' F B U' L2
L2 R D' F B' U' L2
L2 R D' F B2 U' L2
L2 R D' B F U' L2
L2 R D' B' F U' L2
L2 R D' B2 F U' L2
L R D2 L F B2 U'
L R D2 L B2 F U'
R L D2 L F B2 U'
R L D2 L B2 F U'
L2 R D2 F U' D L2
L2 R D2 F D U' L2
L2 R D2 F B2 U' D
L2 R D2 F B2 U' D'
L2 R D2 F B2 U' D2
L2 R D2 F B2 D U'
L2 R D2 F B2 D' U'
L2 R D2 F B2 D2 U'
L2 R D2 B2 D F U'
L2 R D2 B2 D' F U'
L2 R D2 B2 D2 F U'
L2 R D2 B2 F U' D
L2 R D2 B2 F U' D'
L2 R D2 B2 F U' D2
L2 R D2 B2 F D U'
L2 R D2 B2 F D' U'
L2 R D2 B2 F D2 U'
L2 R F L2 B' L2 U'
L2 R F U2 D F U
L2 R F U2 D' F U
L2 R F U2 D2 F U
L2 R F U2 F U D
L2 R F U2 F U D'
L2 R F U2 F U D2
L2 R F U2 F D U
L2 R F U2 F D' U
L2 R F U2 F D2 U
L2 R F D U2 F U
L2 R F D' U2 F U
L2 R F D2 U2 F U
L2 R F B U2 F U
L2 R F B' U2 F U
L2 R F B2 U2 F U
L2 R B D' F U' L2
L2 R B D2 F B2 U'
L2 R B D2 B2 F U'
L2 R B F U2 F U
B' L F2 L' U D F2
B' L F2 L' U2 L2 U'
B' L F2 L' D U F2
B' L F2 L' D2 R2 U
L2 R B' D' F U' L2
L2 R B' D2 F B2 U'
L2 R B' D2 B2 F U'
L2 R B' F U2 F U
B L F2 B2 L' R' U
B L F2 B2 R' L' U
L2 R B2 D' F U' L2
L2 R B2 D2 F B2 U'
L2 R B2 D2 B2 F U'
L2 R B2 F U2 F U
B L B2 F2 L' R' U
F2 L' R U2 L' F U'
B L B2 F2 R' L' U
F2 L' R' U2 L' F U'
F2 L' R2 U2 L' F U'
L2 R' D' F U' L2 B'
L2 R' F R2 U2 F U
F2 L' U2 L' D F U'
F2 L' U2 L' D' F U'
F2 L' U2 L' D2 F U'
F2 L' U2 L' F U' D
F2 L' U2 L' F U' D'
F2 L' U2 L' F U' D2
F2 L' U2 L' F D U'
F2 L' U2 L' F D' U'
F2 L' U2 L' F D2 U'
L2 R' F' R2 F2 B U'
L2 R' F' R2 B F2 U'
B' L' F2 L' R U D
B' L' F2 L' R U D'
B' L' F2 L' R U D2
B' L' F2 L' R D U
B' L' F2 L' R D' U
B' L' F2 L' R D2 U
B' L' F2 L' D R U
B' L' F2 L' D' R U
B' L' F2 L' D2 R U
B' L' F2 R L' U D
B' L' F2 R L' U D'
B' L' F2 R L' U D2
B' L' F2 R L' D U
B' L' F2 R L' D' U
B' L' F2 R L' D2 U
B' L' F2 R D L' U
B' L' F2 R D' L' U
B' L' F2 R D2 L' U
B2 L' F2 L' B R U
B L' F2 L' R B2 U
B L' F2 L' B2 R U
B L' F2 R L' B2 U
B L' F2 R B2 L' U
B' L' F2 D L' R U
B' L' F2 D R L' U
B' L' F2 D' L' R U
B' L' F2 D' R L' U
B' L' F2 D2 L' R U
B' L' F2 D2 R L' U
B2 L' F2 B L' R U
B2 L' F2 B R L' U
B L' F2 B2 L' R U
B L' F2 B2 R L' U
F2 L' B U2 L' F U'
B2 L' B F2 L' R U
B2 L' B F2 R L' U
R L2 U2 F2 U2 F' U'
F2 L' B' U2 L' F U'
R L2 D F U R2 U2
R L2 D F U' D2 L2
R L2 D F D B2 U'
R L2 D F D2 U' L2
R' L2 D' F U' L2 B'
L2 R2 D' R' F U' L2
R2 L2 D' R' F U' L2
F2 L' B2 U2 L' F U'
L2 R2 D' F R' U' L2
R2 L2 D' F R' U' L2
R L2 D' F U' L2 D
R L2 D' F U' L2 D'
R L2 D' F U' L2 D2
R L2 D' F D' B2 U'
R L2 D' F B U' L2
R L2 D' F B' U' L2
R L2 D' F B2 U' L2
B L' B2 F2 L' R U
B L' B2 F2 R L' U
R L2 D' B F U' L2
U' L2 R D' F U' L2
R L2 D' B' F U' L2
F' L2 R F R B U'
B L2 R U' D' L2 R2
B L2 R U' D' R2 L2
U' L2 R D2 F B2 U'
R L2 D' B2 F U' L2
U' L2 R D2 B2 F U'
L2 R2 D2 R' F B2 U'
U' L2 R F U2 F U
B L2 R U2 F2 B2 U
L2 R2 D2 R' B2 F U'
U2 L2 R D' F U' L2
B L2 R U2 B2 F2 U
R2 L2 D2 R' F B2 U'
R2 L2 D2 R' B2 F U'
U2 L2 R D2 F B2 U'
U2 L2 R D2 B2 F U'
B L2 R D' U' L2 R2
B L2 R D' U' R2 L2
U2 L2 R F U2 F U
B L2 R D2 F2 B2 U'
B L2 R D2 B2 F2 U'
D L2 R F U' F L'
L2 R2 D2 F R' B2 U'
R2 L2 D2 F R' B2 U'
U L2 R D' F U' L2
U L2 R D2 F B2 U'
U L2 R D2 B2 F U'
U L2 R F U2 F U
R L2 D2 F U' D L2
R L2 D2 F D U' L2
R L2 D2 F B2 U' D
R L2 D2 F B2 U' D'
R L2 D2 F B2 U' D2
R L2 D2 F B2 D U'
R L2 D2 F B2 D' U'
R L2 D2 F B2 D2 U'
R' L2 F R2 U2 F U
R L2 D2 B2 D F U'
R L2 D2 B2 D' F U'
R L2 D2 B2 D2 F U'
R L2 D2 B2 F U' D
R L2 D2 B2 F U' D'
R L2 D2 B2 F U' D2
R L2 D2 B2 F D U'
R L2 D2 B2 F D' U'
R L2 D2 B2 F D2 U'
L2 R2 F R' U2 F U
R2 L2 F R' U2 F U
R L2 F L2 B' L2 U'
R L2 F U2 D F U
R L2 F U2 D' F U
R L2 F U2 D2 F U
R L2 F U2 F U D
R L2 F U2 F U D'
R L2 F U2 F U D2
R L2 F U2 F D U
R L2 F U2 F D' U
R L2 F U2 F D2 U
F' L2 R2 F B R U'
R L2 F D U2 F U
R' L2 F' R2 F2 B U'
R' L2 F' R2 B F2 U'
R L2 F D' U2 F U
R L2 F D2 U2 F U
F' L2 R2 B F R U'
R L2 F B U2 F U
R L2 F B' U2 F U
R L2 F B2 U2 F U
R L2 B D' F U' L2
R L2 B D2 F B2 U'
R L2 B D2 B2 F U'
B2 L2 U2 F2 L' B U
R L2 B F U2 F U
B2 L2 U2 F2 B L' U
B2 L2 U2 B F2 L' U
B L2 U2 F2 L' B2 U
B L2 U2 F2 B2 L' U
B L2 U2 B2 F2 L' U
R L2 B' D' F U' L2
R L2 B' D2 F B2 U'
R L2 B' D2 B2 F U'
R L2 B' F U2 F U
U' L2 D' R F U' L2
U2 L2 D' R F U' L2
B L2 D' R U' L2 R
B L2 D' R U' R L2
R L2 B2 D' F U' L2
R L2 B2 D2 F B2 U'
R L2 B2 D2 B2 F U'
U L2 D' R F U' L2
R L2 B2 F U2 F U
U' L2 D2 R F B2 U'
U' L2 D2 R B2 F U'
U2 L2 D2 R F B2 U'
U2 L2 D2 R B2 F U'
B L2 D2 R F2 B2 U'
B L2 D2 R B2 F2 U'
U L2 D2 R F B2 U'
U L2 D2 R B2 F U'
U' L2 D2 B2 R F U'
U2 L2 D2 B2 R F U'
F' L2 F R U' D' L2
F' L2 F R U2 F2 U
F' L2 F R D' U' L2
F' L2 F R D2 B2 U'
B L2 D2 B2 R F2 U'
U' L2 F U2 F L' U
F' L2 F U2 F2 L' U
U L2 D2 B2 R F U'
F' L2 F D' R U' L2
F2 L2 F U2 L F' U
U2 L2 F U2 F L' U
F2 L2 F U2 F' L U
F' L2 F D2 R B2 U'
F' L2 F D2 B2 R U'
U L2 F U2 F L' U
F L2 F B' U2 L' U
F L2 F' R F2 B' U'
F L2 F' R B' F2 U'
B' L2 F2 L' U2 L U'
F L2 F' B' R F2 U'
B L2 F2 L' B2 R' U
F L2 B' F U2 L' U
F L2 B' F' R F2 U'
F2 R L' U2 L' F U'
U' R L2 D' F U' L2
U' R L2 D2 F B2 U'
F' R L2 F R B U'
U' R L2 D2 B2 F U'
U' R L2 F U2 F U
B R L2 U' D' L2 R2
B R L2 U' D' R2 L2
U2 R L2 D' F U' L2
U2 R L2 D2 F B2 U'
B R L2 U2 F2 B2 U
B R L2 U2 B2 F2 U
U2 R L2 D2 B2 F U'
U2 R L2 F U2 F U
B R L2 D' U' L2 R2
B R L2 D' U' R2 L2
B R L2 D2 F2 B2 U'
D R L2 F U' F L'
B R L2 D2 B2 F2 U'
U R L2 D' F U' L2
U R L2 D2 F B2 U'
U R L2 D2 B2 F U'
U R L2 F U2 F U
D' R U2 B' U L2 F
D R U2 B' U F2 L'
F2 R D B' L' U F2
F2 R D2 R2 B' L' U
F2 R D2 B' L' R2 U
F2 R D2 B' R2 L' U
U' R F L2 F B' U'
U' R F L2 B' F U'
U2 R F L2 F B' U'
U2 R F L2 B' F U'
U R F L2 F B' U'
U R F L2 B' F U'
F2 R B' L' U2 L' U'
F2 R B' D L' U F2
F2 R B' D2 L' R2 U
F2 R B' D2 R2 L' U
D2 R B2 U2 B R U
F2 R' L' U2 L' F U'
F2 R' D B' L' U F2
F2 R' D2 R2 B' L' U
F2 R' D2 B' L' R2 U
F2 R' D2 B' R2 L' U
L2 U2 L' F2 L' B' U
L2 U2 L2 F2 B' L' U
L2 U2 L2 B' F2 L' U
B' R' F2 U D F2 B2
B' R' F2 U D B2 F2
B' R' F2 U2 L2 R2 U'
B' R' F2 U2 R2 L2 U'
B' R' F2 D U F2 B2
B' R' F2 D U B2 F2
B' R' F2 D2 L2 R2 U
B' R' F2 D2 R2 L2 U
F2 R' B' L' U2 L' U'
D2 R' B2 L R2 F' U'
F2 R' B' D L' U F2
F2 R' B' D2 L' R2 U
F2 R' B' D2 R2 L' U
D2 R' B2 R2 L F' U'
D2 R' B2 R2 F' L U'
R U2 D' B' U L2 F
F2 R2 L' U2 L' F U'
F' R2 L2 F B R U'
F' R2 L2 B F R U'
L2 U2 F2 L' U2 F' U'
R U2 F2 U2 L2 F U'
R U2 F2 D B' U F2
R U2 F2 D2 R2 B' U
R U2 F2 D2 B' R2 U
R U2 F2 B' U D F2
R U2 F2 B' U2 L2 U'
R U2 F2 B' D U F2
R U2 F2 B' D2 R2 U
F2 R2 D B' L' U F2
R U2 B' F2 U D F2
R U2 B' F2 U2 L2 U'
R U2 B' F2 D U F2
R U2 B' F2 D2 R2 U
F2 R2 D2 R2 B' L' U
F2 R2 D2 B' L' R2 U
F2 R2 D2 B' R2 L' U
B' R2 F2 U2 L2 R' U'
B' R2 F2 U2 R' L2 U'
F2 R2 B' L' U2 L' U'
F2 R2 B' D L' U F2
F2 R2 B' D2 L' R2 U
F2 R2 B' D2 R2 L' U
L D' L R F U' L
L2 D' R D' F B2 U'
L2 D' R D' B2 F U'
L2 D' R F U' L2 D
L2 D' R F U' L2 D'
L2 D' R F U' L2 D2
L2 D' R F D' B2 U'
L2 D' R F B U' L2
L2 D' R F B' U' L2
L2 D' R F B2 U' L2
L D' R L F U' L
L2 D' R B F U' L2
L2 D' R B' F U' L2
L2 D' R B2 F U' L2
L2 D' R' F R2 U' L2
L2 D' R2 F R' U' L2
R D' U2 B' U L2 F
L2 D' B R F U' L2
L2 D' B' R F U' L2
L2 D' B2 R F U' L2
L' D2 L' R F' B2 U'
L' D2 L' R B2 F' U'
L D2 L R F B2 U'
L D2 L R B2 F U'
L' D2 L' B2 R F' U'
L D2 L B2 R F U'
L' D2 R L' F' B2 U'
L' D2 R L' B2 F' U'
L' D2 R B2 L' F' U'
L2 D2 R D F U' L2
L2 D2 R F U' D L2
L2 D2 R F D U' L2
L2 D2 R F B2 U' D
L2 D2 R F B2 U' D'
L2 D2 R F B2 U' D2
L2 D2 R F B2 D U'
L2 D2 R F B2 D' U'
L2 D2 R F B2 D2 U'
L2 D2 R B2 D F U'
L2 D2 R B2 D' F U'
L2 D2 R B2 D2 F U'
L2 D2 R B2 F U' D
L2 D2 R B2 F U' D'
L2 D2 R B2 F U' D2
L2 D2 R B2 F D U'
L2 D2 R B2 F D' U'
L2 D2 R B2 F D2 U'
L D2 R L F B2 U'
L D2 R L B2 F U'
L2 D2 R' F R2 B2 U'
L2 D2 R' F B2 R2 U'
L2 D2 R' B2 R2 F U'
L2 D2 R' B2 F R2 U'
R' D2 R2 B' L2 F U
L2 D2 R2 F R' B2 U'
B' U2 L2 R U' D' L2
B' U2 L2 R U2 F2 U
B' U2 L2 R D' U' L2
B' U2 L2 R D2 B2 U'
B' U2 L2 U2 F2 L' U
B' U2 L2 D' R U' L2
B' U2 L2 D2 R B2 U'
B' U2 L2 D2 B2 R U'
F2 U2 L2 F U2 L U
B' U2 R L2 U' D' L2
B' U2 R L2 U2 F2 U
B' U2 R L2 D' U' L2
B' U2 R L2 D2 B2 U'
R' D2 B' L2 R2 F U
R' D2 B' L2 F R2 U
R' D2 B' R2 L2 F U
L2 D2 B' R F B' U'
L2 D2 B' R B' F U'
L' D2 B2 L' R F' U'
B' U2 D R U' F2 L'
L' D2 B2 R L' F' U'
L2 D2 B2 R D F U'
L2 D2 B2 R D' F U'
L2 D2 B2 R D2 F U'
L2 D2 B2 R F U' D
L2 D2 B2 R F U' D'
L2 D2 B2 R F U' D2
L2 D2 B2 R F D U'
L2 D2 B2 R F D' U'
L2 D2 B2 R F D2 U'
L2 D2 B2 R' F R2 U'
L2 D2 B2 R2 F R' U'
L2 D2 B2 D R F U'
L2 D2 B2 D' R F U'
L2 D2 B2 D2 R F U'
R D2 B2 U2 B R2 U
R' F L2 R2 F B' U'
R' F L2 R2 B' F U'
F2 U2 F L2 F R U'
R' F L2 F R2 B' U'
R' F L2 F B' R2 U'
R' F L2 B' R2 F U'
R' F L2 B' F R2 U'
R2 F L2 R' F B' U'
R2 F L2 R' B' F U'
R2 F L2 F R' B' U'
L2 F R U2 F L' U
F2 U2 F2 L2 R F U'
F2 U2 F2 R L2 F U'
R F L2 D F B' U'
R F L2 D B' F U'
R F L2 D' F B' U'
R F L2 D' B' F U'
R F L2 D2 F B' U'
R F L2 D2 B' F U'
R F L2 F D B' U'
R F L2 F D' B' U'
R F L2 F D2 B' U'
R F L2 F B' U' D
R F L2 F B' U' D'
R F L2 F B' U' D2
R F L2 F B' D U'
R F L2 F B' D' U'
R F L2 F B' D2 U'
R F L2 B' D F U'
R F L2 B' D' F U'
R F L2 B' D2 F U'
R F L2 B' F U' D
R F L2 B' F U' D'
R F L2 B' F U' D2
R F L2 B' F D U'
R F L2 B' F D' U'
R F L2 B' F D2 U'
R' F R2 L2 F B' U'
R' F R2 L2 B' F U'
L2 F R' U2 F L' U
R2 F R' L2 F B' U'
R2 F R' L2 B' F U'
L2 F R2 U2 F L' U
L2 F U2 F L' U D
L2 F U2 F L' U D'
L2 F U2 F L' U D2
L2 F U2 F L' D U
L2 F U2 F L' D' U
L2 F U2 F L' D2 U
L2 F U2 F D L' U
L2 F U2 F D' L' U
L2 F U2 F D2 L' U
F2 D R B' L' U F2
F2 D R' B' L' U F2
L2 F B U2 F L' U
F2 D R2 B' L' U F2
L2 F B' U2 F L' U
L2 F B2 U2 F L' U
B' D U2 R U' F2 L'
R' F' L2 R2 F B U'
R' F' L2 R2 B F U'
F' D F' B' L' U F'
R F' L2 F U' D' L2
R F' L2 F U2 F2 U
R F' L2 F D' U' L2
R F' L2 F D2 B2 U'
R' F' R2 L2 F B U'
R' F' R2 L2 B F U'
F2 D B L' B2 U F2
F2 D B' L' R U F2
F2 D B' L' R' U F2
F2 D B' L' R2 U F2
F2 D B' L' U F2 D
F2 D B' L' U F2 D'
F2 D B' L' U F2 D2
F2 D B' L' D R2 U
F2 D B' R L' U F2
F2 D B' R' L' U F2
F2 D B' R2 L' U F2
F' D B' F' L' U F'
F2 D B' D L' R2 U
F2 D B' D R2 L' U
F2 D B2 L' B U F2
L' F2 L R B' L2 U
L' F2 L B' L2 R U
L' F2 L B' R L2 U
U' F2 L' U2 L' F U'
L' F2 L' R U2 F U'
U2 F2 L' U2 L' F U'
L2 F2 L' U2 L F' U'
L2 F2 L' U2 F' L U'
R' F2 L2 F R2 B U'
L' F2 R L B' L2 U
L' F2 R L' U2 F U'
U F2 L' U2 L' F U'
L F2 L' U2 L2 F U'
L F2 L' D B' U F2
L F2 L' D2 R2 B' U
L F2 L' D2 B' R2 U
L F2 L' B' U D F2
L F2 L' B' U2 L2 U'
L F2 L' B' D U F2
L F2 L' B' D2 R2 U
R F2 L2 F U2 F' U
R' F2 U2 L2 R2 F U'
R' F2 U2 L2 F R2 U'
R' F2 U2 R2 L2 F U'
R2 F2 U2 L2 R' F U'
R2 F2 U2 L2 F R' U'
R2 F2 U2 R' L2 F U'
U' F2 D B' L' U F2
R' F2 D B' U F2 B'
R' F2 D B' U B' F2
U2 F2 D B' L' U F2
U' F2 D2 R2 B' L' U
