D R U2 F' R2 U' L'
B R F' U L R B
B R F' U R L B
U R' U2 F' R2 U R'
R' U2 R2 F' U L' R
R' U2 R2 F' U R L'
R U2 R2 F' U' L' R
R U2 R2 F' U' R L'
R' U2 F' R2 U L' R'
R' U2 F' R2 U R' L'
R U2 F' R2 U' L' R'
R U2 F' R2 U' R' L'
F2 U' L' R' F' B' U'
F2 U' L' R' B' F' U'
F' U' R' U' F' L' R2
F' U' R' U' F' R2 L'
F2 U' R' L' F' B' U'
F2 U' R' L' B' F' U'
R' D2 L2 B U' L R'
R' D2 L2 B U' R' L
R D2 L2 B U L R'
R D2 L2 B U R' L
R' D2 B L2 U' L' R'
R' D2 B L2 U' R' L'
R D2 B L2 U L' R'
R D2 B L2 U R' L'
B2 D' L R F' B' U
B2 D' L R B' F' U
B2 D' L B' R F' U
B2 D' R L F' B' U
B2 D' R L B' F' U
B2 D' R F' L B' U
F' B U L R F B
F' B U L R B F
F' B U R L F B
F' B U R L B F
B F' U L R F B
B F' U L R B F
B F' U R L F B
B F' U R L B F
D' B2 L R B' U L
D' B2 L B' R U L
D' B2 R L B' U L
