L U B' U' R' B
R' L U B' U' R' B2
L R' U B' U' R' B2
B' L' R' F U F' B
B' L' R' F U B F'
L2 R' F U' F' L' B
L2 R' F U' F' B L'
L2 R' F U' B F' L'
B' L' D' F L' U F'
R' L2 F U' F' L' B
R' L2 F U' F' B L'
R' L2 F U' B F' L'
L U R' B' U' R' B2
L U F B' U' R' B
L U F' B' U' R' B
L U F2 B' U' R' B
L U B' R U' R2 B
L U B' U' R' D B
L U B' U' R' D' B
L U B' U' R' D2 B
L U B' U' R' B D
L U B' U' R' B D'
L U B' U' R' B D2
L U B' F U' R' B
L U B' F' U' R' B
L U B' F2 U' R' B
B R D' R2 B' L B2
B R D' B' L R2 B
B R D' B' R2 L B
B R D' B2 R2 B L
R' U' D' B' U L B2
B' R' L' F U F' B
B' R' L' F U B F'
R' U' B' L' F U B2
B R' D' B' L R2 B2
B R' D' B' L B2 R2
B R' D' B' R2 L B2
B' R' B2 D' R2 B' L
B' R' B2 D' B' L R2
B' R' B2 D' B' R2 L
U' D F B' L U L2
U' D B' L F U L'
U' D B' F L U L2
R' D' U' B' U L B2
D' U' F B' L' U L2
U' D' F B' L' U L2
R' D' B U' B2 U L
R' D' B' L B2 D' R2
D U' F B' L U L2
U' D' B' U D' L B'
D' U' B' U D' L B'
U' D' B' D' U L B'
D' U' B' D' U L B'
U' D' B' F L' U L2
D' U' B' F L' U L2
D U' B' L F U L'
D U' B' F L U L2
D' F B' L' U L2 F'
D' F B' L' U F' L2
D F B' L U L2 F'
D F B' L U F' L2
B D' R2 B' D' L B'
B2 D' B' D' L R2 B'
B2 D' B' D' L B' R2
B2 D' B' D' R2 L B'
B D' B' R2 D' L B'
B D2 L D R2 B' L
B D2 L D B' L R2
B D2 L D B' R2 L
R' B L' U' F B2 U
R' B L' U' B2 F U
R' B D' R2 B' L B
R' B D' B' L B R2
D' B D' B2 L R2 B'
D' B D' B2 L B' R2
D' B D' B2 R2 L B'
R B D' R2 B' L B2
R B D' B' L R2 B
R B D' B' R2 L B
R B D' B2 R2 B L
U' B' L' D' F L' U
R' B' L' F U F' B2
R' B' L' F U B2 F'
D B' L F U L' F'
D' B' F L' U L2 F'
D' B' F L' U F' L2
D B' F L U L2 F'
D B' F L U F' L2
R' B2 D' B' L D' R2
R' B2 D' B' D' L R2
R' B2 D' B' D' R2 L
