F2 R F B U'
F2 R B F U'
U2 L' U2 F' B' U'
U2 L' U2 B' F' U'
F2 R D F B U'
F2 R D B F U'
F2 R D' F B U'
F2 R D' B F U'
F2 R D2 F B U'
F' R D2 B R' U'
F2 R D2 B F U'
F2 R F D B U'
F2 R F D' B U'
F2 R F D2 B U'
F2 R F B U' D
F2 R F B U' D'
F2 R F B U' D2
F2 R F B D U'
F2 R F B D' U'
F2 R F B D2 U'
F2 R B D F U'
F2 R B D' F U'
F2 R B D2 F U'
F2 R B F U' D
F2 R B F U' D'
F2 R B F U' D2
F2 R B F D U'
F2 R B F D' U'
F2 R B F D2 U'
F2 R2 F R' B U'
F' U' D' B L B'
F' U' B D' L B'
F' U2 L F L' U
F2 D R F B U'
F2 D R B F U'
F2 D' R F B U'
F2 D' R B F U'
F' D' U' B L B'
D2 F2 R F B U'
D' F2 R F B U'
D2 F2 R B F U'
D' F2 R B F U'
D F2 R F B U'
D F2 R B F U'
F' D2 R B R' U'
F2 D2 R F B U'
F2 D2 R B F U'
R B U2 L' B' U
F2 B R F B U'
F2 B R B F U'
F2 B' R F B U'
F2 B' R B F U'
B' F2 R F B U'
B' F2 R B F U'
B2 F2 R F B U'
F2 B2 R F B U'
B2 F2 R B F U'
F2 B2 R B F U'
B F2 R F B U'
B F2 R B F U'
F2 L R B L' F U'
L' R U2 L F B U'
L' R U2 L B F U'
U2 L F L2 U D R2
U2 L F L2 U2 F2 U'
U2 L F L2 D U R2
U2 L F L2 D2 B2 U
U2 L F2 L2 F' B' U
U2 L F2 L2 B' F' U
R L' U2 L F B U'
R L' U2 L B F U'
U2 L' U2 D F' B' U'
U2 L' U2 D B' F' U'
U2 L' U2 D' F' B' U'
U2 L' U2 D' B' F' U'
U2 L' U2 D2 F' B' U'
U2 L' U2 D2 B' F' U'
R' L' F' B2 R' B U
L' R' F' B2 R' B U
U2 L' U2 F' D B' U'
U2 L' U2 F' D' B' U'
U2 L' U2 F' D2 B' U'
U2 L' U2 F' B' U' D
U2 L' U2 F' B' U' D'
U2 L' U2 F' B' U' D2
U2 L' U2 F' B' D U'
U2 L' U2 F' B' D' U'
U2 L' U2 F' B' D2 U'
U2 L' U2 B' D F' U'
U2 L' U2 B' D' F' U'
U2 L' U2 B' D2 F' U'
U2 L' U2 B' F' U' D
U2 L' U2 B' F' U' D'
U2 L' U2 B' F' U' D2
U2 L' U2 B' F' D U'
U2 L' U2 B' F' D' U'
U2 L' U2 B' F' D2 U'
U2 L' D U2 F' B' U'
U2 L' D U2 B' F' U'
U2 L' D' U2 F' B' U'
U2 L' D' U2 B' F' U'
U2 L' D2 U2 F' B' U'
U2 L' D2 U2 B' F' U'
R' L' B2 F' R' B U
L' R' B2 F' R' B U
U2 L' F U2 F2 B' U'
U2 L' F U2 B' F2 U'
U2 L' F2 U2 F B' U'
U2 L' F2 U2 B' F U'
U2 L' B U2 F' B2 U'
U2 L' B U2 B2 F' U'
U2 L' B2 U2 F' B U'
U2 L' B2 U2 B F' U'
F2 R L B L' F U'
F' R D R' U' B L
F' R D B R' U' B
F2 R D F D B U'
F2 R D F D' B U'
F2 R D F D2 B U'
F2 R D F B U' D
F2 R D F B U' D'
F2 R D F B U' D2
F2 R D F B D U'
F2 R D F B D' U'
F2 R D F B D2 U'
F2 R D B D F U'
F2 R D B D' F U'
F2 R D B D2 F U'
F2 R D B F U' D
F2 R D B F U' D'
F2 R D B F U' D2
F2 R D B F D U'
F2 R D B F D' U'
F2 R D B F D2 U'
F2 R D' F D B U'
F2 R D' F D' B U'
F2 R D' F D2 B U'
F2 R D' F B U' D
F2 R D' F B U' D'
F2 R D' F B U' D2
F2 R D' F B D U'
F2 R D' F B D' U'
F2 R D' F B D2 U'
F2 R D' B D F U'
F2 R D' B D' F U'
F2 R D' B D2 F U'
F2 R D' B F U' D
F2 R D' B F U' D'
F2 R D' B F U' D2
F2 R D' B F D U'
F2 R D' B F D' U'
F2 R D' B F D2 U'
F' R D2 B R' U' D
F' R D2 B R' U' D'
F' R D2 B R' U' D2
F' R D2 B R' D U'
F' R D2 B R' D' U'
F' R D2 B R' D2 U'
F' R D2 B D R' U'
F' R D2 B D' R' U'
F' R D2 B D2 R' U'
F2 R D2 F D B U'
F2 R D2 F D' B U'
F2 R D2 F D2 B U'
F2 R D2 F B U' D
F2 R D2 F B U' D'
F2 R D2 F B U' D2
F2 R D2 F B D U'
F2 R D2 F B D' U'
F2 R D2 F B D2 U'
F2 R D2 B D F U'
F2 R D2 B D' F U'
F2 R D2 B D2 F U'
F2 R D2 B F U' D
F2 R D2 B F U' D'
F2 R D2 B F U' D2
F2 R D2 B F D U'
F2 R D2 B F D' U'
F2 R D2 B F D2 U'
F2 R F L B L' U'
F2 R F L2 B L2 U'
F2 R F D B U' D
F2 R F D B U' D'
F2 R F D B U' D2
F2 R F D B D U'
F2 R F D B D' U'
F2 R F D B D2 U'
F2 R F D' B U' D
F2 R F D' B U' D'
F2 R F D' B U' D2
F2 R F D' B D U'
F2 R F D' B D' U'
F2 R F D' B D2 U'
F2 R F D2 B U' D
F2 R F D2 B U' D'
F2 R F D2 B U' D2
F2 R F D2 B D U'
F2 R F D2 B D' U'
F2 R F D2 B D2 U'
F2 R F B' U' D L2
F2 R F B' D U' L2
F2 R F B2 D B' U'
F2 R F B2 D' B' U'
F2 R F B2 D2 B' U'
F R F B R F U'
F' R F' B R F U'
F2 R F' D B U' R2
F2 R F' B U' D R2
F2 R F' B D U' R2
F2 R F2 D F' B U'
F2 R F2 D B F' U'
F2 R F2 D' F' B U'
F2 R F2 D' B F' U'
F2 R F2 D2 F' B U'
F2 R F2 D2 B F' U'
F2 R F2 B D F' U'
F2 R F2 B D' F' U'
F2 R F2 B D2 F' U'
D2 R B U2 L' B' U
D' R B U2 L' B' U
F2 R B R F R' U'
B' R B U2 L' B' U
F R F2 D2 B R' U'
F2 R B R2 F R2 U'
F' R B D R' U' B
B2 R B U2 L' B' U
F2 R B D F U' D
F2 R B D F U' D'
F2 R B D F U' D2
F2 R B D F D U'
F2 R B D F D' U'
F2 R B D F D2 U'
F' R B F' R F U'
D R B U2 L' B' U
F2 R B D' F U' D
F2 R B D' F U' D'
F2 R B D' F U' D2
F2 R B D' F D U'
F2 R B D' F D' U'
F2 R B D' F D2 U'
B R B U2 L' B' U
F2 R B D2 F U' D
F2 R B D2 F U' D'
F2 R B D2 F U' D2
F2 R B D2 F D U'
F2 R B D2 F D' U'
F2 R B D2 F D2 U'
F2 R B F' U' D R2
F2 R B F' D U' R2
F2 R B F2 D F' U'
F2 R B F2 D' F' U'
F2 R B F2 D2 F' U'
F R B F R F U'
F2 R B' D F U' L2
F2 R B' F U' D L2
F2 R B' F D U' L2
F2 R B2 D F B' U'
F2 R B2 D B' F U'
F2 R B2 D' F B' U'
F2 R B2 D' B' F U'
F2 R B2 D2 F B' U'
F2 R B2 D2 B' F U'
F2 R B2 F D B' U'
F2 R B2 F D' B' U'
F2 R B2 F D2 B' U'
F' R' U2 F L' F2 U
F' R' U2 F' U2 R U'
L' U2 L F' U' D' L2
L' U2 L F' U2 F2 U
L' U2 L F' D' U' L2
L' U2 L F' D2 B2 U'
F' R' D2 R2 B R' U'
R' U2 L' D' F' U R
L' U2 L' F' B' L2 U'
L' U2 L' B' L2 F' U'
L' U2 L' B' F' L2 U'
F2 R' F R2 U' D' L2
F2 R' F R2 U2 F2 U
F2 R' F R2 D' U' L2
F2 R' F R2 D2 B2 U'
R U2 L' B' U D L2
R U2 L' B' U2 B2 U'
R U2 L' B' D U L2
R U2 L' B' D2 F2 U
F R' F2 U2 F L' U
F2 R' B R2 F B U'
F2 R' B R2 B F U'
F2 R' B' R2 F B U'
F2 R' B' R2 B F U'
R' U2 D' L' F' U R
F2 R' B2 R2 F B U'
F2 R' B2 R2 B F U'
R2 U2 D2 L' F B U
R2 U2 D2 L' B F U
R2 U2 D2 B L' F U
L' U2 F' L U2 F U
L' U2 F' L' B' L2 U'
R2 U2 B D2 L' F U
F2 R2 D' R' F U' L'
F2 R2 D' F R' U' L'
F2 R2 F R' D B U'
F2 R2 F R' D' B U'
F2 R2 F R' D2 B U'
F2 R2 F R' B U' D
F2 R2 F R' B U' D'
F2 R2 F R' B U' D2
F2 R2 F R' B D U'
F2 R2 F R' B D' U'
F2 R2 F R' B D2 U'
F2 R2 F' R' F2 B U'
F2 R2 F' R' B F2 U'
U2 D L' U2 F' B' U'
U2 D L' U2 B' F' U'
R D B U2 L' B' U
F' U D R F' U2 L'
F' U D R' U2 B L
F' U D F R F' U2
F' U F R U L' U
F' U F' U' R U' L'
U2 D' L' U2 F' B' U'
U2 D' L' U2 B' F' U'
R' D' U2 L' F' U R
F' U' L D' B L B'
F' U' L B D' L B'
F' U' L' D' B L B'
F' U' L' B D' L B'
F' U' L2 D' B L B'
