F' U' L' F B'
F' U' L' B' F
F' R U' L' F B'
F' R U' L' B' F
F' R' U' L' F B'
F' R' U' L' B' F
F' R2 U' L' F B'
F' R2 U' L' B' F
F' U' L' D F B'
F' U' L' D B' F
F' U' L' D' F B'
F' U' L' D' B' F
F' U' L' D2 F B'
F' U' L' D2 B' F
F' U' L' F D B'
F' U' L' F D' B'
F' U' L' F D2 B'
F' U' L' F B' D
F' U' L' F B' D'
F' U' L' F B' D2
F' U' L' B' D F
F' U' L' B' D' F
F' U' L' B' D2 F
F' U' L' B' F D
F' U' L' B' F D'
F' U' L' B' F D2
F' U' B L' F B'
F' U' B L' B' F
F' U' B' L' F B'
F' U' B' L' B' F
F' U' B2 L' F B'
F' U' B2 L' B' F
L' F' U' L' F2 B'
L' F' U' L' B' F2
F' B' R' U' L' F
B' F' R' U' L' F
F' L U' L' B' L' F
F2 L' U' F L' R B'
F2 L' U' F L' B' R
F2 L' U' F R L' B'
B' L' F' R' U' L' F2
F L' F2 U' L' F' B'
F L' F2 U' L' B' F'
F' R U' L' D F B'
F' R U' L' D B' F
F' R U' L' D' F B'
F' R U' L' D' B' F
F' R U' L' D2 F B'
F' R U' L' D2 B' F
F' R U' L' F D B'
F' R U' L' F D' B'
F' R U' L' F D2 B'
F' R U' L' F B' D
F' R U' L' F B' D'
F' R U' L' F B' D2
F' R U' L' B' D F
F' R U' L' B' D' F
F' R U' L' B' D2 F
F' R U' L' B' F D
F' R U' L' B' F D'
F' R U' L' B' F D2
F' R U' B L' F B'
F' R U' B L' B' F
F' R U' B' L' F B'
F' R U' B' L' B' F
F' R U' B2 L' F B'
F' R U' B2 L' B' F
F2 R F U' L' F B'
F2 R F U' L' B' F
F' R B' R' U' L' F
F' R' U' L' D F B'
F' R' U' L' D B' F
F' R' U' L' D' F B'
F' R' U' L' D' B' F
F' R' U' L' D2 F B'
F' R' U' L' D2 B' F
F' R' U' L' F D B'
F' R' U' L' F D' B'
F' R' U' L' F D2 B'
F' R' U' L' F B' D
F' R' U' L' F B' D'
F' R' U' L' F B' D2
F' R' U' L' B' D F
F' R' U' L' B' D' F
F' R' U' L' B' D2 F
F' R' U' L' B' F D
F' R' U' L' B' F D'
F' R' U' L' B' F D2
F' R' U' B L' F B'
F' R' U' B L' B' F
F' R' U' B' L' F B'
F' R' U' B' L' B' F
F' R' U' B2 L' F B'
F' R' U' B2 L' B' F
F2 R' F U' L' F B'
F2 R' F U' L' B' F
F' R' B' R' U' L' F
F' R2 U' L' D F B'
F' R2 U' L' D B' F
F' R2 U' L' D' F B'
F' R2 U' L' D' B' F
F' R2 U' L' D2 F B'
F' R2 U' L' D2 B' F
F' R2 U' L' F D B'
F' R2 U' L' F D' B'
F' R2 U' L' F D2 B'
F' R2 U' L' F B' D
F' R2 U' L' F B' D'
F' R2 U' L' F B' D2
F' R2 U' L' B' D F
F' R2 U' L' B' D' F
F' R2 U' L' B' D2 F
F' R2 U' L' B' F D
F' R2 U' L' B' F D'
F' R2 U' L' B' F D2
F' R2 U' B L' F B'
F' R2 U' B L' B' F
F' R2 U' B' L' F B'
F' R2 U' B' L' B' F
F' R2 U' B2 L' F B'
F' R2 U' B2 L' B' F
F2 R2 F U' L' F B'
F2 R2 F U' L' B' F
F' R2 B' R' U' L' F
L' D F' U' L' F2 B'
L' D F' U' L' B' F2
F' U R U2 L' F B
F' U R U2 L' B F
F' U R U2 B L' F
F' U B U2 L' F B'
F' U B U2 L' B' F
F' U B' U2 L' F B'
F' U B' U2 L' B' F
F' U B2 U2 L' F B'
F' U B2 U2 L' B' F
F' U' L' R F R' B'
F' U' L' R' B' R F
F' U' L' R2 F R2 B'
F' U' L' R2 F B' R2
F' U' L' R2 B' R2 F
F' U' L' R2 B' F R2
F' U' L' D F D B'
F' U' L' D F D' B'
F' U' L' D F D2 B'
F' U' L' D F B' D
F' U' L' D F B' D'
F' U' L' D F B' D2
F' U' L' D B' D F
F' U' L' D B' D' F
F' U' L' D B' D2 F
F' U' L' D B' F D
F' U' L' D B' F D'
F' U' L' D B' F D2
F' U' L' D' F D B'
F' U' L' D' F D' B'
F' U' L' D' F D2 B'
F' U' L' D' F B' D
F' U' L' D' F B' D'
F' U' L' D' F B' D2
F' U' L' D' B' D F
F' U' L' D' B' D' F
F' U' L' D' B' D2 F
F' U' L' D' B' F D
F' U' L' D' B' F D'
F' U' L' D' B' F D2
F' U' L' D2 F D B'
F' U' L' D2 F D' B'
F' U' L' D2 F D2 B'
F' U' L' D2 F B' D
