B' L' D L2 F' R B
B' L' D F' L2 R B
B' L' D F' R L2 B
B' L' D F' R B L2
B2 L2 F R U F2 B
B2 L2 F R U B F2
F' R D B' L B2 R'
F2 R D' F L' B R2
F2 R D' F B L' R2
F2 R D' F B R2 L'
F2 R D' B R2 F L'
F2 R D' B F L' R2
F2 R D' B F R2 L'
R D B' L B2 R' F'
F' U B U2 B L U
B U' B L U L' F'
B U2 L' B U F' B2
B U2 L' B U B2 F'
B U2 B L' U F' B'
B U2 B L' U B' F'
B2 U2 B' L' U' F' B'
B2 U2 B' L' U' B' F'
D2 F2 B R U' F B
D2 F2 B R U' B F
U' B U2 L B U F'
U B U2 B L U F'
D2 B F2 R U' F B
D2 B F2 R U' B F
F' B U' B L U L'
B F' U' B L U L'
