U L U R U B
F2 L' U L2 F U2
F2 L' U' D2 R2 B'
F2 L' U' D2 B' R2
F2 L' U' B' D2 R2
F2 L' D F2 U' B'
F2 L' D2 U' R2 B'
F2 L' D2 U' B' R2
U2 R U B2 R' B'
U2 R U' L U2 B
U2 R B2 U R' B'
U2 B R U B R'
U2 B2 R U B R2
L' R U L2 F U2 F'
L2 R U L' F U2 F'
L' R U' L2 U2 L2 B'
L' R U' L2 F U2 L2
L2 R U' L' F U2 L
L' R U' D2 B' R2 F'
L' R U' B' D2 R2 F'
U L U L R U B
U L U L' R U B
U L U L2 R U B
U L U R L U B
U L U R L' U B
U L U R L2 U B
U L U R U D B
U L U R U D' B
U L U R U D2 B
U L U R U B D
U L U R U B D'
U L U R U B D2
U L U R D U B
U L U R D' U B
U L U R D2 U B
U L U D R U B
U L U D' R U B
U L U D2 R U B
F2 L U' L2 U' B' L2
L' R D2 U' B' R2 F'
U L D U R U B
U L D' U R U B
U L D2 U R U B
F2 L F U' L2 U' L2
F L F U' L' U' L
U L F2 U' L' U' B'
U L B U L R U
U L B U R L U
R L' U L2 F U2 F'
R L' U' L2 U2 L2 B'
R L' U' L2 F U2 L2
R L' U' D2 B' R2 F'
R L' U' B' D2 R2 F'
F2 L' R U L2 F U2
U2 L' R U D2 B R2
F2 L' R U' D2 R2 B'
F2 L' R U' D2 B' R2
U2 L' R U B D2 R2
F2 L' R U' B' D2 R2
U2 L' R U' L2 U2 B
F2 L' R D F2 U' B'
F2 L' R D2 U' R2 B'
F2 L' R D2 U' B' R2
U2 L' R D' B2 U B'
U2 L' R D2 U B R2
F2 L' R' U L2 F U2
F2 L' R' U' D2 R2 B'
F2 L' R' U' D2 B' R2
F2 L' R' U' B' D2 R2
F2 L' R' D F2 U' B'
B2 L' R' D B' L2 F
F2 L' R' D2 U' R2 B'
F2 L' R' D2 U' B' R2
F2 L' R2 U L2 F U2
F2 L' R2 U' D2 R2 B'
F2 L' R2 U' D2 B' R2
F2 L' R2 U' B' D2 R2
F2 L' R2 D F2 U' B'
F2 L' R2 D2 U' R2 B'
F2 L' R2 D2 U' B' R2
F2 L' U L2 D F U2
F2 L' U L2 D' F U2
F2 L' U L2 D2 F U2
F2 L' U L2 F U2 D
F2 L' U L2 F U2 D'
F2 L' U L2 F U2 D2
F2 L' U L2 F D U2
F2 L' U L2 F D' U2
F2 L' U L2 F D2 U2
F2 L' U F L2 F U2
R L' D2 U' B' R2 F'
F2 L' U F' L2 F U2
F2 L' U F2 L2 F U2
F2 L' U' R D2 R2 B'
F2 L' U' R D2 B' R2
F2 L' U' R B' D2 R2
F2 L' U' R' D2 R2 B'
F2 L' U' R' D2 B' R2
F2 L' U' R' B' D2 R2
F2 L' U' R2 D2 R2 B'
F2 L' U' R2 D2 B' R2
