L' U R F' U B
B L R D' F' B2 U
B L R D' B2 F' U
B L R D2 F' U R2
B L R F' U D2 R2
B L R F' U' L2 U2
B L R F' D' B2 U
B L R F' D2 U R2
L2 R F' U' L F U2
D2 L' U R F U B
U' L' U R F' U B'
B L' U L2 R F' U
B L' U R L2 F' U
B L' U R F' L2 U
U L' U R F' L' U
F2 L' B' R' B U' R2
R L2 F' U' L F U2
L' U L R F' U B
L' U L' R F' U B
L' U L2 R F' U B
L' U R L F' U B
L' U R L' F' U B
L' U R L2 F' U B
L' U R D F' U B
L' U R D' F' U B
L' U R D2 F' U B
L' U R F' L U B
L' U R F' L' U B
L' U R F' L2 U B
L' U R F' U D B
L' U R F' U D' B
L' U R F' U D2 B
L' U R F' U B D
L' U R F' U B D'
L' U R F' U B D2
L' U R F' D U B
L' U R F' D' U B
L' U R F' D2 U B
B R L D' F' B2 U
B R L D' B2 F' U
B R L D2 F' U R2
B R L F' U D2 R2
B R L F' U' L2 U2
B R L F' D' B2 U
B R L F' D2 U R2
D R U' L' U2 B' L
R U' L' U F' U B'
B R F' D' L B' U
U R F' U D2 B R'
U R F' D2 U B R'
B' R' D' B U' F2 R
L' U2 R F' L' U R'
B' R' B U' D' F2 R
B' R' B D' U' F2 R
R' F' R2 F' U R B
R2 F' R' F' U R B
R F' U R D2 B R'
R F' U D2 R B R'
R F' U F' R F B
R F' U F' R B F
R F' U' L F L' U2
R F' U' F L' U2 B'
R F' U' F' U2 R B
R F' D' B L B' U
R F' D2 U R B R'
R F' D2 B L U R'
R F' B D' L B' U
R F2 L' U R B L
R B L D' F' B2 U
R B L D' B2 F' U
R B L D2 F' U R2
R B L F' U D2 R2
R B L F' U' L2 U2
R B L F' D' B2 U
R B L F' D2 U R2
L' B U L R F' U
L' B U R L F' U
L' B U R F' L U
R B F' D' L B' U
F2 B' L' R' B U' R2
F2 B' R' L' B U' R2
F2 B' R' B L' U' R2
B' F2 L' R' B U' R2
B' F2 R' L' B U' R2
B' F2 R' B L' U' R2
