R2 L U' L' F'
R2 L' U' L F'
R2 L' U' F' L
L' R2 U' L F'
L' R2 U' F' L
L2 R2 U' L2 F'
R2 L2 U' L2 F'
L R2 U' L' F'
R2 L2 U' F' L2
L2 R2 U' F' L2
F2 D R2 F' B2
F2 D R2 B2 F'
R2 L U' L F' L2
R2 L U' L' D F'
R2 L U' L' D' F'
R2 L U' L' D2 F'
R2 L U' L' F' D
R2 L U' L' F' D'
R2 L U' L' F' D2
R2 L U' L2 F' L
R2 L U' D L' F'
R2 L U' D' L' F'
R2 L U' D2 L' F'
R2 L D U' L' F'
R2 L D' U' L' F'
R2 L D2 U' L' F'
R2 L B U' L' F'
R2 L B' U' L' F'
R2 L B2 U' L' F'
R2 L' U' L D F'
R2 L' U' L D' F'
R2 L' U' L D2 F'
R2 L' U' L F' D
R2 L' U' L F' D'
R2 L' U' L F' D2
R2 L' U' L' F' L2
R2 L' U' D L F'
R2 L' U' D F' L
R2 L' U' D' L F'
R2 L' U' D' F' L
R2 L' U' D2 L F'
R2 L' U' D2 F' L
R2 L' U' F L F2
R2 L' U' F' L D
R2 L' U' F' L D'
R2 L' U' F' L D2
R2 L' U' F' L D2
R2 L' U' F' D L
R2 L' U' F' D' L
R2 L' U' F' D2 L
R2 L' D U' L F'
R2 L' D U' F' L
R2 L' D' U' L F'
R2 L' D' U' F' L
R2 L' D2 U' L F'
R2 L' D2 U' F' L
L' R2 U' L D F'
L' R2 U' L D' F'
L' R2 U' L D2 F'
L' R2 U' L F' D
L' R2 U' L F' D'
L' R2 U' L F' D2
L' R2 U' L' F' L2
L' R2 U' D L F'
L' R2 U' D F' L
L' R2 U' D' L F'
L' R2 U' D' F' L
L' R2 U' D2 L F'
L' R2 U' D2 F' L
L' R2 U' F L F2
L' R2 U' F' L D
L' R2 U' F' L D'
L' R2 U' F' L D2
L' R2 U' F' D L
L' R2 U' F' D' L
L' R2 U' F' D2 L
L2 R2 U' L F' L
L2 R2 U' L2 D F'
L2 R2 U' L2 D' F'
L2 R2 U' L2 D2 F'
L2 R2 U' L2 F' D
L2 R2 U' L2 F' D'
L2 R2 U' L2 F' D2
R2 L2 U' L F' L
L R2 U' L F' L2
R2 L2 U' L2 D F'
R2 L2 U' L2 D' F'
R2 L2 U' L2 D2 F'
R2 L2 U' L2 F' D
R2 L2 U' L2 F' D'
R2 L2 U' L2 F' D2
L R2 U' L' D F'
L R2 U' L' D' F'
L R2 U' L' D2 F'
L R2 U' L' F' D
L R2 U' L' F' D'
L R2 U' L' F' D2
L R2 U' L2 F' L
L2 R2 U' F L2 F2
L2 R2 U' F' L2 D
L2 R2 U' F' L2 D'
L2 R2 U' F' L2 D2
L R2 U' D L' F'
R2 L2 U' F L2 F2
L R2 U' D' L' F'
R2 L2 U' F' L2 D
R2 L2 U' F' L2 D'
R2 L2 U' F' L2 D2
L R2 U' D2 L' F'
L' R2 D U' L F'
L' R2 D U' F' L
L' R2 D' U' L F'
L' R2 D' U' F' L
L R2 D U' L' F'
L' R2 D2 U' L F'
L' R2 D2 U' F' L
L R2 D' U' L' F'
L2 R2 D' B2 U' F'
R2 L2 D' B2 U' F'
L R2 D2 U' L' F'
B2 L2 R2 U' F L2
L2 R2 B U' L2 F'
L2 R2 B U' F' L2
L R2 B U' L' F'
D L2 U' B2 L2 F
R2 L2 B U' L2 F'
R2 L2 B U' F' L2
L2 R2 B' U' L2 F'
L2 R2 B' U' F' L2
L R2 B' U' L' F'
R2 L2 B' U' L2 F'
R2 L2 B' U' F' L2
L2 R2 B2 U' L2 F'
L2 R2 B2 U' F' L2
L R2 B2 U' L' F'
R2 L2 B2 U' L2 F'
R2 L2 B2 U' F' L2
R2 U' F' U' F U
R2 U' F2 D' F L2
B2 R2 L2 U' F L2
B' R2 D L2 U' L2
R2 D L U' L' F'
R2 D L' U' L F'
R2 D L' U' F' L
R2 D L2 U' L2 F'
R2 D L2 U' F' L2
F' U R2 F U' F2
F2 U R2 F2 U' F
R2 D' L U' L' F'
F' U F R2 U' F'
R2 D' L' U' L F'
R2 D' L' U' F' L
R2 D' L2 U' L2 F'
R2 D' L2 U' F' L2
F2 U F2 R2 U' F'
F U F' R2 U' F'
R2 D2 L U' L' F'
R2 D2 L' U' L F'
R2 D2 L' U' F' L
R2 D2 L2 U' L2 F'
R2 D2 L2 U' F' L2
B' D L2 U' L2 B2
B' D L2 U' B2 L2
F2 D R B2 R F'
F2 D R2 F' B2 D
F2 D R2 F' B2 D'
F2 D R2 F' B2 D2
F2 D R2 B2 D F'
F2 D R2 B2 D' F'
F2 D R2 B2 D' F'
F2 D R2 B2 D2 F'
F2 D R2 B2 F' D
F2 D R2 B2 F' D'
F2 D R2 B2 F' D2
