D L U' L2 U F
R' L D' R F' B2
R' L D' R B2 F'
R' L D' B2 R F'
L R' D' R F' B2
L R' D' R B2 F'
L R' D' B2 R F'
D L' F L2 D' B2
L2 D L' D' F B2
L2 D L' D' B2 F
L2 D L' F D' B2
U' D L' U F L2
L D' R F' R' B2
D U' L' U F L2
L D' B2 R F' R'
L' B R' U L2 R
L' B R' U R L2
L B U' L2 R' U
L B U' R' L2 U
D' L R D' F' R' B2
D' L R F' R' D' B2
D' L R F' D' R' B2
F2 L U D' R U' F'
D' L U' L2 R U F'
D' L U' R L2 U F'
D L U' L2 R U F
D L U' L2 R' U F
D L U' L2 R2 U F
D L U' L2 U D F
D L U' L2 U D' F
D L U' L2 U D2 F
D L U' L2 U F D
D L U' L2 U F D'
D L U' L2 U F D2
D L U' L2 D U F
D L U' L2 D' U F
D L U' L2 D2 U F
D L U' R L2 U F
D L U' R' L2 U F
D L U' R2 L2 U F
R' L D' R F' B2 D
R' L D' R F' B2 D'
R' L D' R F' B2 D2
R' L D' R B2 D F'
R' L D' R B2 D' F'
R' L D' R B2 D2 F'
R' L D' R B2 F' D
R' L D' R B2 F' D'
R' L D' R B2 F' D2
L R D' R F' R2 B2
L R D' R F' B2 R2
L R D' R B2 F' R2
R L D' R F' R2 B2
R L D' R F' B2 R2
R L D' R B2 F' R2
R' L D' B' R F' B'
R' L D' B' R B' F'
R' L D' B2 R D F'
R' L D' B2 R D' F'
R' L D' B2 R D2 F'
R' L D' B2 R F' D
R' L D' B2 R F' D'
R' L D' B2 R F' D2
D L U2 D F2 B' U2
D L U2 D B' F2 U2
D L U2 D' B' U2 B'
D L U2 B' U L2 U
D L U2 B' U2 D' B2
D L U2 B' D F2 U2
D L U2 B' D' U2 B2
D L D L2 F L2 B'
D L D U2 F2 B' U2
D L D U2 B' F2 U2
D L D B D2 F2 B2
D L D B D2 B2 F2
D2 L D' L' F L B2
D L D' L2 F L2 B2
D L D' L2 F B2 L2
D L D' L2 B2 F L2
F2 L D' U R U' F'
D L D' R2 B2 R2 F'
D L D' U2 B' U2 B'
U2 L D' F2 R F' B2
U2 L D' F2 R B2 F'
U2 L D' F2 B2 R F'
