D' B2 L F U F2
B2 L F U' L U2 F2
D' L F B2 L U F2
B2 L F B2 U R' F2
B2 L F B2 U F2 R'
D' L B2 F L U F2
B2 L B2 F U R' F2
B2 L B2 F U F2 R'
F L' R' B' U' F2 R
R' L' F2 B' U' R F'
L' R' F2 B' U' R F'
R' L' B' U' F2 R F'
L' R' B' U' F2 R F'
R' L' B' F2 U' R F'
L' R' B' F2 U' R F'
D L' F2 R' B' U' F
B2 L2 U L' F U F2
R' U L2 R U2 F' L'
R' U L2 R' B U2 L
R' U L2 B' R' B U2
R' U R L2 U2 F' L'
R' U R' L2 B U2 L
R' U R' B L2 U2 L'
R' U B' L2 R' B U2
R' U B' R' L2 B U2
R' U B' R' B L2 U2
R' U' R D2 F' L' R2
R' U' R D2 F' R2 L'
R' U' R F' D2 L' R2
R' U' R F' D2 R2 L'
R' U' R' D2 R2 F' L'
R' U' D2 R2 F' L' F
R' U' D2 F' L' R2 F
R' U' D2 F' L' F R2
R' U' D2 F' R2 L' F
R' U' F' L' F2 R F'
F R' L' B' U' F2 R
R' U' F' D2 L' R2 F
R' U' F' D2 L' F R2
R' U' F' D2 R2 L' F
F2 R' U L2 B' R' U2
D2 R' U' R F' L' R2
D2 R' U' R F' R2 L'
F2 R' U' F' L' F2 R
F2 R' D F2 U' F' L'
R' D L' F2 B' L U'
R' D L' B' L F2 U'
R' D L' B' F2 L U'
R' D F2 L' B' L U'
B U L2 U2 F' L' B'
U' D F2 R' U' F L'
D U' F2 R' U' F L'
R' D2 L' B' U' R2 F
R' D2 L' B' U' F R2
U2 D' B2 L U F' L'
B U' D2 F' L' R2 B'
B U' D2 F' L' B' R2
B U' D2 F' R2 L' B'
R2 D2 R U' R F' L'
B U' F' D2 L' R2 B'
B U' F' D2 L' B' R2
B U' F' D2 R2 L' B'
R' D2 U' R2 F' L' F
R' D2 U' F' L' R2 F
R' D2 U' F' L' F R2
R' D2 U' F' R2 L' F
D' U2 B2 L U F' L'
F2 D R' F2 U' F' L'
D' F B2 L F U F
L F B2 L U R' F2
L F B2 L U F2 R'
B2 D' L F B2 U F2
B2 D' L B2 F U F2
D' F' B2 L F U F'
L' F2 R' B' U' R2 F
L' F2 R' B' U' F R2
D F2 R' U' F' L' F2
F' D' B2 L F U F'
B2 D2 L F U R2 F2
B2 D2 L F U F2 R2
B D2 U' F' L' R2 B'
B D2 U' F' L' B' R2
B D2 U' F' R2 L' B'
D2 B U' F' L' R2 B'
D2 B U' F' L' B' R2
D2 B U' F' R2 L' B'
D' B2 L U F' D' L2
D' B2 L D F U F2
D2 B2 L F U R2 F2
D2 B2 L F U F2 R2
D' B2 L D' F U F2
D' B2 L D2 F U F2
D' B2 L F R U F2
D' B2 L F R' U F2
D' B2 L F R2 U F2
D' B2 L F U F2 D
D' B2 L F U F2 D'
D' B2 L F U F2 D2
D' B2 L F D R2 U
D' B2 D L F U F2
D' B2 D' L F U F2
D' B2 D2 L F U F2
D' B2 F L F U F
D' B2 F' L F U F'
L B2 F L U R' F2
L B2 F L U F2 R'
