U2 B' L2 U' L R'
U2 B' L2 U' R' L
U L U F L U' L
U L' U L2 F L U'
U L' U' B' U2 L' U'
U L' F2 U' R B' U
U L' F2 U' B' R U
U2 L' B' L' U' L R'
U2 L' B' L' U' R' L
U2 L2 U' L U F U'
U2 L2 U2 F U L R
U2 L2 U2 F U R L
L' U L' U2 B' L2 U
U' R' U' L2 F' U' L
L2 U2 L2 B' U L' R'
L2 U2 L2 B' U R' L'
D2 R2 U L' U' B' U
R' U2 B' L2 U' L R'
R' U2 B' L2 U' R' L
D2 R2 U2 B' U' L' R'
D2 R2 U2 B' U' R' L'
R2 U2 B' L2 U' L R'
R2 U2 B' L2 U' R' L
R U2 B' L2 U' L R'
R U2 B' L2 U' R' L
D2 U L' U' R2 B' U
D2 U L' U' B' R2 U
D U L' U' B' U F2
U D L' U' B' U F2
D U L' F2 U' B' U
U D L' F2 U' B' U
U2 D B' U' L' R' F2
U2 D B' U' L' F2 R'
U2 D B' U' R' L' F2
L2 D' F U' L R B2
L2 D' F U' L B2 R
L2 D' F U' R L B2
U D2 L' U' R2 B' U
U D2 L' U' B' R2 U
L2 D2 R2 F U' L R
L2 D2 R2 F U' R L
L2 D2 F R2 U' L R'
L2 D2 F R2 U' R' L
F U2 L2 B U' L R
F U2 L2 B U' R L
D U2 B' U' L' R' F2
D U2 B' U' L' F2 R'
D U2 B' U' R' L' F2
L F L U' L R B
L F L U' R L B
B' U2 B' L2 U' L R'
B' U2 B' L2 U' R' L
D2 F R2 F' U L' R'
D2 F R2 F' U R' L'
B2 U2 B' L2 U' L R'
B2 U2 B' L2 U' R' L
F U2 B L2 U' L' R
F U2 B L2 U' R L'
B U2 B' L2 U' L R'
B U2 B' L2 U' R' L
L2 F U' R D' L B2
L2 F U' D' L R B2
L2 F U' D' L B2 R
L2 F U' D' R L B2
L2 F U2 L2 U L' R
L2 F U2 L2 U R L'
L2 F D' U' L R B2
L2 F D' U' L B2 R
L2 F D' U' R L B2
F' D R F' U F' R
L2 F D2 R2 U' L R'
L2 F D2 R2 U' R' L
F D2 R2 F' U L' R'
F D2 R2 F' U R' L'
U2 B L2 U L' U2 L2
U2 B L2 U' L D2 R2
U2 B L2 F2 U' L R
U2 B L2 F2 U' R L
U2 B' L2 U' L R' D
U2 B' L2 U' L R' D'
U2 B' L2 U' L R' D2
U2 B' L2 U' L D R'
U2 B' L2 U' L D' R'
U2 B' L2 U' L D2 R'
U2 B' L2 U' R' L D
U2 B' L2 U' R' L D'
U2 B' L2 U' R' L D2
U2 B' L2 U' R' D L
U2 B' L2 U' R' D' L
U2 B' L2 U' R' D2 L
U2 B' L2 U' D L R'
U2 B' L2 U' D R' L
U2 B' L2 U' D' L R'
U2 B' L2 U' D' R' L
U2 B' L2 U' D2 L R'
U2 B' L2 U' D2 R' L
U2 B' L2 D U' L R'
U2 B' L2 D U' R' L
U2 B' L2 D' U' L R'
U2 B' L2 D' U' R' L
U2 B' L2 D2 U' L R'
U2 B' L2 D2 U' R' L
U2 B' L2 F U' L R'
U2 B' L2 F U' R' L
U2 B' L2 F' U' L R'
U2 B' L2 F' U' R' L
U2 B' L2 F2 U' L R'
U2 B' L2 F2 U' R' L
U2 B' U' R' D L' F2
U2 B' U' D L' R' F2
U2 B' U' D L' F2 R'
U2 B' U' D R' L' F2
U2 B' D U' L' R' F2
U2 B' D U' L' F2 R'
U2 B' D U' R' L' F2
