B' R' F' B' U' F2
B' R' B' F' U' F2
D U F L2 R B
U D F L2 R B
D U F R L2 B
U D F R L2 B
D U F R B L2
U D F R B L2
U F R D L2 B
U F R D B L2
U F D L2 R B
U F D R L2 B
U F D R B L2
U2 B2 U' F R B
U L2 D L2 F R B
L2 U D L2 F R B
U R D F L2 B R
U R D F B L2 R
U R D F B R L2
U R D B F L2 R
U R D B F R L2
U R F D L2 B R
U R F D B L2 R
U R F D B R L2
D2 R F2 B L U F'
D2 R B F2 L U F'
U2 R B2 U' F R B
B' R' D F' B' U' F2
B' R' D B' F' U' F2
B' R' D' F' B' U' F2
B' R' D' B' F' U' F2
B' R' D2 F' B' U' F2
B2 R' D2 F' R U' F2
B' R' D2 B' F' U' F2
B' R' F' D' B' L2 U'
B' R' F' B' L U' F2
B' R' F' B' L' U' F2
B' R' F' B' L2 U' F2
B' R' F' B' U' F2 D
B' R' F' B' U' F2 D'
B' R' F' B' U' F2 D2
B' R' F' B' D' L2 U'
B' R' B' U' F D R2
B' R' B' D F' U' F2
B' R' B' D' F' U' F2
B' R' B' D2 F' U' F2
B' R' B' F' L U' F2
B' R' B' F' L' U' F2
B' R' B' F' L2 U' F2
B' R' B' F' U' F2 D
B' R' B' F' U' F2 D'
B' R' B' F' U' F2 D2
B' R' B' F' D' L2 U'
U2 R' B2 U' F R B
B' R2 B' R F' U' F2
L2 D U L2 F R B
U2 R2 B2 U' F R B
D U R F L2 B R
D U R F B L2 R
D U R F B R L2
D U R B F L2 R
D U R B F R L2
U D R F L2 B R
U D R F B L2 R
U D R F B R L2
U D R B F L2 R
U D R B F R L2
U' D F L' B' L' R'
U' D F L' B' R' L'
D' U F D2 L2 R B
D' U F D2 R L2 B
D' U F D2 R B L2
D U F L' R B L'
D U F L2 R D B
D U F L2 R D' B
D U F L2 R D2 B
D U F L2 R B D
D U F L2 R B D'
D U F L2 R B D2
D U F L2 D R B
D U F L2 D' R B
D U F L2 D2 R B
D U F L2 B R B
D U F L2 B' R B
D U F L2 B2 R B
D U F R L' B L'
D U F R L2 D B
D U F R L2 D' B
D U F R L2 D2 B
D U F R L2 B D
D U F R L2 B D'
D U F R L2 B D2
D U F R B L2 D
D U F R B L2 D'
D U F R B L2 D2
D U F R B' L2 B2
U D F L' R B L'
U D F L2 R D B
U D F L2 R D' B
U D F L2 R D2 B
U D F L2 R B D
U D F L2 R B D'
U D F L2 R B D2
U D F L2 D R B
U D F L2 D' R B
U D F L2 D2 R B
U D F L2 B R B
U D F L2 B' R B
U D F L2 B2 R B
U D F R L' B L'
U D F R L2 D B
U D F R L2 D' B
U D F R L2 D2 B
U D F R L2 B D
U D F R L2 B D'
U D F R L2 B D2
U D F R B L2 D
U D F R B L2 D'
U D F R B L2 D2
U D F R B' L2 B2
D U F B L2 R B
D U F B R L2 B
D U F B R B L2
D U F B' L2 R B
D U F B' R L2 B
D U F B' R B L2
D U F B2 L2 R B
D U F B2 R L2 B
D U F B2 R B L2
U D F B L2 R B
U D F B R L2 B
U D F B R B L2
U D F B' L2 R B
U D F B' R L2 B
U D F B' R B L2
U D F B2 L2 R B
U D F B2 R L2 B
U D F B2 R B L2
D U F2 L2 F' R B
U D F2 L2 F' R B
D U B F L2 R B
D U B F R L2 B
D U B F R B L2
U D B F L2 R B
U D B F R L2 B
U D B F R B L2
D U B' F L2 R B
D U B' F R L2 B
D U B' F R B L2
U D B' F L2 R B
U D B' F R L2 B
U D B' F R B L2
D U B2 F L2 R B
D U B2 F R L2 B
D U B2 F R B L2
U D B2 F L2 R B
U D B2 F R L2 B
U D B2 F R B L2
U' D' R2 U2 F R B
D' U' R2 U2 F R B
D U' F L' B' L' R'
D U' F L' B' R' L'
B' U' R' B' U' R' F
B' U' R' B' U' F R'
U D' F D2 L2 R B
U D' F D2 R L2 B
U D' F D2 R B L2
B2 U' D' F B' R' B
B2 U' D' B' R' F B
B2 U' D' B' R' B F
B2 U' D' B' F R' B
