U F L R U'
U F R L U'
F L R U' L' B
F L R U' B L'
F R L U' L' B
F R L U' B L'
R U F L U' B
U R F L R U'
U R F R L U'
U R' F L R U'
U R' F R L U'
U R2 F L R U'
U R2 F R L U'
D2 U F L R U'
D2 U F R L U'
D' U F L R U'
D' U F R L U'
D U F L R U'
U D F L R U'
D U F R L U'
U D F R L U'
U D' F L R U'
U D' F R L U'
U D2 F L R U'
U D2 F R L U'
U F L R U' D
U F L R U' D'
U F L R U' D2
U F L R D U'
U F L R D' U'
U F L R D2 U'
U F L D R U'
U F L D' R U'
U F L D2 R U'
R F L U' L' B
R F L U' B L'
U F R L U' D
U F R L U' D'
U F R L U' D2
U F R L D U'
U F R L D' U'
U F R L D2 U'
U F R D L U'
U F R D' L U'
U F R D2 L U'
U F D L R U'
U F D R L U'
U F D' L R U'
U F D' R L U'
U F D2 L R U'
U F D2 R L U'
U F2 L F' R U'
F L R U' L B L2
F L R U' L' D B
F L R U' L' D' B
F L R U' L' D2 B
F L R U' L' B D
F L R U' L' B D'
F L R U' L' B D2
F L R U' D L' B
F L R U' D B L'
F L R U' D' L' B
F L R U' D' B L'
F L R U' D2 L' B
F L R U' D2 B L'
F L R U' B L' D
F L R U' B L' D'
F L R U' B L' D2
F L R U' B D L'
F L R U' B D' L'
F L R U' B D2 L'
F L R U' B' L' B2
F L R D U' L' B
F L R D U' B L'
F L R D' U' L' B
F L R D' U' B L'
F L R D2 U' L' B
F L R D2 U' B L'
F L R B' U' L' B2
F L R B' U' B2 L'
F L R B2 U' B' L'
L R U' D' L' B R'
L R U' D' B L' R'
L R U' D' B R' L'
R L U' D' L' B R'
R L U' D' B L' R'
R L U' D' B R' L'
U L U' R D' B R'
U L U' D' R B R'
F L U' B L' D' B2
L R D' U' L' B R'
L R D' U' B L' R'
L R D' U' B R' L'
F L U2 L U L2 B'
R L D' U' L' B R'
R L D' U' B L' R'
R L D' U' B R' L'
F L U2 L2 U L B'
U L U2 B L B' U
F L D R U' L' B
F L D R U' B L'
F L D' R U' L' B
F L D' R U' B L'
U L D' U' R B R'
F L D2 R U' L' B
F L D2 R U' B L'
U L D2 F R F' U'
U L F D2 R F' U'
F L B R U' L' B
F L B R U' B L'
F L B' R U' L' B
F L B' R U' B L'
F L B2 R U' L' B
F L B2 R U' B L'
R U L U' D' B R'
R U L D' U' B R'
R2 U R' F L U' B
R' U R2 F L U' B
U' L2 B' U2 L' R' U'
U' L2 B' U2 R' L' U'
R U D F L U' B
R U D' F L U' B
F R L U' L B L2
F R L U' L' D B
F R L U' L' D' B
F R L U' L' D2 B
F R L U' L' B D
F R L U' L' B D'
F R L U' L' B D2
F R L U' D L' B
F R L U' D B L'
F R L U' D' L' B
F R L U' D' B L'
F R L U' D2 L' B
F R L U' D2 B L'
F R L U' B L' D
F R L U' B L' D'
F R L U' B L' D2
F R L U' B D L'
F R L U' B D' L'
F R L U' B D2 L'
F R L U' B' L' B2
F R L D U' L' B
F R L D U' B L'
F R L D' U' L' B
F R L D' U' B L'
R' U F L U F2 U2
R' U F L U' D2 B2
R' U F L D R2 U'
R' U F L D2 U' B2
F R L D2 U' L' B
F R L D2 U' B L'
R2 U D2 F L U' B'
F R L B' U' L' B2
F R L B' U' B2 L'
R U D2 F L U' B
F R L B2 U' B' L'
R2 U F L R' U' B
R' U F D L R2 U'
R' U F D R2 L U'
R' U F D2 L U' B2
R2 U F R' L U' B
R U F L U' D B
R U F L U' D' B
R U F L U' D2 B
R U F L U' B D
R U F L U' B D'
R U F L U' B D2
R U F L D U' B
R U F L D' U' B
R U F L D2 U' B
R2 U F D2 L U' B'
R U F D L U' B
R U F D' L U' B
R U F D2 L U' B
F' R U L F2 U' B
R U F' L F2 U' B
D2 R U F L U' B
D' R U F L U' B
F' R U F2 L U' B
D R U F L U' B
R U F2 L F' U' B
U' R U2 F L R U'
U' R U2 F R L U'
F R D L U' L' B
F R D L U' B L'
U R D F L R U'
U R D F R L U'
F R D' L U' L' B
F R D' L U' B L'
U R D' F L R U'
U R D' F R L U'
F R D2 L U' L' B
F R D2 L U' B L'
D2 R F L U' L' B
D2 R F L U' B L'
D' R F L U' L' B
D' R F L U' B L'
U R D2 F L R U'
U R D2 F R L U'
D R F L U' L' B
D R F L U' B L'
U R F L R U' D
U R F L R U' D'
U R F L R U' D2
U R F L R D U'
U R F L R D' U'
U R F L R D2 U'
U R F L D R U'
U R F L D' R U'
U R F L D2 R U'
U R F R L U' D
U R F R L U' D'
U R F R L U' D2
U R F R L D U'
U R F R L D' U'
U R F R L D2 U'
U R F R D L U'
U R F R D' L U'
U R F R D2 L U'
