L D B' L U L
F' L D B' L U L
B' L D B' L F U
F2 L D B' L U L
F L D B' L U L
B' L2 D' F L' B' U
B' L2 F U B' R' B
L2 U B' R' B D L2
U' R D F' U2 L2 R
U' R D F' U2 R L2
U' R D' R2 U2 B R'
U R' D L2 D2 B R'
U R' D' B D2 L2 R'
U R' D' B D2 R' L2
B2 R' F2 L' F U' B
L' U2 R' F B2 U' B'
L' U2 R' B2 F U' B'
L2 U2 R' F' B2 U' B'
L2 U2 R' B2 F' U' B'
L' U2 F R' B2 U' B'
L' U2 F B2 R' U' B
L' U2 B2 R' F U' B
L2 U2 B2 R' F' U' B
L' U2 B2 F R' U' B
L2 U2 B2 U' B' R' B
L2 D L' B' L U L2
L' D L2 B' L U L'
L D F B' L U L
L D F' B' L U L
L D F2 B' L U L
L D B' L U L D
L D B' L U L D'
L D B' L U L D2
L D B' L U D L
L D B' L U D' L
L D B' L U D2 L
L D B' L D U L
L D B' L D' U L
L D B' L D2 U L
L D B' L F U L
L D B' L F' U L
L D B' L F2 U L
L D B' D L F2 U
L D B' D F2 L U
L D B' F L U L
L D B' F' L U L
L D B' F2 L U L
R2 D' R F2 L' B R'
R2 D' R F2 B L' R'
R2 D' R F2 B R' L'
R2 D' R B F2 L' R'
R2 D' R B F2 R' L'
L D2 L F2 U B' R'
L D2 F2 L U B' R'
L D2 F2 D' B' L U
L D2 F2 B' L U B'
L D2 B' L F2 U B'
L D2 B' F2 L U B'
L F D B' L U L
L F' D B' L U L
D F' B' L U L R
D F' B' L U R L
D F' B2 U L2 R B
D F' B2 U R L2 B
D F' B2 U R B L2
R' F2 L' F B2 U' B'
R' F2 L' B2 F U' B'
L F2 D B' L U L
D B' L F' U L R
D B' L F' U R L
L B' L2 D' F L' U
L B' U2 R' B' U' B2
L B' U2 B' R' U' B
L B' D' L2 F L' U
D B' F' L U L R
D B' F' L U R L
U2 B2 R' U' D' B R'
U2 B2 R' D' U' B R'
U2 B2 U' R' D' B R'
D B2 F' U L2 R B
D B2 F' U R L2 B
D B2 F' U R B L2
