B' L2 U' F R
B' L' D F L' U'
B' L' F L' U' F
B' L2 U' R F R
B' L2 U' R' F R
B' L2 U' R2 F R
B' L2 U' D F R
B' L2 U' D' F R
B' L2 U' D2 F R
B' L2 U' F R D
B' L2 U' F R D'
B' L2 U' F R D2
B' L2 U' F D R
B' L2 U' F D' R
B' L2 U' F D2 R
B' L2 D U' F R
B' L2 D' U' F R
B' L2 D2 U' F R
L' D F L2 U' L
B' U D' B' L U2
B' D' U B' L U2
D F' B' L2 U' R
B' F L2 U' F R
D B' L2 F' U' R
D B' L2 F' U' R
F' B' L2 U' F R
B' F' L2 U' F R
F2 B' L2 U' F R
F B' L2 U' F R
D B' F' L2 U' R
B' F2 L2 U' F R
B' L U2 R' B' U F'
B' L U2 B' R' U F'
B' L D L U' F R
B' L D' L U' F R
B' L D2 L U' F R
B' L F L U' F R
B' L F' L U' F R
B' L F2 L U' F R
U L B2 U B U L
B2 L' U' F B U' B'
B2 L' U' B F U' B'
F' L' D F L2 U' L
B' L' D F L' U' D
B' L' D F L' U' D'
B' L' D F L' U' D2
B' L' D F L' D U'
B' L' D F L' D' U'
B' L' D F L' D2 U'
F2 L' D F L2 U' L
B' L' D F D L' U'
B' L' D F D' L' U'
B' L' D F D2 L' U'
F L' D F L2 U' L
B' L' F L U B' U2
B' L' F L' U' D F
B' L' F L' U' D' F
B' L' F L' U' D2 F
B' L' F L' U' F D
B' L' F L' U' F D'
B' L' F L' U' F D2
B' L' F L' D U' F
B' L' F L' D' U' F
B' L' F L' D2 U' F
B' L' F U' L' F L
B2 L' F B L2 U' F
B2 L' F B U B' U2
B' L' F' L' F2 U' F'
B L' F B2 L2 U' F
B L' F B2 U B' U2
B' L' F2 L' F' U' F2
B2 L' B F L2 U' F
B2 L' B F U B' U2
B L' B2 F L2 U' F
B L' B2 F U B' U2
B' L2 U L2 B' U2 R'
B' L2 U B' U2 R' F
B' L2 U B' U2 F R'
B' L2 U' R D F R
B' L2 U' R D' F R
B' L2 U' R D2 F R
B' L2 U' R F R D
B' L2 U' R F R D'
B' L2 U' R F R D2
B' L2 U' R F D R
B' L2 U' R F D' R
B' L2 U' R F D2 R
B' L2 U' R' D F R
B' L2 U' R' D' F R
B' L2 U' R' D2 F R
B' L2 U' R' F R D
B' L2 U' R' F R D'
B' L2 U' R' F R D2
B' L2 U' R' F D R
B' L2 U' R' F D' R
B' L2 U' R' F D2 R
B' L2 U' R2 D F R
B' L2 U' R2 D' F R
B' L2 U' R2 D2 F R
B' L2 U' R2 F R D
B' L2 U' R2 F R D'
B' L2 U' R2 F R D2
B' L2 U' R2 F D R
B' L2 U' R2 F D' R
B' L2 U' R2 F D2 R
B' L2 U' D R F R
B' L2 U' D R' F R
B' L2 U' D R2 F R
B' L2 U' D F R D
B' L2 U' D F R D'
B' L2 U' D F R D2
B' L2 U' D F D R
B' L2 U' D F D' R
B' L2 U' D F D2 R
B' L2 U' D' R F R
B' L2 U' D' R' F R
B' L2 U' D' R2 F R
B' L2 U' D' F R D
B' L2 U' D' F R D'
B' L2 U' D' F R D2
B' L2 U' D' F D R
B' L2 U' D' F D' R
B' L2 U' D' F D2 R
B' L2 U' D2 R F R
B' L2 U' D2 R' F R
B' L2 U' D2 R2 F R
B' L2 U' D2 F R D
B' L2 U' D2 F R D'
B' L2 U' D2 F R D2
B' L2 U' D2 F D R
B' L2 U' D2 F D' R
B' L2 U' D2 F D2 R
B' L2 U' F R2 D R'
B' L2 U' F R2 D' R'
B' L2 U' F R2 D2 R'
B' L2 U' F D R D
B' L2 U' F D R D'
B' L2 U' F D R D2
B' L2 U' F D' R D
B' L2 U' F D' R D'
B' L2 U' F D' R D2
B' L2 U' F D2 R D
B' L2 U' F D2 R D'
B' L2 U' F D2 R D2
B' L2 U' F B R B'
B' L2 U' F B2 R B2
B' L2 U' F' R F2 R
B' L2 U' F' R' F2 R
B' L2 U' F' R2 F2 R
B' L2 U' B F R B'
B' L2 U' B2 F R B2
B' L2 U2 R B U F
B' L2 U2 B U F R
B' L2 U2 B' U F R
B' L2 U2 B2 U F R
D L2 U2 F U' L' U2
B' L2 D U' R F R
B' L2 D U' R' F R
B' L2 D U' R2 F R
B' L2 D U' F R D
B' L2 D U' F R D'
B' L2 D U' F R D2
B' L2 D U' F D R
B' L2 D U' F D' R
B' L2 D U' F D2 R
B' L2 D' U' R F R
B' L2 D' U' R' F R
B' L2 D' U' R2 F R
B' L2 D' U' F R D
B' L2 D' U' F R D'
B' L2 D' U' F R D2
B' L2 D' U' F D R
B' L2 D' U' F D' R
B' L2 D' U' F D2 R
B' L2 D2 U' R F R
B' L2 D2 U' R' F R
B' L2 D2 U' R2 F R
B' L2 D2 U' F R D
B' L2 D2 U' F R D'
B' L2 D2 U' F R D2
B' L2 D2 U' F D R
B' L2 D2 U' F D' R
B' L2 D2 U' F D2 R
B' L2 F L F U' F'
D L2 F U L' U2 L
B' L2 F' L F U' F
B' L2 F' U' F R F
D L2 F' U' R D' L2
D L2 F' U' D' L2 R
D L2 F' U' D' R L2
B' L2 F2 L F U' F2
D L2 F' D' U' L2 R
D L2 F' D' U' R L2
D L2 F' D2 B2 U' R
B' L2 F2 U' F R F2
B2 L2 B U B' U2 R'
B L2 B2 U B' U2 R'
L2 U2 D2 F U F R
B R2 D L2 F' R B2
B R2 D L2 F' B2 R
B R2 D L2 B2 F' R
L U2 B' U' B' R' U2
B R2 D F' L2 R B2
B R2 D F' L2 B2 R
B R2 D F' R L2 B2
B R2 D F' R B2 L2
B R2 D F' B2 L2 R
B R2 D F' B2 R L2
B R2 D B2 L2 F' R
B R2 D B2 F' L2 R
B R2 D B2 F' R L2
L2 D L F L B' U'
L D L' B' L' F U'
L D L2 D F U' L'
B' U L U B' R' U
L' D F L2 U' L D
L' D F L2 U' L D'
L' D F L2 U' L D2
L' D F L2 U' D L
L' D F L2 U' D' L
L' D F L2 U' D2 L
L' D F L2 D U' L
L' D F L2 D' U' L
L' D F L2 D2 U' L
L' D F U' D L' F2
L' D F D U' L' F2
L' D F B L2 U' L
L' D F B' L2 U' L
L' D F B2 L2 U' L
L' D F' L2 F2 U' L'
L' D F2 L2 F' U' L'
L' D B F L2 U' L
L' D B' F L2 U' L
L' D B2 F L2 U' L
B' U D' B' L U2 D
B' U D' B' L U2 D'
B' U D' B' L U2 D2
B' U D' B' L D U2
B' U D' B' L D' U2
B' U D' B' L D2 U2
B' U D' B' D L U2
B' U D' B' D' L U2
B' U D' B' D2 L U2
B U D' B R2 U2 R
B' U B' L U B' U
B' U B' L' U' F U'
B' U B2 D' B U2 R'
B U' R2 D L2 F' R
B U' R2 D F' L2 R
B U' R2 D F' R L2
B U' D L2 R2 F' R
B U' D R2 L2 F' R
B U' D R2 F' L2 R
B U' D R2 F' R L2
B2 U' D' B U' R' B'
R' D2 R F' B' U' F'
R' D2 R B' F' U' F'
L2 D2 U2 F U F R
L' D2 F U' D' F L'
L' D2 F D' U' F L'
R' D2 B' R F' U' F'
L' F L D B' L2 U'
L' F L D2 B' U' F2
L' F L B' L2 U' F
L' F L B' U B' U2
L' F L' D L2 B' U'
B' D L2 U' F' R F2
B' D L2 F' U' R F2
D F D B' U' F2 R
