B' L' R' F2 D B2
B' R U' L' R2 F2
B' R U' L' F2 R2
B' R U' R2 L' F2
B' R' L' F2 D B2
L' F2 U' L' B' U
L' B' R' F2 D B2
R B' U' L' R' F2
R B' U' L' F2 R'
R B' U' R' L' F2
B' L R U' L2 R2 F2
B' L R U' L2 F2 R2
B' L R U' R2 L2 F2
B' L R U' R2 F2 L2
B' L R U' F2 L2 R2
B' L R U' F2 R2 L2
U' L R F U' F L2
B' L R' F2 L2 D B2
B L U' R U' L2 F2
B L U' R U' F2 L2
L R B U' L2 F2 R
R L B U' L2 F2 R
L R B' U' L2 R' F2
L R B' U' L2 F2 R'
L R B' U' R' L2 F2
L R B' U' R' F2 L2
L R B' U' F2 L2 R'
L R B' U' F2 R' L2
R L B' U' L2 R' F2
R L B' U' L2 F2 R'
R L B' U' R' L2 F2
R L B' U' R' F2 L2
R L B' U' F2 L2 R'
R L B' U' F2 R' L2
R2 L' U R' F' U' F'
B' L' R F2 R2 D B2
B' L' R' U R2 U' F2
B' L' R' D B2 D' F2
B' L' R' F D F B2
B' L' R' F D B2 F
B' L' R' F' D F' B2
B' L' R' F' D B2 F'
B' L' R' F2 U R2 U'
B' L' R' F2 D B2 D
B' L' R' F2 D B2 D'
B' L' R' F2 D B2 D2
B' L' R' F2 B D B2
B' L' R' F2 B' D B2
B' L' R' F2 B2 D B2
B' L' R' B F2 D B2
B' L' R' B' F2 D B2
B' L' R' B2 F2 D B2
B' L' U R U' R2 F2
B' L' U R U' F2 R2
R' L' F2 D B' R' B'
L' R' F2 D B' R' B'
R2 L' F2 U R' F' U'
R' L' F2 B D B2 R'
L' R' F2 B D B2 R'
R' L' F2 B' D R' B2
L' R' F2 B' D R' B2
R2 L' F2 B' D' R' B
B' L' D' R' D F2 B2
B' L' D' R' D B2 F2
R' L' B F2 D B2 R'
L' R' B F2 D B2 R'
R' L' B' F2 D R' B2
L' R' B' F2 D R' B2
R2 L' B' F2 D' R' B
B' L' F D R' F B
B' L' F D R' B F
B' L' F D F R' B
L' R2 U R' F' U' F'
B' L' F2 R' U' L' U
B' L' F2 U' L' U R'
U' L' F2 U' B' L' U
B2 L' B R' F2 D B2
B' L2 R U' L R2 F2
B' L2 R U' L F2 R2
B' L2 R U' R2 L F2
B' L2 R U' R2 F2 L
B' L2 R U' F2 L R2
B' L2 R U' F2 R2 L
B L2 R U' F2 L R
B L2 R U' F2 R L
B' L2 R' F2 L D B2
B' L2 R' F2 D L B2
L' R2 F2 U R' F' U'
L' R2 F2 B' D' R' B
L' R2 B' F2 D' R' B
L' U R U2 B U F2
B' L2 F2 L R' D' B2
B' L2 F2 L D' R' B2
