D B' R' U L B
B' R F L' R2 F2 U
B' R F L' F2 R2 U
B' R F R2 L' F2 U
B' R F' R2 U2 R' U'
F2 R F' B' L' R' U
F2 R F' B' R' L' U
F R B' L' F' R' U
F2 R B' F' L' R' U
F2 R B' F' R' L' U
B' R' U2 D2 B R' U'
B' R' D2 U2 B R' U'
B' R' F L' U2 B U'
B' R' F' U2 B R U'
D R' B' R' U L B2
F2 R2 B' R' F' L' U
F R2 B' L' R' F' U
F R2 B' R' L' F' U
R D F' B' R' U B
R2 D B' R' F' U B
R D B' F' R' U B
R D2 F' B' L R' U
R D2 F' B' R' L U
R2 D2 B' L R' F' U
R2 D2 B' R' L F' U
R2 D2 B' R' F' L U
R D2 B' L F' R' U
R D2 B' F' L R' U
R D2 B' F' R' L U
U2 F R B' L' F' U
B' D R' U B' L B2
U2 F B' L' R F' U
U2 F B' R L' F' U
R2 F B' L' R' F' U
R2 F B' R' L' F' U
D F B' R' U L B
R F B' L' R' F2 U
R F B' L' F2 R' U
R F B' R' L' F2 U
F D B' L' R' U L2
F D B' R' L' U L2
D F' B' R' U L B
R F' B' R' U D B2
R F' B' R' U2 R2 U'
R F' B' R' D U B2
R F' B' R' D2 L2 U
R2 F2 B' R' F' L' U
D F2 B' R' U L B
F D2 B' L' R' F U
F D2 B' L' F R' U
F D2 B' R' L' F U
B' F L' R F' R2 U
B' F L' R' U2 B U'
R' B D' L U' R2 B'
R' B D' L U' B' R2
B' F R L' F' R2 U
B' F R' L' U2 B U'
D2 B' L R' U2 B' U'
D2 B' L' R' F L2 U
D2 B' L' F L2 R' U
D2 B' L' F R' L2 U
D B' L' R' U L2 B
D B' L' R' U B L2
D B' L2 R' U L' B
D B' L2 R' U B L'
B' F D2 L' R' F U
D2 B' R' L U2 B' U'
B' F D2 L' F R' U
D2 B' R' L' F L2 U
B' F D2 R' L' F U
D B' R' L' U L2 B
D B' R' L' U B L2
D B' R' L2 U L' B
D B' R' L2 U B L'
D B' R' U L D B
D B' R' U L D' B
D B' R' U L D2 B
D B' R' U L B D
D B' R' U L B D'
D B' R' U L B D2
D B' R' U L' B L2
D B' R' U L2 B L'
D B' R' U D L B
D B' R' U D' L B
D B' R' U D2 L B
D B' R' D U L B
R2 B' R' F L' F2 U
D B' R' D' U L B
R2 B' R' F' U2 R U'
D B' R' D2 U L B
D B' R' F U L B
D B' R' F' U L B
D B' R' F2 U L B
F B' L' R F' R2 U
F B' L' R' U2 B U'
R' B' D R' U L2 B
R' B' D R' U B L2
B' F' R' U2 B R2 U'
F2 B' R F' L' R2 U
F2 B' R F' R2 L' U
F' B' R' U2 B R2 U'
F B' R L' F' R2 U
R2 B' D R' F' U B
F B' R' L' U2 B U'
R B' D F' R' U B
D B' D2 R' U L B'
U2 B' F L' R F' U
U2 B' F R L' F' U
R2 B' F L' R' F' U
R2 B' F R' L' F' U
D B' F R' U L B
D B' F' R' U L B
R B' F L' R' F2 U
R B' F L' F2 R' U
R B' F R' L' F2 U
R2 B' F2 R' F' L' U
D B' F2 R' U L B
R B' F' R' U D B2
R B' F' R' U2 R2 U'
R B' F' R' D U B2
R B' F' R' D2 L2 U
F B' D2 L' R' F U
F B' D2 L' F R' U
F B' D2 R' L' F U
B' F2 R F' L' R2 U
B' F2 R F' R2 L' U
