F' R B U D2 B2 L
F' R B U' R' F2 U2
F' R B U' F2 R' U2
F' R B D2 U B2 L
B R' F U' L' F2 U'
F2 U F' L' B' U2 L
F U' L' B' U' L R'
F U' L' B' U' R' L
F U' B' L' U' L2 R'
F U' B' L' U' R' L2
L' F L' U' B' L R'
L' F L' U' B' R' L
L2 F' R B U B2 L
F' D' L2 R F' B U
F' D' L2 R B F' U
F' D' R L2 F' B U
F' D' R L2 B F' U
F' D' R F' L2 B U
F' D' R F' B L2 U
F' D' R B L2 F' U
F' D' R B F' L2 U
L2 F2 U B' L F R
L2 F2 U' B' L R' F'
L2 F2 U' B' R' L F'
L2 F2 U' B' R' F' L
B F R' U' L' F' U'
F B R' U' L' F' U'
B2 F U' L' B' U' R'
F B2 U' L' B' U' R'
