U L U2 B' R' F'
U F' B' L' F U2
U B' L U2 B' R'
U B' L' F U2 R
U B' F' L' F U2
B' L U' B U' B2 R'
U L U2 R' F' B' R'
U L U2 R' B' F' R'
U L U2 D B' R' F'
U L U2 D' B' R' F'
U L U2 D2 B' R' F'
U L U2 F B' R' F'
U L U2 F' B' R' F'
U L U2 F2 B' R' F'
U L U2 B' R' D F'
U L U2 B' R' D' F'
U L U2 B' R' D2 F'
U L U2 B' R' F' D
U L U2 B' R' F' D'
U L U2 B' R' F' D2
U L U2 B' D R' F'
U L U2 B' D' R' F'
U L U2 B' D2 R' F'
U L U2 B' F R' F'
U L U2 B' F' R' F'
U L U2 B' F2 R' F'
U L D U2 B' R' F'
U L D' U2 B' R' F'
U L D2 U2 B' R' F'
U' L B' L R' F L2
U' L B' L F L2 R'
U' L B' L F R' L2
U' L B' R' L F L2
L2 R' F' L' U' F2 B'
L2 R' F' L' U' B' F2
U L' D2 F U2 R F'
U L' F L B' U2 R
U L' F L' U2 R F
U L' F U2 D2 R F'
U L' F D2 U2 R F'
U L' F' L' F2 U2 F'
D2 L2 R' F' U' F2 B
D2 L2 R' F' U' B F2
D L2 R' F' R U' F2
R' L2 F' L' U' F2 B'
R' L2 F' L' U' B' F2
D2 L2 U' F B' R' B
D2 L2 U' B' R' F B
D2 L2 U' B' R' B F
D2 L2 U' B' F R' B
U' L2 U2 F L2 R B
U' L2 U2 F R L2 B
U' L2 U2 F R B L2
U' L2 F L' B' L' R'
U' L2 F L' B' R' L'
L' U L2 U2 B' R' F'
U L2 F' L' U2 F2 B'
U L2 F' L' U2 B' F2
U L2 F' U2 F2 R B
U L2 F2 U2 F' R B
L' U D2 F U2 R F'
L' U F L B' U2 R
L' U F L' U2 R F
L' U F U2 D2 R F'
L' U F D2 U2 R F'
L' U F' L' F2 U2 F'
D2 R' L2 F' U' F2 B
D2 R' L2 F' U' B F2
L2 U' F B' R' D B2
L U' F B' R' D' F2
D R' L2 F' R U' F2
L2 U' B' F R' D B2
L U' B' F R' D' F2
D2 R' F' L2 U' F B
D2 R' F' L2 U' B F
D2 R' F' U B' U2 B2
D2 R' F' U' B D2 F2
D R' F' L2 R U' F
D R' F' R L2 U' F
D R' F' R U B' U2
L U2 R' U F' B' R'
L U2 R' U B' F' R'
R' D L2 F' R U' F2
F' U L U2 B' R' F'
F2 U L U2 B' R' F'
F U L U2 B' R' F'
R' D F' L2 R U' F
R' D F' R L2 U' F
R' D F' R U B' U2
F' U F' B' L' F U2
D2 U B' U2 B' R' B
F2 U F' B' L' F U2
F U F' B' L' F U2
F' U B' L U2 B' R'
F' U B' L' F U2 R
F2 U B' L U2 B' R'
F2 U B' L' F U2 R
F' U B' F' L' F U2
F2 U B' F' L' F U2
F U B' L U2 B' R'
F U B' L' F U2 R
F U B' F' L' F U2
D2 U' B2 R' B R' F'
B' U' B U L U2 B'
L' D2 U F U2 R F'
U' D2 B2 R' B R' F'
U D2 B' U2 B' R' B
U F L2 U2 R F B
U F L2 U2 R B F
U F B' L U2 R B'
U F B' L U2 B' R
U F B' L2 U2 R B
L2 F' L' U' F2 B' R'
L2 F' L' U' B' R' F2
L2 F' L' U' B' F2 R'
U F' B L' F B2 U2
U F' B L' B2 F U2
U F' B' L' D F U2
U F' B' L' D' F U2
U F' B' L' D2 F U2
U F' B' L' F U2 D
U F' B' L' F U2 D'
U F' B' L' F U2 D2
U F' B' L' F D U2
U F' B' L' F D' U2
U F' B' L' F D2 U2
U F' B2 L' F B U2
U F' B2 L' B F U2
L2 F2 L' U' F' B' R'
L2 F2 L' U' B' F' R'
U F2 L' F L' U2 F
L' F2 U F' L' U2 F
U F2 B' L' F L' U2
U' B L B2 U2 L' B
U' B L B2 U2 B L'
U B L' F B2 U2 R
U B L' B2 F U2 R
U' B U2 L B2 U2 B
U' B D2 F2 B2 R' B
U' B D2 B2 R' F2 B
U' B D2 B2 R' B F2
U' B D2 B2 F2 R' B
U' B' L U2 R' B' L'
U B F' L' F B2 U2
U B F' L' B2 F U2
U' B' L' F U2 L R'
U' B' L' F U2 R' L
U B' L U2 R B' R'
U B' L U2 R' B' R'
U B' L U2 R2 B' R'
U B' L U2 D B' R'
U B' L U2 D' B' R'
U B' L U2 D2 B' R'
U B' L U2 B' R' D
U B' L U2 B' R' D'
U B' L U2 B' R' D2
U B' L U2 B' D R'
U B' L U2 B' D' R'
U B' L U2 B' D2 R'
U B' L D U2 B' R'
U B' L D' U2 B' R'
U B' L D2 U2 B' R'
U B' L F U2 R B'
U B' L F U2 B' R
U B' L' D F U2 R
U B' L' D' F U2 R
U B' L' D2 F U2 R
U B' L' F L U2 R
U B' L' F L' U2 R
U B' L' F L2 U2 R
U B' L' F U2 R D
U B' L' F U2 R D'
U B' L' F U2 R D2
U B' L' F U2 D R
U B' L' F U2 D' R
U B' L' F U2 D2 R
U B' L' F D U2 R
U B' L' F D' U2 R
U B' L' F D2 U2 R
U B' L' F' L' F2 U2
U B' L2 F U2 R B
U B' L2 F' L' U2 B'
U B' U2 L B' L' R'
U B' U2 L B' R' L'
U B' U2 D2 B' R' B
U B' U2 B' D2 R' B
U B' D2 U2 B' R' B
U B' F L U2 R B'
U B' F L U2 B' R
U B' F L2 U2 R B
U B' F' L' D F U2
U B' F' L' D' F U2
U B' F' L' D2 F U2
U B' F' L' F U2 D
U B' F' L' F U2 D'
U B' F' L' F U2 D2
U B' F' L' F D U2
U B' F' L' F D' U2
U B' F' L' F D2 U2
U B' F2 L' F L' U2
U B2 L' F B U2 R
U B2 L' B F U2 R
U' B2 D2 R2 F' R B
U B2 F' L' F B U2
U B2 F' L' B F U2
