B L F2 U F' R U
F' L' R' B' U' R' B
F' L' R2 B' U' R' B2
D L' R2 B' U' R' F'
F' L' B' R2 U' B R
F' L' B' U F' U2 R'
D2 L' B' U' R' F' B'
D2 L' B' U' R' B' F'
F' L' B' U' R2 B R
F' R' L' B' U' R' B
F' R2 L' B' U' R' B2
D R2 L' B' U' R' F'
D R2 F' L' B' U' R'
L' D R2 B' U' R' F'
D R2 B' U' R' F' L'
B U L F2 U2 F' L'
F2 U F' R B U L
B' U F2 U2 R' F' L'
B' U' R' D2 F' L' B2
B' U' R' D2 F' B2 L'
B' U' R' D2 B2 F' L'
B' U' D2 R' F' L' B2
B' U' D2 R' F' B2 L'
B' U' D2 R' B2 F' L'
B U' D2 B2 R' F' L'
L' D2 B' U' R' F' B'
L' D2 B' U' R' B' F'
D2 F' L' B' U' R' B'
D F' L' R2 B' U' R'
D F' L' B' R2 U' R
D F' R2 L' B' U' R'
L F2 U F' R B U
B' D2 U' R' F' L' B2
B' D2 U' R' F' B2 L'
B' D2 U' R' B2 F' L'
B D2 U' B2 R' F' L'
L' B' U F2 U2 R' F'
D2 B' U' R' F' B' L'
D2 B' U' R' B' F' L'
L' B' U' R' D2 F' B2
L' B' U' R' D2 B2 F'
L' B' U' D2 R' F' B2
L' B' U' D2 R' B2 F'
L' B' D2 U' R' F' B2
L' B' D2 U' R' B2 F'
