F2 U2 D F L'
F2 D U2 F L'
F2 R U2 D F L'
F2 R D U2 F L'
F2 R' U2 D F L'
F2 R' D U2 F L'
F2 R2 U2 D F L'
F2 R2 D U2 F L'
F2 U2 D F L' D
F2 U2 D F L' D'
F2 U2 D F L' D2
F2 U2 D F D L'
F2 U2 D F D' L'
F2 U2 D F D2 L'
F2 D R U2 F L'
F2 D R' U2 F L'
F2 D R2 U2 F L'
F2 D U2 F L' D
F2 D U2 F L' D'
F2 D U2 F L' D2
F2 D U2 F D L'
F2 D U2 F D' L'
F2 D U2 F D2 L'
F' D F' R U2 F
F2 D B U2 F L'
F2 D B' U2 F L'
F2 D B2 U2 F L'
F2 D' B R' U2 F
F2 D' B' U2 F L
R2 F2 D' B R' U2
F2 B U2 D F L'
F2 B D U2 F L'
F2 B' U2 D F L'
F2 B' D U2 F L'
B' F2 U2 D F L'
B' F2 D U2 F L'
F2 B2 U2 D F L'
B2 F2 U2 D F L'
B F2 U2 D F L'
F2 B2 D U2 F L'
B2 F2 D U2 F L'
B F2 D U2 F L'
U L D' L2 F U F2
U' L D2 B' U' F' B'
U' L D2 B' U' B' F'
U' L B' U F2 U2 F
U' L B' U' D2 F' B2
U' L B' U' D2 B2 F'
U' L B' D2 U' F' B2
U' L B' D2 U' B2 F'
U2 L' D' F' D' L2 B2
U2 L' D' F' D' B2 L2
U L' D' F L2 U F2
U2 L' D2 F' B2 D' L2
U L' D2 F U F2 B2
U L' D2 F U B2 F2
U2 L' D2 B2 F' D' L2
U L' F L2 U F2 B'
U L' F L2 U B' F2
U L' F U' F U2 F
U' L2 U' D2 F' L' B2
U' L2 U' D2 F' B2 L'
U' L2 U' D2 B2 F' L'
U L2 U' F2 U2 F L'
U' L2 D2 U' F' L' B2
U' L2 D2 U' F' B2 L'
U' L2 D2 U' B2 F' L'
L2 U F' D2 R2 B L
L2 U F2 L2 B' R' U2
F2 R U2 D F L' D
F2 R U2 D F L' D'
F2 R U2 D F L' D2
F2 R U2 D F D L'
F2 R U2 D F D' L'
F2 R U2 D F D2 L'
F2 R D R U2 F L'
F2 R D R' U2 F L'
F2 R D R2 U2 F L'
F2 R D U2 F L' D
F2 R D U2 F L' D'
F2 R D U2 F L' D2
F2 R D U2 F D L'
F2 R D U2 F D' L'
F2 R D U2 F D2 L'
F2 R D B U2 F L'
F2 R D B' U2 F L'
F2 R D B2 U2 F L'
F2 R D' B R' U2 F
F2 R D' B' U2 F L
F R F U2 D F L'
F R F D U2 F L'
L2 U' L2 F2 U2 F L'
F2 R B U2 D F L'
F2 R B D U2 F L'
F2 R B' U2 D F L'
F2 R B' D U2 F L'
F2 R B2 U2 D F L'
F2 R B2 D U2 F L'
L2 U' D2 F' L' R2 B2
L2 U' D2 F' L' B2 R2
L2 U' D2 F' R2 L' B2
L2 U' D2 F' R2 B2 L'
L2 U' D2 F' B2 L' R2
L2 U' D2 F' B2 R2 L'
L2 U' D2 B2 F' L' R2
L2 U' D2 B2 F' R2 L'
L2 U' F' D2 L' R2 B
L2 U' F' D2 R2 L' B
L2 U' F' D2 R2 B L'
F2 R' U2 D F L' D
F2 R' U2 D F L' D'
F2 R' U2 D F L' D2
F2 R' U2 D F D L'
F2 R' U2 D F D' L'
F2 R' U2 D F D2 L'
F2 R' D R U2 F L'
F2 R' D R' U2 F L'
F2 R' D R2 U2 F L'
F2 R' D U2 F L' D
F2 R' D U2 F L' D'
F2 R' D U2 F L' D2
F2 R' D U2 F D L'
F2 R' D U2 F D' L'
F2 R' D U2 F D2 L'
F2 R' D B U2 F L'
F2 R' D B' U2 F L'
F2 R' D B2 U2 F L'
F2 R' D' B R' U2 F
F2 R' D' B' U2 F L
F R' F U2 D F L'
F R' F D U2 F L'
F2 R' B U2 D F L'
F2 R' B D U2 F L'
F2 R' B' U2 D F L'
F2 R' B' D U2 F L'
F2 R' B2 U2 D F L'
F2 R' B2 D U2 F L'
F2 R2 U2 D F L' D
F2 R2 U2 D F L' D'
F2 R2 U2 D F L' D2
F2 R2 U2 D F D L'
F2 R2 U2 D F D' L'
F2 R2 U2 D F D2 L'
F2 R2 D R U2 F L'
F2 R2 D R' U2 F L'
F2 R2 D R2 U2 F L'
