L B R F' U F
U' L R F' R' B U
L R D' F' U R F
R L D' F' U R F
U' L D B U' R' U2
U' L D' F B U L'
L R F' R' B U F
U' L D' B F U L'
L R F' R2 U F R
R L F' R' B U F
R L F' R2 U F R
D' L F B U L' F'
U L F2 B R F' U
F2 L B R F' U F'
U' L B R F' R' U
D2 L B D2 F2 U F2
D' L B F U L' F'
U' L B D' F U L'
U L B F2 R F' U
U' L B2 D B' U L
D2 L' U' F L2 B U
D2 L' U' F B L2 U
D2 L' U' B F L2 U
D2 L' F L2 B U F'
D2 L' F B L2 U F'
D2 L' B F L2 U F'
D L' B' D' L R2 B2
D L' B' D' L B2 R2
D L' B' D' R2 L B2
B2 L2 R' F B U' F'
B2 L2 R' B F U' F'
B2 L2 U R' F B U'
B2 L2 U R' B F U'
B2 L2 U F R' B U'
U' L2 D2 L' F B U
U' L2 D2 L' B F U
U' L2 D2 B L' F U
U' L2 B D2 L' F U
L U R' B U' B' R'
D L2 B' L D' R2 B2
D L2 B' L D' B2 R2
U' R L F' R' B U
R2 U F' U' L' D' B2
R2 U F' U2 L U L2
R2 U F' B' U' L' B'
R2 U F' B2 R' U' L'
R2 U B' F' U' L' B'
R2 U B2 F' R' U' L'
R2 U' L U2 F' U' L'
R U' L D' F' U R
U' R F' L R' B U
U' R F' R' L B U
R U' D' L F' U R
L2 U' D2 L' F B U
L2 U' D2 L' B F U
R U' D' F' L U R
R U' D2 L F' B' U
R U' D2 L B' F' U
L2 U' D2 B L' F U
R U' D2 F' L B' U
B2 R' L2 F B U' F'
B2 R' L2 B F U' F'
R U' F' D2 L B' U
B R' U B R' U' R
L2 U' B D2 L' F U
B2 R' B D2 F2 U' F2
U R' B2 R' F' B' U'
U R' B2 R' B' F' U'
U R2 F' U2 L F U
U' D L B U' R' U2
B2 U R' B U' D' R2
B2 U R' B U2 B2 U
B2 U R' B D' U' R2
B2 U R' B D2 F2 U'
L2 D B' L D' R2 B2
L2 D B' L D' B2 R2
B U R' B R' U' R2
R D' L F' U R F
D' U' L F B U L'
U' D' L F B U L'
D' U' L B F U L'
U' D' L B F U L'
D2 U' L B U D L2
B U B R' B U' R
D2 U' L B U2 B2 U'
D2 U' L B D U L2
D2 U' L B D2 F2 U
D2 U' L' F L2 B U
D2 U' L' F B L2 U
D2 U' L' B F L2 U
D U' L B U' R' U2
R D' U' L F' U R
R D' U' F' L U R
L D' F B U L' F'
D' U' F L B U L2
U' D' F L B U L2
L D' B F U L' F'
L2 D2 L' F B U F'
R D2 L F' B' U F
L2 D2 L' B F U F'
R D2 L B' F' U F
U' D2 L B U D L2
U' D2 L B U2 B2 U'
U' D2 L B D U L2
U' D2 L B D2 F2 U
U' D2 L' F L2 B U
U' D2 L' F B L2 U
U' D2 L' B F L2 U
L2 D2 U' L' F B U
L2 D2 U' L' B F U
L2 D2 U' B L' F U
R D2 U' L F' B' U
R D2 U' L B' F' U
R D2 U' F' L B' U
L2 D2 B L' F U F'
D' F L B U L2 F'
D' F L B U F' L2
B D B' L B' D' R2
L F' D' B U F L'
L F' B R F' U F2
L F' B U D' F L'
L F' B D' U F L'
B D2 L' F L' U F'
L F2 B R F' U F'
L2 B L' R F' U F
L' B L2 R F' U F
B D2 F L' F U F2
L' B R L2 F' U F
L2 B R L' F' U F
L B R D F' U F
L B R D' F' U F
L B R D2 F' U F
L B R F' R U F
L B R F' R' U F
L B R F' R2 U F
L B R F' U D F
L B R F' U D' F
L B R F' U D2 F
L B R F' U F D
L B R F' U F D'
L B R F' U F D2
L B R F' D U F
L B R F' D' U F
L B R F' D2 U F
U' B U D L B' L
U' B U D B' L B'
L B R2 F U F' L'
U' B U2 R' B R' U'
U' B U2 B R' B U'
U' B D L U B' L
U' B D U L B' L
U' B D U B' L B'
U' B D2 L' F L' U
U' B D2 F L' F U
L2 B D2 L' F U F'
L B D' F U L' F'
L B F' R F' U F2
L B F' U D' F L'
L B F' D' U F L'
L B F2 R F' U F'
L B' R F' B2 U F
L B' R B2 F' U F
R' B2 R' F' B' U' F
R' B2 R' B' F' U' F
L B2 R F' B' U F
L B2 R B' F' U F
U B2 R' B U' D' R2
U B2 R' B U2 B2 U
U B2 R' B D' U' R2
U B2 R' B D2 F2 U'
R2 B2 U F' R' U' L'
