U' L' R F' U2 L
U' L' R' U2 L B
U' L' U2 D2 L B'
U' L' D2 U2 L B'
U' R L' F' U2 L
U' R' L' U2 L B
U' R' L' U2 L B
D2 U L' F U2 F'
D2 U' L' F U2 L
U' D2 L' F U2 L
U D2 L' F U2 F'
R' F2 L' U' B R
D2 L U L2 F U2 F'
R' L D F2 L' U' B
D2 L U' L2 U2 L2 B'
D2 L U' L2 F U2 L2
D2 L U' D2 B' R2 F'
D2 L U' B' D2 R2 F'
D2 L D2 U' B' R2 F'
U' L F2 L2 R F' U2
U' L F2 R L2 F' U2
U' L F2 R F' L2 U2
R' L' U2 R U R' B
L' R' U2 R U R' B
U' L' R D F' U2 L
U' L' R D' F' U2 L
U' L' R D2 F' U2 L
U' L' R F' R U2 L
U' L' R F' R' U2 L
U' L' R F' R2 U2 L
U' L' R F' U2 L D
U' L' R F' U2 L D'
U' L' R F' U2 L D2
U' L' R F' U2 D L
U' L' R F' U2 D' L
U' L' R F' U2 D2 L
U' L' R F' D U2 L
U' L' R F' D' U2 L
U' L' R F' D2 U2 L
U L' R F' R' U2 F
U' L' R' U2 L D B
U' L' R' U2 L D' B
U' L' R' U2 L D2 B
U' L' R' U2 L B D
U' L' R' U2 L B D'
U' L' R' U2 L B D2
U' L' R' U2 L' B L2
U' L' R' U2 L2 B L'
U' L' R' U2 D L B
U' L' R' U2 D' L B
U' L' R' U2 D2 L B
U' L' R' D U2 L B
U' L' R' D' U2 L B
U' L' R' D2 U2 L B
L R' D F2 L' U' B
U' L' R' F U2 L B
U' L' R' F' U2 L B
U' L' R' F2 U2 L B
U' L' R2 U2 L' B' L2
U' L' U' R' U' L B
U' L' U2 L R' B R
U' L' U2 R' L B R
U' L' U2 D2 L D B'
U' L' U2 D2 L D' B'
U' L' U2 D2 L D2 B'
U' L' U2 D2 L B' D
U' L' U2 D2 L B' D'
U' L' U2 D2 L B' D2
U' L' D2 R U2 L B'
U' L' D2 R' U2 L B'
U' L' D2 R2 U2 L B'
U' L' D2 U2 L D B'
U' L' D2 U2 L D' B'
U' L' D2 U2 L D2 B'
U' L' D2 U2 L B' D
U' L' D2 U2 L B' D'
U' L' D2 U2 L B' D2
U' L' D2 F U2 L B'
U' L' D2 F' U2 L B'
U' L' D2 F2 U2 L B'
U' L' F R F' U2 L
U' L' F R' U2 L B
U' L' F U2 D2 L B'
U' L' F D2 U2 L B'
U' L' F' R F' U2 L
U' L' F' R' U2 L B
U' L' F' U2 D2 L B'
U' L' F' D2 U2 L B'
U' L' F2 R F' U2 L
U' L' F2 R' U2 L B
U' L' F2 U2 D2 L B'
U' L' F2 D2 U2 L B'
U' L' B2 R' B2 U2 B'
U' L2 R F' L U2 L
U' L2 U2 B2 L2 R' B
U' L2 U2 B2 R' L2 B
U' L2 U2 B2 R' B L2
B2 L2 U2 B2 U' R' B
U' L2 D2 L R2 U2 B'
U' L2 D2 R2 L U2 B'
R U L' F' U R' U
B L2 F U B2 R' B
B L2 F B2 U R' B
B L2 B2 F U R' B
U' R L' D F' U2 L
U' R L' D' F' U2 L
U' R L' D2 F' U2 L
U' R L' F' R U2 L
U' R L' F' R' U2 L
U' R L' F' R2 U2 L
U' R L' F' U2 L D
U' R L' F' U2 L D'
U' R L' F' U2 L D2
U' R L' F' U2 D L
U' R L' F' U2 D' L
U' R L' F' U2 D2 L
U' R L' F' D U2 L
U' R L' F' D' U2 L
U' R L' F' D2 U2 L
U R L' F' R' U2 F
U' R L2 F' L U2 L
U2 R U L' F' U2 L
U2 R U' L' F' U2 F
U' R U2 L' F' U2 F
