D' L2 F' R' U F' R2
F2 R' U F B U F2
F2 R' U B F U F2
F' R2 U F B R F'
F' R2 U B F R F'
F2 R2 U F U R F'
D R2 B U' R F' R2
F2 U R' F B R U
F2 U R' B F R U
U' D R2 B L U' R'
F2 U R2 F R B U
D U R2 B U' R' F'
U D R2 B U' R' F'
F2 U F R U2 F' U'
F2 U F R' B R2 U
D U' R2 B L U' R'
D' F D' L2 B2 R' F'
D' F' L2 R' U F' R2
D' F' R' L2 U F' R2
R F' U F' B U2 L'
R F' U B F' U2 L'
F D' L2 R' F' R B'
F D' L2 R' F' B' R
F D' L2 R' B' F' R
F D' L2 B' R' F' R
F D' R' L2 F' R B'
F D' R' L2 F' B' R
F D' R' L2 B' F' R
D B R2 B U' R F'
