R2 U F2 R' U2 F' R
U2 R F2 U' F L' U'
B R F2 U' F L U'
U R F2 B U' F U'
U R B F2 U' F U'
B' R' D' L2 F2 B U
B' R' D' L2 B F2 U
B' R' D' F2 L2 B U
B' R' D' F2 B L2 U
B' R' D' B L2 F2 U
B' R' D' B F2 L2 U
B' R' D2 B U L2 B
B' R' D2 B U B L2
B' R' B U D2 L2 B2
B' R' B U D2 B2 L2
B' R' B U' R2 F2 U2
B' R' B U' F2 R2 U2
B' R' B D' L2 F2 U
B' R' B D' F2 L2 U
B' R' B D2 U L2 B2
B' R' B D2 U B2 L2
F2 U R' B U L' F'
R' D' B L2 F2 R U
R F2 U' F L U' F
R F2 B U' F L U'
R' B D' L2 F2 R U
R B F2 U' F L U'
F2 B' U R' B U L'
B' F2 U R' B U L'
D2 B2 D F2 L' F R
