L2 U2 F L' B U
L2 U2 F B L' U
L2 U2 B F L' U
R2 F' R B' L2 U'
R2 F' B' L2 R U'
R2 F' B' R L2 U'
R2 B' L2 F' R U'
R2 B' F' L2 R U'
R2 B' F' R L2 U'
B' L D' L U' R2 B'
B' L D' L U' B' R2
L2 R' U2 F L' B' U
R' L2 U2 F L' B' U
L2 R2 F' R U' D' L2
L2 R2 F' R U2 F2 U
L2 R2 F' R D' U' L2
L2 R2 F' R D2 B2 U'
R2 L2 F' R U' D' L2
R2 L2 F' R U2 F2 U
R2 L2 F' R D' U' L2
R2 L2 F' R D2 B2 U'
L2 R2 F' U2 F2 L' U
R2 L2 F' U2 F2 L' U
L2 R2 F' D' R U' L2
R2 L2 F' D' R U' L2
L2 R2 F' D2 R B2 U'
L2 R2 F' D2 B2 R U'
R2 L2 F' D2 R B2 U'
R2 L2 F' D2 B2 R U'
U' L2 U2 F L' B U
U' L2 U2 F B L' U
F2 L2 U2 F B L U
U2 L2 U2 F L' B U
U2 L2 U2 F B L' U
U' L2 U2 B F L' U
F2 L2 U2 B F L U
U2 L2 U2 B F L' U
F L2 U2 F L B U
U L2 U2 F L' B U
U L2 U2 F B L' U
U L2 U2 B F L' U
B2 L2 D2 F B R' U'
B2 L2 D2 B R' F U'
B2 L2 D2 B F R' U'
B' L2 F U2 L' B2 U
B' L2 F U2 B2 L' U
B' L2 F D2 F2 R U'
B2 L2 F B U2 L' U
B' L2 F' R U' D' R2
B' L2 F' R U2 B2 U
B' L2 F' R D' U' R2
B' L2 F' R D2 F2 U'
B' L2 F' D' R U' R
B' L2 F' D2 R F2 U'
B2 L2 F' B R F2 U'
B2 L2 B F U2 L' U
B2 L2 B F' R F2 U'
R2 U F' R B' L2 U'
R2 U F' B' L2 R U'
R2 U F' B' R L2 U'
R2 U B' L2 F' R U'
R2 U B' F' L2 R U'
R2 U B' F' R L2 U'
L2 U' F L' B U F'
L2 U' F B L' U F'
R2 U' F' R B' L2 U'
R2 U' F' B' L2 R U'
R2 U' F' B' R L2 U'
L2 U' B F L' U F'
R2 U' B' L2 F' R U'
R2 U' B' F' L2 R U'
R2 U' B' F' R L2 U'
L2 U2 F L B L2 U
L2 U2 F L' D B U
L2 U2 F L' D' B U
L2 U2 F L' D2 B U
L2 U2 F L' B U D
L2 U2 F L' B U D'
L2 U2 F L' B U D2
L2 U2 F L' B D U
L2 U2 F L' B D' U
L2 U2 F L' B D2 U
L2 U2 F D L' B U
L2 U2 F D B L' U
L2 U2 F D' L' B U
L2 U2 F D' B L' U
L2 U2 F D2 L' B U
L2 U2 F D2 B L' U
L2 U2 F B L' U D
L2 U2 F B L' U D'
L2 U2 F B L' U D2
L2 U2 F B L' D U
L2 U2 F B L' D' U
L2 U2 F B L' D2 U
L2 U2 F B D L' U
L2 U2 F B D' L' U
L2 U2 F B D2 L' U
L2 U2 F B' L' B2 U
R2 U2 F' R B' L2 U'
R2 U2 F' B' L2 R U'
R2 U2 F' B' R L2 U'
L2 U2 B F L' U D
L2 U2 B F L' U D'
L2 U2 B F L' U D2
L2 U2 B F L' D U
L2 U2 B F L' D' U
L2 U2 B F L' D2 U
L2 U2 B F D L' U
L2 U2 B F D' L' U
L2 U2 B F D2 L' U
R2 U2 B' L2 F' R U'
L2 U2 B' F L' B2 U
R2 U2 B' F' L2 R U'
R2 U2 B' F' R L2 U'
U' R2 F' R B' L2 U'
F' R2 F' R' B' L2 U'
U2 R2 F' R B' L2 U'
U' R2 F' B' L2 R U'
U' R2 F' B' R L2 U'
U2 R2 F' B' L2 R U'
U2 R2 F' B' R L2 U'
U R2 F' R B' L2 U'
U R2 F' B' L2 R U'
U R2 F' B' R L2 U'
U' R2 B' L2 F' R U'
U2 R2 B' L2 F' R U'
U' R2 B' F' L2 R U'
U' R2 B' F' R L2 U'
U2 R2 B' F' L2 R U'
U2 R2 B' F' R L2 U'
U R2 B' L2 F' R U'
U R2 B' F' L2 R U'
U R2 B' F' R L2 U'
L' F L' F B R U
L' F L' B F R U
L2 F L' B2 R' B' U
B D R U F2 L2 B'
L' F B L' F R U
L2 F B L' U2 L U'
B D R' U L2 F2 B
B D R' U L2 B F2
B D R' U F2 L2 B
B D R' U F2 B L2
B D R' U B L2 F2
B D R' U B F2 L2
L2 F B' L' B2 R' U
R2 F' L2 R U2 F U
R2 F' R L2 U2 F U
R2 F' R D B' U' F2
R2 F' R B L2 B2 U'
R2 F' R B' L2 U' D
R2 F' R B' L2 U' D'
R2 F' R B' L2 U' D2
R2 F' R B' L2 D U'
R2 F' R B' L2 D' U'
R2 F' R B' L2 D2 U'
R2 F' R B' U' D F2
R2 F' R B' D U' F2
R2 F' R B2 L2 B U'
R F' R F' B' L2 U'
R2 F' R' B' L2 R2 U'
R2 F' R' B' R2 L2 U'
R F' R B' L2 F' U'
R F' R B' F' L2 U'
L2 F' U2 F2 L' B U
L2 F' U2 F2 B L' U
L2 F' U2 B F2 L' U
R2 F' D R B' U' F2
R2 F' D B' R U' F2
R2 F' B L2 R B2 U'
R2 F' B L2 B2 R U'
R2 F' B R L2 B2 U'
R2 F' B R B2 L2 U'
R2 F' B' L2 R U' D
R2 F' B' L2 R U' D'
R2 F' B' L2 R U' D2
R2 F' B' L2 R D U'
R2 F' B' L2 R D' U'
R2 F' B' L2 R D2 U'
R2 F' B' L2 D R U'
R2 F' B' L2 D' R U'
R2 F' B' L2 D2 R U'
R2 F' B' R L2 U' D
R2 F' B' R L2 U' D'
R2 F' B' R L2 U' D2
R2 F' B' R L2 D U'
R2 F' B' R L2 D' U'
R2 F' B' R L2 D2 U'
R2 F' B' R U' D F2
R2 F' B' R D U' F2
R2 F' B' D R U' F2
R2 F' B2 L2 B R U'
R F' B' L2 R F' U'
R F' B' R L2 F' U'
R F' B' R F' L2 U'
L2 F2 U2 F' B L U
L2 F2 U2 B L F' U
L2 F2 U2 B F' L U
B2 D2 R2 F' B' L U
B2 D2 R2 B' L F' U
B2 D2 R2 B' F' L U
R2 B L2 F' R B2 U'
R2 B L2 F' B2 R U'
R2 B L2 B2 F' R U'
D2 B R2 U2 R B2 U'
D2 B R2 U2 B2 R U'
D2 B R2 D2 F2 L' U
D2 B U2 R' B2 L U'
B' F L2 U2 L B2 U
B F L' U2 L' B2 U'
B F L' U2 B2 L' U'
B F L' D2 F2 R U
F B L' U2 L' B2 U'
F B L' U2 B2 L' U'
F B L' D2 F2 R U
L' B F L' F R U
L2 B F L' U2 L U'
R2 B F' L2 R B2 U'
R2 B F' L2 B2 R U'
R2 B F' R L2 B2 U'
R2 B F' R B2 L2 U'
F' B U2 L2 R B2 U'
F' B U2 L2 B2 R U'
F' B U2 R L2 B2 U'
F' B U2 R B2 L2 U'
R2 B' L F' L R U'
R2 B' L F' R L U'
R' B' L2 R' F' R U'
F' B U2 B2 L2 R U'
F' B U2 B2 R L2 U'
B F U2 L2 B2 R' U'
F B U2 L2 B2 R' U'
B F D L' U L' F2
R2 B' L2 F' R U' D
R2 B' L2 F' R U' D'
R2 B' L2 F' R U' D2
R2 B' L2 F' R D U'
R2 B' L2 F' R D' U'
R2 B' L2 F' R D2 U'
F B D L' U L' F2
R2 B' L2 F' D R U'
R2 B' L2 F' D' R U'
R2 B' L2 F' D2 R U'
R' B' R' L2 F' R U'
R' B' R' F' L2 R U'
R' B' R' F' R L2 U'
R B' L2 R F' R U'
F' B D2 F2 L' R2 U
F' B D2 F2 R2 L' U
R B' L2 F' R F' U'
B F D2 L' R2 F2 U
B F D2 L' F2 R2 U
B F D2 R2 L' F2 U
R B' R L2 F' R U'
F B D2 L' R2 F2 U
F B D2 L' F2 R2 U
F B D2 R2 L' F2 U
R B' R F' L2 R U'
R B' R F' R L2 U'
B' F' L2 R U' D' R2
B' F' L2 R U2 B2 U
B' F' L2 R D' U' R2
B' F' L2 R D2 F2 U'
F' B' L2 R U' D' R2
F' B' L2 R U2 B2 U
F' B' L2 R D' U' R2
F' B' L2 R D2 F2 U'
B' F' L2 D' R U' R
B' F' L2 D2 R F2 U'
F' B' L2 D' R U' R
F' B' L2 D2 R F2 U'
D2 B' U2 L R2 B2 U
B' F' R L2 U' D' R2
D2 B' U2 L B2 R2 U
B' F' R L2 U2 B2 U
B' F' R L2 D' U' R2
B' F' R L2 D2 F2 U'
D2 B' U2 R2 L B2 U
B2 F' L2 B R F U'
F' B' R L2 U' D' R2
F' B' R L2 U2 B2 U
F' B' R L2 D' U' R2
F' B' R L2 D2 F2 U'
F B' L2 U2 L B2 U
L2 B' U2 F L' B2 U
L2 B' U2 F B2 L' U
L2 B' U2 B2 F L' U
D2 B' D2 L2 F2 R U'
L2 B' F L' B2 R' U
R2 B' F' L2 R U' D
R2 B' F' L2 R U' D'
R2 B' F' L2 R U' D2
R2 B' F' L2 R D U'
R2 B' F' L2 R D' U'
R2 B' F' L2 R D2 U'
R2 B' F' L2 D R U'
R2 B' F' L2 D' R U'
R2 B' F' L2 D2 R U'
R2 B' F' R L2 U' D
R2 B' F' R L2 U' D'
R2 B' F' R L2 U' D2
R2 B' F' R L2 D U'
R2 B' F' R L2 D' U'
R2 B' F' R L2 D2 U'
R2 B' F' R U' D F2
R2 B' F' R D U' F2
B F' U2 L2 R B2 U'
B F' U2 L2 B2 R U'
B F' U2 R L2 B2 U'
B F' U2 R B2 L2 U'
