R' U B R' B U B'
D' R' D B U2 R' B
R' U2 D' F' B R F'
R' U2 D' B R F' R
R' U2 D' B F' R F'
R' U2 B U' R' B U
R' D L B' L U2 B2
R' D L B' U2 B2 R'
R' D L' U2 F B R'
R' D L' U2 B R' F
R' D L' U2 B F R'
R' D L2 U2 B R' F'
B R2 B R U L B
R' D B R' F2 L' F
R' D B' L B' U2 B'
R' D' U2 F' B R F'
R' D' U2 B R F' R
R' D' U2 B F' R F'
R' D' F' U2 B R F'
D' F' R U R2 B U2
D' F' R U' D2 L2 F'
D' F' R U' D2 F' L2
D' F' R U' F' D2 L2
D' F' R D B2 U' F'
D' F' R D2 U' L2 F'
D' F' R D2 U' F' L2
D' F' B2 R U' L F'
D' F' B2 R U' F' L
B2 D' F' R U' L F
B2 D2 F' U' L F B'
B2 D2 F' U' L B' F
R2 B R' U' R2 U2 B
R2 B R' U' F' R2 U2
B2 F' R' U' L F B
B2 F' R' U' L B F
B2 F' U' D2 L F B'
B2 F' U' D2 L B' F
B2 F' D2 U' L F B'
B2 F' D2 U' L B' F
F' B2 R' U' L F B
F' B2 R' U' L B F
F' B2 U' D2 L F B'
F' B2 U' D2 L B' F
D' B2 F' R U' L F'
D' B2 F' R U' F' L
F' B2 D2 U' L F B'
F' B2 D2 U' L B' F
