U L' U' B' U2 R'
L2 U L U F R
U L U D' F R B2
U L U D' F B2 R
U L U D' B2 F R
U L U F R D' B2
U L U F D' R B2
U L U F D' B2 R
U L D' U F R B2
U L D' U F B2 R
U L D' U B2 F R
B L F U L2 R U
B L F U R L2 U
U L' R B U D2 F2
U L' R B U' B2 U2
U L' R B D' R2 U
U L' R B D2 U F2
U L' U L2 F L2 R
U L' U L2 F R L2
U L' U' L2 U2 F R
U L' U' D B' U2 R'
U L' U' D' B' U2 R'
U L' U' D2 B' U2 R'
U L' U' B L B2 U2
U L' U' B' L U2 R'
U L' U' B' L' U2 R'
U L' U' B' L2 U2 R'
U L' U' B' U2 R' D
U L' U' B' U2 R' D'
U L' U' B' U2 R' D2
U L' U' B' U2 D R'
U L' U' B' U2 D' R'
U L' U' B' U2 D2 R'
U L' U' B' D U2 R'
U L' U' B' D' U2 R'
U L' U' B' D2 U2 R'
U L' D U' B' U2 R'
U L' D' U' B' U2 R'
U L' D2 U' B' U2 R'
U' L' B' R' U F' L'
U L' B2 U' B L U2
D2 L2 U L U F R
D' L2 U L U F R
B' L2 U L U R' F
B' L2 U L U F R'
D L2 U L U F R
U' L2 U2 L B' U F
L2 U L R B U F
L2 U L U R F R
L2 U L U R' F R
L2 U L U R2 F R
L2 U L U D F R
L2 U L U D' F R
L2 U L U D2 F R
L2 U L U F R D
L2 U L U F R D'
L2 U L U F R D2
L2 U L U F D R
L2 U L U F D' R
L2 U L U F D2 R
L2 U L D U F R
L2 U L D' U F R
L2 U L D2 U F R
L2 U L B U F R
L2 U L B' U F R
L2 U L B2 U F R
L2 U R L B U F
L2 U D L U F R
L2 U D' L U F R
L2 U D2 L U F R
U R L' B U D2 F2
U R L' B U' B2 U2
U R L' B D' R2 U
U R L' B D2 U F2
U R B L' U' B' U2
U' R' F2 R U' F R
L2 D U L U F R
D' U L' U' B' U2 R'
D2 U L' U' B' U2 R'
B2 U L' U' B' L U2
B U L' U' L2 U2 F
B U L' U' B' L2 U2
D U L' U' B' U2 R'
F U L' R B U B2
U D L' U' B' U2 R'
F U R L' B U B2
F U R B L' U B'
L2 D' U L U F R
U D' L' U' B' U2 R'
F2 U' L R F L' U'
F2 U' R L F L' U'
B' U' F2 R U' R2 F'
U D2 L' U' B' U2 R'
L2 D2 U L U F R
B' U2 L' U L R' F'
B' U2 L' U R' L F'
B' U2 L' U R' F' L
L' F U R B U B'
L2 F U L R B U
L2 F U R L B U
L F U L2 R B U
L F U R L2 B U
L F U R B L2 U
U' F2 R U B L U2
L B L U L U F
U B L' U' B' U2 R'
U B' L' U' B' U2 R'
U B2 L' U' B' U2 R'
