F' L' D F R2 B
F U F2 U2 L' F
F' U2 L' D R2 F
F' U2 L' D F R2
F L U R F2 B' U2
F L U R B' F2 U2
F L U F2 B' U2 L'
F L U B' R F2 U2
F L U B' F2 U2 L'
F' L U' F2 U' L2 F
F' L U2 L2 D R2 F
F' L U2 L2 D F R2
F' L B' U' F2 U' L2
F' L B' U2 L2 D R2
F' L' R D F R2 B
F' L' R' D F R2 B
F' L' R2 D F R2 B
F L' U R F2 U2 F'
F L' U F2 U2 L' F'
F' L' D F R2 D B
F' L' D F R2 D' B
F' L' D F R2 D2 B
F' L' D F R2 B D
F' L' D F R2 B D'
F' L' D F R2 B D2
F' L' D F B R2 B
F' L' D F B' R2 B
F' L' D F B2 R2 B
F' L' D B F R2 B
F' L' D B' F R2 B
F' L' D B2 F R2 B
F' L' D' L2 U2 L2 F
F' L' D' L2 B' U2 L2
F' L' D' F D2 R2 B
F' L' D2 F D' R2 B
F2 L' F L' D R2 B'
F2 L' F L' D B' R2
F2 L' F L' B' D R2
F2 L' F D L' R2 B'
F2 L' F D L' B' R2
F2 L' F D R2 L' B'
F' L' B D F R2 B
F' L' B' D F R2 B
F' L' B2 D F R2 B
F' L2 D L F R2 B
F' L2 D' L2 U2 L' F
F' R L' D F R2 B
F' R U2 L' D R2 F
F' R U2 L' D F R2
F' R' L' D F R2 B
F' R' U2 L' D R2 F
F' R' U2 L' D F R2
F' R2 L' D F R2 B
F' R2 U2 L' D R2 F
F' R2 U2 L' D F R2
L D F' B' U2 L' R
L D F' B' U2 R L'
L D B' F' U2 L' R
L D B' F' U2 R L'
F U D2 R U2 F' B2
F U D2 R U2 B2 F'
F U F2 R U2 L' F
F U F2 R' U2 L' F
F U F2 R2 U2 L' F
F U F2 U2 L' D F
F U F2 U2 L' D' F
F U F2 U2 L' D2 F
F U F2 U2 L' F D
F U F2 U2 L' F D'
F U F2 U2 L' F D2
F U F2 B U2 L' F
F U F2 B' U2 L' F
F U F2 B2 U2 L' F
F U B F2 U2 L' F
F U B' F2 U2 L' F
F' U' L F2 U' L2 F
F U B2 F2 U2 L' F
L D' F' B' L U2 L2
L D' B' L F' U2 L'
L D' B' F' L U2 L2
F U' F L' F L' B'
F' U' F2 U' F2 L' F
F' U2 L' R D R2 F
F' U2 L' R D F R2
F' U2 L' R' D R2 F
F' U2 L' R' D F R2
F' U2 L' R2 D R2 F
F' U2 L' R2 D F R2
F' U2 L' U F2 U' F'
F' U2 L' D R' F R'
F' U2 L' D R2 D F
F' U2 L' D R2 D' F
F' U2 L' D R2 D2 F
F' U2 L' D R2 F D
F' U2 L' D R2 F D'
F' U2 L' D R2 F D2
F' U2 L' D F R2 D
F' U2 L' D F R2 D'
F' U2 L' D F R2 D2
F' U2 L' D F' R2 F2
F' U2 L' D' F D2 R2
F' U2 L' D2 F D' R2
F' U2 L' F U F U'
F' U2 L2 D L R2 F
F' U2 L2 D L F R2
F' U2 L2 D R2 L F
F' U2 R L' D R2 F
F' U2 R L' D F R2
F' U2 R' L' D R2 F
F' U2 R' L' D F R2
F' U2 R2 L' D R2 F
F' U2 R2 L' D F R2
F' U2 D R2 D' L' F
D F L' U R F2 U2
D F L' U F2 U2 L'
D2 F U R F2 U2 F
R2 F U' F2 L' F B
R2 F U' F2 L' B F
R2 F U' F2 B L' F
R2 F U' B F2 L' F
F' D U2 R2 D' L' F
R2 F' L' D F B R2
R2 F' L' D B R2 F
R2 F' L' D B F R2
R2 F' L' B D R2 F
R2 F' L' B D F R2
L2 F' U B' R' U L'
D' F' U2 D L' R2 F
D' F' U2 D L' F R2
D' F' U2 D R2 L' F
D' F' D L' F R2 B
D' F' D U2 L' R2 F
D' F' D U2 L' F R2
D' F' D U2 R2 L' F
L F' D' B' L U2 L2
R2 F' B L' D R2 F
R2 F' B L' D F R2
F D2 U R U2 F' B2
F D2 U R U2 B2 F'
F' B L' D F R2 B
B' F U F2 U2 L' F
R2 B F' L' D R2 F
R2 B F' L' D F R2
B2 F U F2 U2 L' F
B F U F2 U2 L' F
F' B U2 L' D R2 F
F' B U2 L' D F R2
F B U F2 U2 L' F
B' F' L' D F R2 B
F' B' L' D F R2 B
B2 F' L' D F R2 B
B F' L' D F R2 B
L B' D F' U2 L' R
L B' D F' U2 R L'
B' F' U2 L' D R2 F
B' F' U2 L' D F R2
F' B' U2 L' D R2 F
F' B' U2 L' D F R2
B2 F' U2 L' D R2 F
B2 F' U2 L' D F R2
F B' U F2 U2 L' F
B F' U2 L' D R2 F
B F' U2 L' D F R2
F' B2 L' D F R2 B
F' B2 U2 L' D R2 F
F' B2 U2 L' D F R2
F B2 U F2 U2 L' F
