B' L D R2 F2 B U'
B' L D R2 B F2 U'
D2 L' U F' R U B2
D L' U' R2 B U' F
B' L' F2 U' L2 B' U'
B L' F2 U R' F U
B L' F2 U F R' U
F2 L2 U' B' L U' R
D2 L2 F' R U B2 R'
L' U D2 F' R U B2
D R2 B U L' U2 F
F2 U B R' F U R2
F2 U' L2 B' L U' R
F' U' F' U2 D' R F'
F' U' F' D' U2 R F'
L' D2 U F' R U B2
L2 D2 F' R U B2 R'
L D2 F' R U R B2
L D2 F' R U B2 R
F2 U2 D' R F' D' L2
D' F' L2 R U F' R
D' F' L2 U R F' R
D' F' L2 U F' R F'
D' F' R L2 U F' R
F2 D' R F' D' L2 B'
F D' L2 F R F' B'
F D' L2 F R B' F'
F D' L2 F B' R F'
F D' L2 B' F R F'
F2 D' U2 R F' D' L2
F D' F R F' L2 B'
D' F2 R F' D' L2 B2
D' F2 R F' D' B2 L2
F D' F U2 L2 R F'
F D' F U2 R L2 F'
F D' F U2 R F' L2
L F2 L2 U' B' L U'
L' F2 U' L2 B' L U'
L' F2 B U R' F U
L' F2 B U F R' U
F2 B R' F U R2 B
L' B F2 U R' F U
L' B F2 U F R' U
F2 B U R' F U R2
B F2 R' F U R2 B
B F2 U R' F U R2
