F' L D L2 R2 B'
F' L D L2 B' R2
F' L D R2 L2 B'
F' L' D R2 B' L2
F' L' D B' L2 R2
F' L' D B' R2 L2
F L' B2 U' F2 B
F L' B2 U' B F2
L D L2 F' R B'
L D L2 F' B' R
L D L2 B' F' R
U' F R B2 U' F2
F' D L' R2 B' L'
F' D L' B' L' R2
F' D L' B' R2 L'
F' D R2 L' B' L'
U' F B2 R U' F2
B2 F L' U' F2 B'
B2 F L' U' B' F2
F B2 L' U' F2 B'
F B2 L' U' B' F2
F B2 L' U' B' F2
U' B2 F R U' F2
F' L R D L2 R2 B'
F' L R D L2 B' R2
F' L R D R2 L2 B'
F' L R' D L2 R2 B'
F' L R' D L2 B' R2
F' L R' D R2 L2 B'
F' L R2 D L2 R2 B'
F' L R2 D L2 B' R2
F' L R2 D R2 L2 B'
F' L D L2 R B' R
F' L D L2 R2 D B'
F' L D L2 R2 D' B'
F' L D L2 R2 D2 B'
F' L D L2 R2 B' D
F' L D L2 R2 B' D'
F' L D L2 R2 B' D2
F' L D L2 B R2 B2
F' L D L2 B' R2 D
F' L D L2 B' R2 D'
F' L D L2 B' R2 D2
F' L D R L2 B' R
U2 L D L2 F' R B
F' L D R2 L2 D B'
F' L D R2 L2 D' B'
F' L D R2 L2 D2 B'
F' L D R2 L2 B' D
F' L D R2 L2 B' D'
F' L D R2 L2 B' D2
F' L D R2 B L2 B'
F' L D R2 B' L2 B'
F' L D R2 B2 L2 B'
U2 L D F' L2 R B
U2 L D F' R L2 B
U2 L D F' R B L2
F' L D B L2 R2 B'
F' L D B L2 B' R2
F' L D B R2 L2 B'
F' L D B' L2 R2 B'
F' L D B' L2 B' R2
F' L D B' R2 L2 B'
F' L D B2 L2 R2 B'
F' L D B2 L2 B' R2
F' L D B2 R2 L2 B'
F L F2 D L2 R2 B
F L F2 D R2 L2 B
F L F2 D R2 B L2
F L B2 L2 U' F2 B'
F L B2 L2 U' B' F2
F L B2 U F U2 F
F L B2 D' L2 U' B'
F' L' R D R2 B' L2
F' L' R D B' L2 R2
F' L' R D B' R2 L2
F L' R B2 U' F2 B
F L' R B2 U' B F2
F' L' R' D R2 B' L2
F' L' R' D B' L2 R2
F' L' R' D B' R2 L2
F L' R' B2 U' F2 B
F L' R' B2 U' B F2
F' L' R2 D R2 B' L2
F' L' R2 D B' L2 R2
F' L' R2 D B' R2 L2
F L' R2 B2 U' F2 B
F L' R2 B2 U' B F2
F' L' U F2 B2 U' B
F' L' U B2 F2 U' B
D L' U B' L' F' R'
B2 L' U' F R F2 B'
B2 L' U' F R B' F2
B2 L' U' F B' R F2
F L' U' F2 D B' L2
B2 L' U' B' F R F2
F' L' D R B' L2 R
F' L' D R B' R L2
F' L' D R2 B L2 B2
F' L' D R2 B' L2 D
F' L' D R2 B' L2 D'
F' L' D R2 B' L2 D2
F' L' D R2 B2 L2 B
F' L' D B L2 R2 B2
F' L' D B L2 B2 R2
F' L' D B R2 L2 B2
F' L' D B R2 B2 L2
F' L' D B' L2 R2 D
F' L' D B' L2 R2 D'
F' L' D B' L2 R2 D2
F' L' D B' R2 L2 D
F' L' D B' R2 L2 D'
F' L' D B' R2 L2 D2
F' L' D B2 L2 B R2
F' L' D' B' D2 L2 R2
F' L' D' B' D2 R2 L2
D2 L' F2 U F B' R'
D2 L' F2 U B' R' F
D2 L' F2 U B' F R'
B2 L' F2 U' F R B'
B2 L' F2 U' F B' R
B2 L' F2 U' B' F R
F' L' F2 B2 U' F2 B
F' L' F2 B2 U' B F2
F L' F2 D R2 B' L2
F L' F2 D B' L2 R2
F L' F2 D B' R2 L2
F' L' B' U F2 B' U'
F' L' B' U B' F2 U'
F L' B2 L U' F2 B
F L' B2 L U' B F2
F L' B2 L' U' F2 B
F L' B2 L' U' B F2
F L' B2 L2 U' F2 B
F L' B2 L2 U' B F2
F L' B2 U' F2 D B
F L' B2 U' F2 D' B
F L' B2 U' F2 D2 B
F L' B2 U' F2 B D
F L' B2 U' F2 B D'
F L' B2 U' F2 B D2
F L' B2 U' B F2 D
F L' B2 U' B F2 D'
F L' B2 U' B F2 D2
F' L' B2 F2 U' F2 B
F' L' B2 F2 U' B F2
F L' B2 D' L2 U' B
L' U D F' B' L2 R'
L' U D F' B' R' L2
L' U D B' L2 F' R'
L' U D B' F' L2 R'
L' U D B' F' R' L2
L U D L2 F' R B'
L U D L2 F' B' R
L U D L2 B' F' R
F L2 B2 L U' F2 B'
F L2 B2 L U' B' F2
F' R L D L2 R2 B'
F' R L D L2 B' R2
F' R L D R2 L2 B'
F' R L' D R2 B' L2
