U' L' U B' R' F'
F L R' U' L' F' B'
F L R' U' L' B' F'
F L B' R' U' L' F'
U' L' R U B' R' F'
U' L' R' U B' R' F'
U' L' R2 U B' R' F'
U' L' U R' F' B' R'
U' L' U R' B' F' R'
U' L' U D B' R' F'
U' L' U D' B' R' F'
U' L' U D2 B' R' F'
U' L' U F B' R' F'
U' L' U F' B' R' F'
U' L' U F2 B' R' F'
U' L' U B' R' D F'
U' L' U B' R' D' F'
U' L' U B' R' D2 F'
U' L' U B' R' F' D
U' L' U B' R' F' D'
U' L' U B' R' F' D2
U' L' U B' D R' F'
U' L' U B' D' R' F'
U' L' U B' D2 R' F'
U' L' U B' F R' F'
U' L' U B' F' R' F'
U' L' U B' F2 R' F'
U' L' D U B' R' F'
U' L' D' U B' R' F'
U' L' D2 U B' R' F'
U' L2 D' B' L R' U
U' L2 D' B' R' L U
U' L2 D2 B' R' U B
R2 U R F U' F2 B
R2 U R F U' B F2
U' L2 B' L R' U B'
U' L2 B' R' L U B'
U' L2 B' D2 R' U B
F L2 B' R' U' L2 F'
F L2 B' R' U' F' L2
U' R L' U B' R' F'
R' U F R U' F2 B
R' U F R U' B F2
R2 U F R U' F' B
R2 U F R U' B F'
B' R U R2 F U' F2
B' R U F R2 U' F'
R' U' L' U F' B' R'
R' U' L' U B' F' R'
B' R F' D R2 F' B2
B' R F' D R2 B2 F'
U R F' L' F2 U' B
F R' L U' L' F' B'
F R' L U' L' B' F'
U' R' L' U B' R' F'
B' R' F L U' L' F2
B' R' F L' U' L F2
B' R' F L' U' F2 L
B' R' F L2 U' L2 F2
B' R' F L2 U' F2 L2
B' R' F U' F2 D' L2
B' R' F D' L2 U' L2
B' R' F' R2 D R2 B2
B' R' F' R2 D B2 R2
B' R' F' D R2 D B2
U' R2 L' U B' R' F'
B' R2 U R F U' F2
U' D L' U B' R' F'
B' U R' F U2 R U
B' U R' F' L' F2 U'
B' U F R' U' D' F2
B' U F R' U2 R2 U
B' U F R' D' U' F2
B' U F R' D2 L2 U'
B' U F' L' R' F2 U'
B' U F' L' F2 R' U'
B' U F' R' L' F2 U'
F2 U F' L' R U' B
B U F U2 L R U
B U F U2 R L U
F2 U F' R L' U' B
U' D' L' U B' R' F'
D' U' L' U B' R' F'
D2 U' L' U B' R' F'
D U' L' U B' R' F'
B2 U' L2 B' L R' U
B2 U' L2 B' R' L U
B U' L2 B' L' R' U
B U' L2 B' R' L' U
U' D2 L' U B' R' F'
R' F L U' L' F2 B'
R' F L U' L' B' F2
U F R' U2 R2 U B
U F R2 U2 R' U B
U2 F U' R U' R' F'
U F U2 L' R U B'
U F U2 R L' U B'
U F' L' R F2 U' B
U F' L' F2 R U' B
U F' R L' F2 U' B
R' F' U R F2 U' B
R' F' U F2 R U' B
B2 D' R' F' D B R2
B2 D' R' F' B D R2
B2 D' R' B F' D R2
R' F' B' R D R2 B2
R' F' B' R D B2 R2
R' F' B' U R' F2 U'
R' F' B' U F2 R' U'
U2 F2 U' F' L' R U'
U2 F2 U' F' R L' U'
B' F L R' U' L' F'
B' F L' R' U' L F'
B' F L' R' U' F' L
B' F L2 R' U' L2 F'
B' F L2 R' U' F' L2
B' F R' L U' L' F'
B' F R' L' U' L F'
B' F R' L' U' F' L
B' F R' L2 U' L2 F'
B' F R' L2 U' F' L2
U' B' L' R' U B' R'
U' B' R' L' U B' R'
L2 B' R' U F' L2 B'
R2 B' R F' D R2 B2
R2 B' R F' D B2 R2
R' B' U F R' U' F2
F B' L R' U' L' F'
F B' L' R' U' L F'
F B' L' R' U' F' L
B' F' R D R2 F' B2
B' F' R D R2 B2 F'
F' B' R D R2 F' B2
F' B' R D R2 B2 F'
F B' L2 R' U' L2 F'
F B' L2 R' U' F' L2
F B' R' L U' L' F'
F B' R' L' U' L F'
F B' R' L' U' F' L
F B' R' L2 U' L2 F'
F B' R' L2 U' F' L2
F2 B' U F' L' R' U'
F2 B' U F' R' L' U'
R' B' F' R D R2 B2
R' B' F' R D B2 R2
R' B' F' U R' F2 U'
R' B' F' U F2 R' U'
B' F2 U F' L' R' U'
B' F2 U F' R' L' U'
