B2 D F2 R F' L'
F L' F U' R B2 L
L' U F U2 L' U' B2
L' U F' R F2 U B2
B2 R D F2 R F' L'
B2 R' D F2 R F' L'
B2 R2 D F2 R F' L'
B2 D F L' F R F'
B2 D F D2 L' F R
B' D F2 R F' B' L'
B' D F2 R B' F' L'
B2 D F2 L R F' L'
B2 D F2 L' R F' L'
B2 D F2 L2 R F' L'
B2 D F2 R L F' L'
B2 D F2 R L' F' L'
B2 D F2 R L2 F' L'
B2 D F2 R D F' L'
B2 D F2 R D' F' L'
B2 D F2 R D2 F' L'
B2 D F2 R F' L' D
B2 D F2 R F' L' D'
B2 D F2 R F' L' D2
B2 D F2 R F' D L'
B2 D F2 R F' D' L'
B2 D F2 R F' D2 L'
B' D F2 B' R F' L'
B D F2 B R F' L'
B' D B' F2 R F' L'
L' F' U R F2 U B2
B D B F2 R F' L'
D F2 R D' F' L' B2
D F2 R D' F' B2 L'
D F2 R D' B2 F' L'
D F2 R F' D' L' B2
D F2 R F' D' B2 L'
L2 F2 U' B2 R' F' L'
U' B2 D F2 R F' L'
R' B2 D F2 R F' L'
U2 B2 D F2 R F' L'
R2 B2 D F2 R F' L'
U B2 D F2 R F' L'
R B2 D F2 R F' L'
