L' R U2 F' B U
L' R U2 B F' U
R L' U2 F' B U
F2 L' R F' B U
R L' U2 B F' U
F2 L' R B F' U
L' R' F' B R2 U'
R' L' F' B R2 U'
L' R' B F' R2 U'
R' L' B F' R2 U'
F2 R L' F' B U
F2 R L' B F' U
F2 R B L' F' U
R' B L' F' R2 U'
F2 L R F' L2 B U
F2 L R F' B L2 U
F2 L R B L2 F' U
F2 L R B F' L2 U
L' R U2 D F' B U
L' R U2 D B F' U
L' R U2 D' F' B U
L' R U2 D' B F' U
L' R U2 D2 F' B U
L' R U2 D2 B F' U
L' R U2 F' D B U
L' R U2 F' D' B U
L' R U2 F' D2 B U
L' R U2 F' B U D
L' R U2 F' B U D'
L' R U2 F' B U D2
L' R U2 F' B D U
L' R U2 F' B D' U
L' R U2 F' B D2 U
L' R U2 B D F' U
L' R U2 B D' F' U
L' R U2 B D2 F' U
L' R U2 B F' U D
L' R U2 B F' U D'
L' R U2 B F' U D2
L' R U2 B F' D U
L' R U2 B F' D' U
L' R U2 B F' D2 U
L' R D U2 F' B U
L' R D U2 B F' U
L' R D' U2 F' B U
L' R D' U2 B F' U
L' R D2 U2 F' B U
L' R D2 U2 B F' U
L' R F U2 F2 B U
L' R F U2 B F2 U
R' L F' L2 B R2 U'
R' L F' B L2 R2 U'
R' L F' B R2 L2 U'
L' R F2 U2 F B U
L' R F2 U2 B F U
R' L B L2 F' R2 U'
R' L B F' L2 R2 U'
R' L B F' R2 L2 U'
L' R B' U2 F' B2 U
L' R B' U2 B2 F' U
L' R B2 U2 F' B' U
L' R B2 U2 B' F' U
D2 L' R U2 F B U
R L' U2 D F' B U
D2 L' R U2 B F U
R L' U2 D B F' U
R L' U2 D' F' B U
R L' U2 D' B F' U
R L' U2 D2 F' B U
R L' U2 D2 B F' U
B' L' R U2 F' B U
B' L' R U2 B F' U
U2 L' R U2 F' B' U
F2 L' R D F' B U
U2 L' R U2 B' F' U
F2 L' R D B F' U
B2 L' R U2 F' B U
R L' U2 F' D B U
B2 L' R U2 B F' U
R L' U2 F' D' B U
R L' U2 F' D2 B U
R L' U2 F' B U D
R L' U2 F' B U D'
R L' U2 F' B U D2
R L' U2 F' B D U
R L' U2 F' B D' U
R L' U2 F' B D2 U
F2 L' R D' F' B U
F2 L' R D' B F' U
B L' R U2 F' B U
B L' R U2 B F' U
F2 L' R D2 F' B U
F2 L' R D2 B F' U
R L' U2 B D F' U
R L' U2 B D' F' U
R L' U2 B D2 F' U
R L' U2 B F' U D
R L' U2 B F' U D'
R L' U2 B F' U D2
R L' U2 B F' D U
R L' U2 B F' D' U
R L' U2 B F' D2 U
F2 L' R F' D B U
F2 L' R F' D' B U
F2 L' R F' D2 B U
F2 L' R F' B U D
F2 L' R F' B U D'
F2 L' R F' B U D2
F2 L' R F' B D U
F2 L' R F' B D' U
F2 L' R F' B D2 U
F2 L' R B D F' U
F2 L' R B D' F' U
F2 L' R B D2 F' U
F2 L' R B F' U D
F2 L' R B F' U D'
F2 L' R B F' U D2
F2 L' R B F' D U
F2 L' R B F' D' U
F2 L' R B F' D2 U
R' L' D F' B U' B
R' L' D F' B U' B
L' R' D F' B U' B
R' L' D B F' U' B
L' R' D B F' U' B
R L' D U2 F' B U
R L' D U2 B F' U
B' L' R' F' B R2 U'
B2 L' R' F' B R2 U'
B' L' R' B F' R2 U'
B L' R' F' B R2 U'
B2 L' R' B F' R2 U'
B L' R' B F' R2 U'
R L' D' U2 F' B U
R L' D' U2 B F' U
R L' D2 U2 F' B U
R L' D2 U2 B F' U
R' L' F B R2 F2 U'
L' R' F B R2 F2 U'
R L' F U2 F2 B U
R L' F U2 B F2 U
L2 R' F' L B R2 U'
R' L' F' R2 U2 F' U
L' R' F' R2 U2 F' U
L R' F' L2 B R2 U'
R' L' F' D B U' B
L' R' F' D B U' B
R' L' F' B R2 U' D
R' L' F' B R2 U' D'
R' L' F' B R2 U' D2
R' L' F' B R2 D U'
R' L' F' B R2 D' U'
R' L' F' B R2 D2 U'
R' L' F' B U' D B2
R' L' F' B D U' B2
L' R' F' B R2 U' D
L' R' F' B R2 U' D'
L' R' F' B R2 U' D2
L' R' F' B R2 D U'
L' R' F' B R2 D' U'
L' R' F' B R2 D2 U'
R' L' F' B' R2 B2 U'
L' R' F' B U' D B2
L' R' F' B D U' B2
L' R' F' B' R2 B2 U'
R' L' F' B2 R2 B' U'
L' R' F' B2 R2 B' U'
L R' F' B L2 R2 U'
L R' F' B R2 L2 U'
R' L' F2 B R2 F U'
L' R' F2 B R2 F U'
R L' F2 U2 F B U
R L' F2 U2 B F U
R' L' B R2 U2 B U
L' R' B R2 U2 B U
L R' B L2 F' R2 U'
R' L' B D F' U' B2
L' R' B D F' U' B2
R' L' B F R2 F2 U'
L' R' B F R2 F2 U'
R' L' B F' R2 U' D
R' L' B F' R2 U' D'
R' L' B F' R2 U' D2
R' L' B F' R2 D U'
R' L' B F' R2 D' U'
R' L' B F' R2 D2 U'
R' L' B F' U' D B2
R' L' B F' D U' B2
L' R' B F' R2 U' D
L' R' B F' R2 U' D'
L' R' B F' R2 U' D2
L' R' B F' R2 D U'
L' R' B F' R2 D' U'
L' R' B F' R2 D2 U'
R' L' B F2 R2 F U'
L' R' B F' U' D B2
L' R' B F' D U' B2
L' R' B F2 R2 F U'
