D' U' F2 R B
U' D' F2 R B
U L' U R2 U B'
U L' U2 D' F2 B'
U L' U2 D' B' F2
U L' U2 B' D' F2
U L' D B2 U2 B
U L' D' U2 F2 B'
U L' D' U2 B' F2
D2 L2 U L F U2
D' R U' F2 R B
D' R' U' F2 R B
U2 R2 U' L' U2 B'
D' R2 U' F2 R B
D' U L' U2 F2 B'
D' U L' U2 B' F2
U D L' B2 U2 B
D U L' B2 U2 B
D U B2 L' U2 B'
U D B2 L' U2 B'
U D' L' U2 F2 B'
U D' L' U2 B' F2
U' D' R F2 B R
U' D' R B F2 R
D' U' R F2 B R
D' U' R B F2 R
U' D' F2 R D B
U' D' F2 R D' B
U' D' F2 R D2 B
U' D' F2 R B D
U' D' F2 R B D'
U' D' F2 R B D2
D' U' F2 R D B
D' U' F2 R D' B
D' U' F2 R D2 B
U' D' F2 D R B
D' U' F2 R B D
D' U' F2 R B D'
D' U' F2 R B D2
U' D' F2 D' R B
U' D' F2 D2 R B
U' D' F2 B R B
U' D' F2 B' R B
U' D' F2 B2 R B
D' U' F2 D R B
D' U' F2 D' R B
D' U' F2 D2 R B
D' U' F2 B R B
D' U' F2 B' R B
D' U' F2 B2 R B
U' D' B F2 R B
D' U' B F2 R B
U' D' B' F2 R B
D' U' B' F2 R B
U' D' B2 F2 R B
D' U' B2 F2 R B
U' F2 D' R F2 B
U' F2 D' R B F2
U' B D' F2 R B
U' B' D' F2 R B
U' B2 D' F2 R B
U L F L2 U R2 U
U L F L2 U2 D' F2
U L F L2 D B2 U2
U L F L2 D' U2 F2
R' L' U2 R' U R B
L' R' U2 R' U R B
U L' U R2 U D B'
U L' U R2 U D' B'
U L' U R2 U D2 B'
U L' U R2 U B' D
U L' U R2 U B' D'
U L' U R2 U B' D2
U L' U R2 D U B'
U L' U R2 D' U B'
U L' U R2 D2 U B'
U L' U2 D' F2 D B'
U L' U2 D' F2 D' B'
U L' U2 D' F2 D2 B'
U L' U2 D' F2 B' D
U L' U2 D' F2 B' D'
U L' U2 D' F2 B' D2
U L' U2 D' B' F2 D
U L' U2 D' B' F2 D'
U L' U2 D' B' F2 D2
U L' U2 D2 B' D F2
U L' U2 F D' F2 B'
U L' U2 F D' B' F2
U L' U2 F B' D' F2
U L' U2 F' D' F2 B'
U L' U2 F' D' B' F2
U L' U2 F' B' D' F2
U L' U2 F2 D' F2 B'
U L' U2 F2 D' B' F2
U L' U2 F2 B' D' F2
U L' U2 B' U' R2 U
U L' U2 B' D' F2 D
U L' U2 B' D' F2 D'
U L' U2 B' D' F2 D2
U L' U2 B' F D' F2
U L' U2 B' F' D' F2
U L' U2 B' F2 D' F2
U L' U2 B2 D' F2 B
U L' U2 B2 D' B F2
U' L' D B2 R' F' U2
U L' D F B2 U2 B
U' L' D' L F2 R B
U L' D F' B2 U2 B
U L' D F2 B2 U2 B
U L' D B2 U2 D B
U L' D B2 U2 D' B
U L' D B2 U2 D2 B
U L' D B2 U2 B D
U L' D B2 U2 B D'
U L' D B2 U2 B D2
U L' D B2 D U2 B
U L' D B2 D' U2 B
U L' D B2 D2 U2 B
U L' D B2 F U2 B
U L' D B2 F' U2 B
U L' D B2 F2 U2 B
U L' D' U2 F2 D B'
U L' D' U2 F2 D' B'
U L' D' U2 F2 D2 B'
U L' D' U2 F2 B' D
U L' D' U2 F2 B' D'
U L' D' U2 F2 B' D2
U L' D' U2 B' F2 D
U L' D' U2 B' F2 D'
U L' D' U2 B' F2 D2
U L' D' F U2 F B'
U L' D' F U2 B' F
U L' D' F' U2 F' B'
U L' D' F' U2 B' F'
U L' D' B U2 F2 B2
U L' D' B U2 B2 F2
U L' D' B2 U2 F2 B
U L' D' B2 U2 B F2
U L' D2 U2 B' D F2
U L' F U R2 U B'
U L' F U2 D' F2 B'
U L' F U2 D' B' F2
U L' F U2 B' D' F2
U L' F D B2 U2 B
U L' F D' U2 F2 B'
U L' F D' U2 B' F2
R2 L2 U L F U2 F'
L2 R2 U L F U2 F'
U L' F' U R2 U B'
U L' F' U2 D' F2 B'
U L' F' U2 D' B' F2
U L' F' U2 B' D' F2
U L' F' D B2 U2 B
L2 R2 U' L U2 L' B'
R2 L2 U' L U2 L' B'
U L' F' D' U2 F2 B'
U L' F' D' U2 B' F2
U L' F2 U R2 U B'
U L' F2 U2 D' F2 B'
U L' F2 U2 D' B' F2
U L' F2 U2 B' D' F2
U L' F2 D B2 U2 B
U L' F2 D' U2 F2 B'
U L' F2 D' U2 B' F2
U L' B U R2 U B2
U L' B U2 B2 D' F2
F' L' B' R2 F' U R
U L' B' D B2 U2 B2
D2 L2 R U L F U2
U L' B2 U2 D' F2 B
U L' B2 U2 D' B F2
U L' B2 U2 B D' F2
U L' B2 D B2 U2 B'
U L' B2 D' U2 F2 B
U L' B2 D' U2 B F2
D2 L2 R' U L F U2
D2 L2 R2 U L F U2
U2 L2 R2 U' L F U2
D2 L2 U L D F U2
D2 L2 U L D' F U2
D2 L2 U L D2 F U2
D2 L2 U L F U2 D
D2 L2 U L F U2 D'
D2 L2 U L F U2 D2
D2 L2 U L F D U2
D2 L2 U L F D' U2
D2 L2 U L F D2 U2
D' L2 U L F U2 F
D2 L2 U D L F U2
D L2 U L F B2 U2
D L2 U L B2 F U2
D2 L2 U D' L F U2
D2 L2 U D2 L F U2
D2 L2 U F L F U2
D2 L2 U F' L F U2
D2 L2 U F2 L F U2
D2 L2 U' R B2 R' B'
D2 L2 U' R2 B2 R' B
D2 L2 U' B R B R'
D2 L2 U' B2 R B R2
D2 L2 D U L F U2
D2 L2 D' U L F U2
L2 U L D F B2 U2
L2 U L D B2 F U2
L2 U L D' F U2 F
D2 L2 D2 U L F U2
L2 U L F U R2 U
L2 U L F U2 D' F2
L2 U L F D B2 U2
L2 U L F D' U2 F2
R2 U L F L2 U2 F'
R' U L' U R' U B'
D2 L2 F R U L U2
R U L' U R U B'
R2 U L' F U2 F' B'
R2 U L' F U2 B' F'
R2 U L' F' U2 F B'
R2 U L' F' U2 B' F
R2 U L' F2 U2 F2 B'
R2 U L' F2 U2 B' F2
L2 U D L F B2 U2
L2 U D L B2 F U2
L2 U D' L F U2 F
D2 R L2 U L F U2
D' R U L' U2 F2 B'
D' R U L' U2 B' F2
D R U L' B2 U2 B
D' R U' R F2 B R
D' R U' R B F2 R
D R U B2 L' U2 B'
D2 R U' D F2 R B
R2 U F2 U2 R F2 B
R2 U F2 U2 R B F2
D' R U' F2 R D B
D' R U' F2 R D' B
D' R U' F2 R D2 B
D' R U' F2 R B D
D' R U' F2 R B D'
D' R U' F2 R B D2
D' R U' F2 D R B
D' R U' F2 D' R B
D' R U' F2 D2 R B
D' R U' F2 B R B
D' R U' F2 B' R B
D' R U' F2 B2 R B
D' R U' B F2 R B
D' R U' B' F2 R B
D' R U' B2 F2 R B
D R U' D2 F2 R B
F R U2 R B' U R'
D2 R D U' F2 R B
F R U2 B' R U R2
D R D2 U' F2 R B
R2 U' L' R U2 L B
R2 U' L' R' F' U2 L
R2 U' L' U2 L' B' L2
F R F U' D R F'
F R F D U' R F'
F2 R F' R U' R' F'
R' U' R D' F2 B R
R' U' R D' B F2 R
R2 U' R L' U2 L B
F R F' U L' B' U2
R' U' R B D' F2 R
F R F2 L' F' U' R
R2 U' R' L' F' U2 L
U' R B R' D' F2 R
F R F2 D' L' F U'
D2 R' L2 U L F U2
D' R' U L' U2 F2 B'
D' R' U L' U2 B' F2
R' U' F2 R D' F2 B
R' U' F2 R D' B F2
R' U' F2 R B D' F2
D R' U L' B2 U2 B
D' R' U' R F2 B R
D' R' U' R B F2 R
D2 R' U' D F2 R B
D R' U B2 L' U2 B'
D' R' U' F2 R D B
D' R' U' F2 R D' B
D' R' U' F2 R D2 B
D' R' U' F2 R B D
D' R' U' F2 R B D'
D' R' U' F2 R B D2
D' R' U' F2 D R B
D' R' U' F2 D' R B
D' R' U' F2 D2 R B
D' R' U' F2 B R B
D' R' U' F2 B' R B
D' R' U' F2 B2 R B
D' R' U' B F2 R B
D' R' U' B' F2 R B
D' R' U' B2 F2 R B
D R' U' D2 F2 R B
D2 R' D U' F2 R B
R2 U' B2 D2 F2 R B
D R' D2 U' F2 R B
R' U2 R' U' L' U2 B'
R U2 R U' L' U2 B'
L' U2 R2 U R B R
L2 U2 R2 U' L F U2
L' U2 R2 B L U R2
D2 R2 L2 U L F U2
U2 R2 L2 U' L F U2
D' R2 U L' U2 F2 B'
D' R2 U L' U2 B' F2
D R2 U L' B2 U2 B
U2 R2 U F2 R F2 B
U2 R2 U F2 R B F2
D' R2 U' R F2 B R
D' R2 U' R B F2 R
D2 R2 U' D F2 R B
U2 R2 U' L F L2 U2
U2 R2 U' L' U2 D B'
U2 R2 U' L' U2 D' B'
U2 R2 U' L' U2 D2 B'
U2 R2 U' L' U2 B' D
U2 R2 U' L' U2 B' D'
U2 R2 U' L' U2 B' D2
U2 R2 U' L' D U2 B'
U2 R2 U' L' D' U2 B'
U2 R2 U' L' D2 U2 B'
U2 R2 U' L' F U2 B'
U2 R2 U' L' F' U2 B'
L' U2 B L R2 U R2
U2 R2 U' L' F2 U2 B'
D R2 U B2 L' U2 B'
D' R2 U' F2 R D B
D' R2 U' F2 R D' B
D' R2 U' F2 R D2 B
D' R2 U' F2 R B D
D' R2 U' F2 R B D'
D' R2 U' F2 R B D2
D' R2 U' F2 D R B
D' R2 U' F2 D' R B
D' R2 U' F2 D2 R B
D' R2 U' F2 B R B
D' R2 U' F2 B' R B
D' R2 U' F2 B2 R B
D' R2 U' B F2 R B
U2 R2 U' D L' U2 B'
L' U2 B R2 L U R2
D' R2 U' B' F2 R B
U2 R2 U' D' L' U2 B'
U2 R2 U' D2 L' U2 B'
D' R2 U' B2 F2 R B
U2 R2 U' F2 U2 R B
D R2 U' D2 F2 R B
D2 R2 D U' F2 R B
U2 R2 D U' L' U2 B'
U2 R2 D' U' L' U2 B'
U2 R2 D2 U' L' U2 B'
D R2 D2 U' F2 R B
U2 R2 B L U D2 R2
U2 R2 B L U' L2 U2
U2 R2 B L D' B2 U
U2 R2 B L D2 U R2
L2 D U L F B2 U2
L2 D U L B2 F U2
D' U L F L2 B' U2
D' U L' U2 F2 D B'
D' U L' U2 F2 D' B'
D' U L' U2 F2 D2 B'
D' U L' U2 F2 B' D
D' U L' U2 F2 B' D'
D' U L' U2 F2 B' D2
D' U L' U2 B' F2 D
D' U L' U2 B' F2 D'
D' U L' U2 B' F2 D2
D U L F L2 B2 U2
D' U L' D2 B2 U2 B
D U L F B2 L2 U2
D' U L' F U2 F B'
D' U L' F U2 B' F
D' U L' F' U2 F' B'
D' U L' F' U2 B' F'
D' U L' B U2 F2 B2
D' U L' B U2 B2 F2
D U L B2 L2 U2 B'
D U L B2 F L2 U2
U D L F L2 B2 U2
D' U L' B2 U2 F2 B
D' U L' B2 U2 B F2
U D L F B2 L2 U2
U' D L' B2 R' F' U2
D U L' U2 D2 F2 B'
D U L' U2 D2 B' F2
U D L B2 L2 U2 B'
U D L B2 F L2 U2
D U L' D2 U2 F2 B'
D U L' D2 U2 B' F2
D U L' F B2 U2 B
D U L' F' B2 U2 B
U D L' U2 D2 F2 B'
U D L' U2 D2 B' F2
D U L' F2 B2 U2 B
D U L' B2 U2 D B
D U L' B2 U2 D' B
D U L' B2 U2 D2 B
D U L' B2 U2 B D
D U L' B2 U2 B D'
D U L' B2 U2 B D2
D U L' B2 D U2 B
D U L' B2 D' U2 B
U D L' D2 U2 F2 B'
U D L' D2 U2 B' F2
D U L' B2 D2 U2 B
D U L' B2 F U2 B
D U L' B2 F' U2 B
D U L' B2 F2 U2 B
U D L' F B2 U2 B
U D L' F' B2 U2 B
U D L' F2 B2 U2 B
U D L' B2 U2 D B
U D L' B2 U2 D' B
U D L' B2 U2 D2 B
U D L' B2 U2 B D
U D L' B2 U2 B D'
U D L' B2 U2 B D2
U D L' B2 D U2 B
U D L' B2 D' U2 B
U D L' B2 D2 U2 B
U D L' B2 F U2 B
U D L' B2 F' U2 B
U D L' B2 F2 U2 B
U' D R D2 F2 B R
U' D R D2 B F2 R
D' U R' F2 L' R B'
D' U R' F2 L' B' R
D' U R' F2 R L' B'
L' D' L U' F2 R B
D' U F' U2 F' R B
U' D F2 R D2 F2 B
U' D F2 R D2 B F2
U' D F2 D2 R F2 B
U' D F2 D2 R B F2
D' U B L' U2 F2 B'
D' U B L' U2 B' F2
D' U B U2 F2 R B
D U F2 B2 U2 R B
L2 D' L2 U' F2 R B
D' U B' L' U2 F2 B'
D' U B' L' U2 B' F2
D U B L' B U2 B2
U D F2 B2 U2 R B
U D B L' B U2 B2
D' U B' U2 F2 R B
D' U B2 L' U2 F2 B'
D' U B2 L' U2 B' F2
D' U B2 U2 F2 R B
D U B2 L F L2 U2
D U B2 L' U2 D B'
D U B2 L' U2 D' B'
D U B2 L' U2 D2 B'
D U B2 L' U2 B' D
D U B2 L' U2 B' D'
D U B2 L' U2 B' D2
D U B2 L' D U2 B'
D U B2 L' D' U2 B'
D U B2 L' D2 U2 B'
D U B2 L' F U2 B'
D U B2 L' F' U2 B'
D U B2 L' F2 U2 B'
U D B2 L F L2 U2
U D B2 L' U2 D B'
U D B2 L' U2 D' B'
U D B2 L' U2 D2 B'
U D B2 L' U2 B' D
U D B2 L' U2 B' D'
U D B2 L' U2 B' D2
U D B2 L' D U2 B'
U D B2 L' D' U2 B'
U D B2 L' D2 U2 B'
U D B2 L' F U2 B'
U D B2 L' F' U2 B'
U D B2 L' F2 U2 B'
D U B2 D L' U2 B'
D U B2 D' L' U2 B'
D U B2 D2 L' U2 B'
D U B2 F2 U2 R B
U D B2 D L' U2 B'
U D B2 D' L' U2 B'
U D B2 D2 L' U2 B'
U D B2 F2 U2 R B
L2 D' U L F U2 F
U D' L F L2 B' U2
U D' L' U2 F2 D B'
U D' L' U2 F2 D' B'
U D' L' U2 F2 D2 B'
U D' L' U2 F2 B' D
U D' L' U2 F2 B' D'
U D' L' U2 F2 B' D2
U D' L' U2 B' F2 D
U D' L' U2 B' F2 D'
U D' L' U2 B' F2 D2
U D' L' D2 B2 U2 B
D U' L' B2 R' F' U2
U D' L' F U2 F B'
U D' L' F U2 B' F
U D' L' F' U2 F' B'
U D' L' F' U2 B' F'
U D' L' B U2 F2 B2
U D' L' B U2 B2 F2
U D' L' B2 U2 F2 B
U D' L' B2 U2 B F2
D2 U' R D F2 B R
D2 U' R D B F2 R
U' D' R F2 D B R
D' U' R F2 D B R
U' D' R F2 D' B R
D' U' R F2 D' B R
U' D' R F2 D2 B R
D' U' R F2 D2 B R
U' D' R F2 B R D
U' D' R F2 B R D'
U' D' R F2 B R D2
D' U' R F2 B R D
D' U' R F2 B R D'
D' U' R F2 B R D2
U' D' R F2 B D R
U' D' R F2 B D' R
U' D' R F2 B D2 R
D' U' R F2 B D R
D' U' R F2 B D' R
D' U' R F2 B D2 R
U' D' R F2 B' R B2
D' U' R F2 B' R B2
U' D' R F2 B2 R B'
D' U' R F2 B2 R B'
U' D' R B R F2 R
D' U' R B R F2 R
U' D' R B R' F2 R
D' U' R B R' F2 R
U' D' R B R2 F2 R
D' U' R B R2 F2 R
U' D' R B F2 R D
U' D' R B F2 R D'
U' D' R B F2 R D2
U' D' R B F2 D R
U' D' R B F2 D' R
U' D' R B F2 D2 R
D' U' R B F2 R D
D' U' R B F2 R D'
D' U' R B F2 R D2
D' U' R B F2 D R
D' U' R B F2 D' R
D' U' R B F2 D2 R
U2 D' R U F2 R B
D' U' R B' F2 R B2
U' D' R B' F2 R B2
D2 U' R B D F2 R
D' U' R B2 F2 R B'
U' D' R B2 F2 R B'
D U' R D2 F2 B R
D U' R D2 B F2 R
U2 D' R' U F2 R B
D' U' R2 F2 R' B R2
U' D' R2 F2 R' B R2
U2 D' R2 U F2 R B
D' U' F R F B R
U' D' F R F B R
D' U' F R B F R
U' D' F R B F R
U D' R' F2 L' R B'
U D' R' F2 L' B' R
U D' R' F2 R L' B'
D' U' F D F R B
U' D' F D F R B
D' U' F D' F R B
