U2 R B L U
F L R F L' U'
U2 L R B L U
U2 L' R B L U
U2 L2 R B L U
U2 R L B L U
F R L F L' U'
U2 R L' B L U
U2 R L2 B L U
U2 R D B L U
U2 R D' B L U
U2 R D2 B L U
U2 R B L U D
U2 R B L U D'
U2 R B L U D2
U2 R B L D U
U2 R B L D' U
U2 R B L D2 U
U2 R B D L U
U2 R B D' L U
U2 R B D2 L U
U2 D R B L U
U2 D' R B L U
D2 U2 R B L U
U2 D2 R B L U
D' U2 R B L U
D U2 R B L U
U' F D R F' B
U' F D R B F'
L F D R U' F'
L F2 L' F' R U'
U2 B L R B U
U2 B R L B U
U2 L R D B L U
U2 L R D' B L U
U2 L R D2 B L U
F L R F L' U' D
F L R F L' U' D'
F L R F L' U' D2
F L R F L' D U'
F L R F L' D' U'
F L R F L' D2 U'
F L R F D L' U'
F L R F D' L' U'
F L R F D2 L' U'
U2 L R B L U D
U2 L R B L U D'
U2 L R B L U D2
U2 L R B L D U
U2 L R B L D' U
U2 L R B L D2 U
U2 L R B D L U
U2 L R B D' L U
U2 L R B D2 L U
F L R' F L' R2 U'
F L R' F R2 L' U'
F L R2 F L' R' U'
F L R2 F R' L' U'
R' L D' F R U' F
F' L U2 L2 B' R' U
R' L D2 F L2 R U'
R' L D2 F R L2 U'
U2 L D R B L U
F L D R F U' F2
R' L F R U2 R U
R2 L F R U' D' F2
R2 L F R U2 R2 U
R2 L F R D' U' F2
L R F R U2 R' U
R2 L F R D2 L2 U'
R L F R U2 R' U
R' L F D' R U' F2
R' L F D2 L2 R U'
R' L F D2 R L2 U'
U2 L D' R B L U
U2 L D2 R B L U
F2 L F L2 U2 L U
F' L F U2 L2 R U
F' L F U2 R L2 U
D2 L F D R U' F'
D' L F D R U' F'
D L F D R U' F'
F' L F' L' F2 R U'
F2 L F' L2 R F2 U'
F2 L F' R L2 F2 U'
F2 L F' R F2 L2 U'
D2 L F2 L' F' R U'
D' L F2 L' F' R U'
D L F2 L' F' R U'
U2 L B L R B U
U2 L B R L B U
U2 L' R D B L U
U2 L' R D' B L U
U2 L' R D2 B L U
U2 L' R B L U D
U2 L' R B L U D'
U2 L' R B L U D2
U2 L' R B L D U
U2 L' R B L D' U
U2 L' R B L D2 U
U2 L' R B D L U
U2 L' R B D' L U
U2 L' R B D2 L U
L R' D' F R U' F
R' L' D2 L2 F R U'
L' R' D2 L2 F R U'
U L' U R B U B2
L R' D2 F L2 R U'
L R' D2 F R L2 U'
L R' F R U2 R U
L R' F D' R U' F2
L R' F D2 L2 R U'
L R' F D2 R L2 U'
F2 L' U2 D2 B' L U
U2 L' D R B L U
U2 L' D' R B L U
R' L' B' R2 F' L' U
L' R' B' R2 F' L' U
U2 L' D2 R B L U
F2 L' D2 U2 B' L U
F2 L' F U2 B' L' U
F2 L' F' R U2 B' U
U2 L' B L R B U
U2 L' B R L B U
F' L' B' U2 B L U'
U L' B' R' D' F2 L'
U2 L2 R D B L U
U2 L2 R D' B L U
U2 L2 R D2 B L U
U2 L2 R B L U D
U2 L2 R B L U D'
U2 L2 R B L U D2
U2 L2 R B L D U
U2 L2 R B L D' U
U2 L2 R B L D2 U
F L2 R F L' F U'
U2 L2 R B D L U
U2 L2 R B D' L U
U2 L2 R B D2 L U
L R2 F R U' D' F2
L R2 F R U2 R2 U
L R2 F R D' U' F2
L R2 F R D2 L2 U'
F' L2 U2 L B' R' U
U2 L2 D R B L U
F L2 D R U' F' R
U2 L2 D' R B L U
U2 L2 D2 R B L U
U2 L2 B L R B U
U2 L2 B R L B U
U2 R L D B L U
U2 R L D' B L U
U2 R L D2 B L U
U2 R L B L U D
U2 R L B L U D'
U2 R L B L U D2
U2 R L B L D U
U2 R L B L D' U
U2 R L B L D2 U
U2 R L B D L U
U2 R L B D' L U
U2 R L B D2 L U
F R L F L' U' D
F R L F L' U' D'
F R L F L' U' D2
F R L F L' D U'
