F' L' D' R2 B U L'
U' L2 R B D R2 F'
B' L2 F U R F U'
U' R L2 B D R2 F'
F R D F L2 B' U'
F R F U B2 U2 L2
F R F U' L2 D2 F2
F R F B' U' L2 F
U' R B L2 D R2 F'
D2 R B2 U F2 L' B'
F R B' F U' L2 F
B2 U' R F2 U' L2 B
B2 U' R F2 U' B L2
B2 U' R' F2 U' L2 B'
B2 U' F2 R U' L2 B
B2 U' F2 R U' B L2
L D2 F2 D' L R2 B'
L D2 F2 D' L B' R2
L D2 F2 D' R2 L B'
L' D2 B2 U L' F2 B'
L' D2 B2 U L' B' F2
D F L2 R B' U' R
D F L2 B' R U' R
D F R L2 B' U' R
F D R F L2 B' U'
F2 D' R' B2 L U' B'
F D2 R F U' F L'
U2 F2 B' R' U' L2 F
B' F R F U' L2 F
B2 F U' R F U' L2
U2 B' R' F2 U' L2 F
F B' R F U' L2 F
U2 B' F2 R' U' L2 F
D2 B2 R U F2 L' B'
F B2 U' R F U' L2
