D' B' L U2 L
B' L U F2 B' U
B' L U B' F2 U
D' L2 F R2 B R'
L U F2 B' R' U
L U B' R' F2 U
L U B' F2 R' U
D' R B' L U2 L
D' R' B' L U2 L
D R2 D2 B' L U2
D' R2 B' L U2 L
R' D' B' L U2 L
R2 D' B' L U2 L
R D' B' L U2 L
B2 D R2 U2 F' R
B2 D' B U2 L2 R'
B2 D' B U2 R' L2
D' B' L R U2 L
D' B' L R' U2 L
D' B' L R2 U2 L
D' B' L U2 L D
D' B' L U2 L D'
D' B' L U2 L D2
D' B' L U2 D L
D' B' L U2 D' L
D' B' L U2 D2 L
D' B' L D U2 L
D' B' L D' U2 L
D' B' L D2 U2 L
D' B' R L U2 L
D' B' R' L U2 L
D' B' R2 L U2 L
D' B' D2 L R2 U2
D' B' D2 R2 L U2
D B2 R2 U2 F' R
B' L R U F2 B' U
B' L R U B' F2 U
R' L U F2 B' R' U
R' L U B' R' F2 U
R2 L U F2 B' R' U
B' L R' U F2 B' U
L R U F2 B' R' U
B' L R' U B' F2 U
R' L U B' F2 R' U
R2 L U B' R' F2 U
L R U B' R' F2 U
R2 L U B' F2 R' U
L R U B' F2 R' U
R L U F2 B' R' U
R L U B' R' F2 U
R L U B' F2 R' U
B' L R2 U F2 B' U
B' L R2 U B' F2 U
D L R2 U2 R' F' R
B' L U D' B' U L2
B' L U F2 D B' U
B' L U F2 D' B' U
B' L U F2 D2 B' U
B' L U F2 B' U D
B' L U F2 B' U D'
B' L U F2 B' U D2
B' L U F2 B' D U
B' L U F2 B' D' U
B' L U F2 B' D2 U
B' L U B' U D' L2
B' L U B' D' U L2
B' L U B' F2 U D
B' L U B' F2 U D'
B' L U B' F2 U D2
B' L U B' F2 D U
B' L U B' F2 D' U
B' L U B' F2 D2 U
B' L D R2 U B' U
B' L D' U B' U L2
B2 L B U F2 B2 U
B2 L B U B2 F2 U
B2 L B U2 D' L2 R2
B2 L B U2 D' R2 L2
B2 L B D L2 R2 U2
B2 L B D R2 L2 U2
B2 L B D' U2 L2 R2
B2 L B D' U2 R2 L2
L R' U F2 B' R' U
L R' U B' R' F2 U
L R' U B' F2 R' U
B L B2 U F2 B U
B L B2 U B F2 U
B' L' U F2 U2 F' U'
B' L' U' D' F U' L2
B' L' U' D2 F B2 U'
B' L' U' D2 B2 F U'
B' L' U' F U2 F U
B' L' D R2 U' F U'
B' L' D' U' F U' L2
B' L' D2 U' F B2 U'
B' L' D2 U' B2 F U'
L R2 U F2 B' R' U
L R2 U B' R' F2 U
L R2 U B' F2 R' U
D' L' B U2 L' R' F
D' L' B U2 L' F R'
D' L' B U2 R' L' F
D' L' B' L U2 L2 F
D' L' B' L B' U2 L2
D' L' B2 U2 L' F R
D' L2 R F R2 B R'
D' L2 R' F R2 B R'
D' L2 R2 F R2 B R'
D L2 R2 U2 F' R F2
B' L2 U F2 B' U R'
B' L2 U B' F2 U R'
U' L2 U' D' F L2 R
U' L2 U' D' F R L2
F2 L2 U' F2 U2 F' R
U2 L2 U' F2 U F' R
D L2 U2 F' R F2 L'
U' L2 D' U' F L2 R
U' L2 D' U' F R L2
U' L2 D2 B2 U' F R
D' L2 F R' B R' B
D' L2 F R2 B R' D
D' L2 F R2 B R' D'
D' L2 F R2 B R' D2
D' L2 F R2 B D R'
D' L2 F R2 B D' R'
D' L2 F R2 B D2 R'
U2 L2 F U' F U R
D' L2 F B R2 B R
F' L2 F' U F2 B' R'
F' L2 F' U B' R' F2
F' L2 F' U B' F2 R'
D' L2 F2 D2 F' R B2
D' L2 F2 D2 F' B2 R
D' L2 F2 D2 B2 F' R
L U R F2 B' R' U
L U R B' R' F2 U
L U R B' F2 R' U
D' L2 B R F R2 B
D' L2 B F R2 B R
L U R' F2 B' R' U
L U R' B' R' F2 U
L U R' B' F2 R' U
D' L2 B' L U2 L' F
L U R2 F2 B' R' U
L U R2 B' R' F2 U
L U R2 B' F2 R' U
B' R L U F2 B' U
B' R L U B' F2 U
L U D' B' R' U L2
D' R L2 F R2 B R'
L U F B' R' F U
L U F2 R B' R' U
L U F2 R' B' R' U
L U F2 R2 B' R' U
L2 U F2 B' U F' R'
L U F2 D B' R' U
L U F2 D' B' R' U
L U F2 D2 B' R' U
L U F2 B' R' U D
L U F2 B' R' U D'
L U F2 B' R' U D2
L U F2 B' R' D U
L U F2 B' R' D' U
L U F2 B' R' D2 U
L U F2 B' D R' U
L U F2 B' D' R' U
L U F2 B' D2 R' U
L U B' R F2 R2 U
L U B' R' U D' L2
L U B' R' D' U L2
L U B' R' F2 U D
L U B' R' F2 U D'
L U B' R' F2 U D2
L U B' R' F2 D U
L U B' R' F2 D' U
L U B' R' F2 D2 U
L2 U B' F2 U F' R'
L U B' D' R' U L2
L U B' F R' F U
L U B' F2 R' U D
L U B' F2 R' U D'
L U B' F2 R' U D2
L U B' F2 R' D U
L U B' F2 R' D' U
L U B' F2 R' D2 U
L U B' F2 D R' U
L U B' F2 D' R' U
L U B' F2 D2 R' U
D R D2 R B' L U2
D R D2 B' L R U2
D R D2 B' R L U2
D' R B' L R U2 L
D' R B' L R' U2 L
D' R B' L R2 U2 L
D' R B' L U2 L D
D' R B' L U2 L D'
D' R B' L U2 L D2
D' R B' L U2 D L
D' R B' L U2 D' L
D' R B' L U2 D2 L
D' R B' L D U2 L
D' R B' L D' U2 L
D' R B' L D2 U2 L
D' R B' R L U2 L
D' R B' R' L U2 L
D' R B' R2 L U2 L
D2 R B' U' F' B' U'
D2 R B' U' B' F' U'
D' R B' D2 L R2 U2
D' R B' D2 R2 L U2
B' R' L U F2 B' U
B' R' L U B' F2 U
D' R' L2 F R2 B R'
D R' D2 R' B' L U2
D' R' B' L R U2 L
D' R' B' L R' U2 L
D' R' B' L R2 U2 L
D' R' B' L U2 L D
D' R' B' L U2 L D'
D' R' B' L U2 L D2
D' R' B' L U2 D L
D' R' B' L U2 D' L
D' R' B' L U2 D2 L
D' R' B' L D U2 L
D' R' B' L D' U2 L
D' R' B' L D2 U2 L
D' R' B' R L U2 L
D' R' B' R' L U2 L
D' R' B' R2 L U2 L
D' R' B' D2 L R2 U2
D' R' B' D2 R2 L U2
B' R2 L U F2 B' U
B' R2 L U B' F2 U
D R2 L U2 R' F' R
D' R2 L2 F R2 B R'
D R2 L2 U2 F' R F2
D R2 D2 B' L U2 D
D R2 D2 B' L U2 D'
D R2 D2 B' L U2 D2
D R2 D2 B' L D U2
D R2 D2 B' L D' U2
D R2 D2 B' L D2 U2
D R2 D2 B' D L U2
D R2 D2 B' D' L U2
D R2 D2 B' D2 L U2
D R2 F B' L' F' U2
L' D R2 U' F L' U'
R' D R2 D2 B' L U2
D' R2 B' L R U2 L
D' R2 B' L R' U2 L
D' R2 B' L R2 U2 L
D' R2 B' L U2 L D
