L2 R U2 B U' F'
L2 R' F' R2 U F'
L2 R' F' U' B U2
R L2 U2 B U' F'
R' L2 F' R2 U F'
R' L2 F' U' B U2
L2 U R F' L' R'
L2 U R F' R' L'
L2 U D2 F' L' F
L2 U F' D2 L' F
L2 U' R U2 F' L'
L2 U' R' B U2 L
L2 U' B' R' B U2
D' R' F' R U B2
L2 D' R' F' R U
L2 D2 U F' L' F
R' F' L2 R2 U F'
R' F' L2 U' B U2
R' F' R2 L2 U F'
L2 R U F' U B U'
D' L R' F' R U B2
L2 R U2 L B U' F'
L2 R U2 L' B U' F'
L2 R U2 L2 B U' F'
L2 R U2 D B U' F'
L2 R U2 D' B U' F'
L2 R U2 D2 B U' F'
L2 R U2 B L U' F'
L2 R U2 B L' U' F'
L2 R U2 B L2 U' F'
L2 R U2 B U' D F'
L2 R U2 B U' D' F'
L2 R U2 B U' D2 F'
L2 R U2 B U' F' D
L2 R U2 B U' F' D'
L2 R U2 B U' F' D2
L2 R U2 B D U' F'
L2 R U2 B D' U' F'
L2 R U2 B D2 U' F'
L2 R D U2 B U' F'
L2 R D' U2 B U' F'
L2 R D2 U2 B U' F'
L2 R F R2 F' U F'
L2 R F U2 B U' F2
L2 R F D R2 F' U
R' L F' L R2 U F'
R' L F' L U' B U2
R' L F' R2 L U F'
L2 R F' R2 F' U F
L2 R F2 R2 F' U F2
L2 R F2 U2 B U' F
L2 R' U' B U F' U
L2 R' D F' R2 U F'
L2 R' D F' U' B U2
D' L' R' F' R U B2
L2 R' D' F' R2 U F'
L2 R' D' F' U' B U2
L2 R' D2 F' R2 U F'
L2 R' D2 F' U' B U2
L2 R' F R2 F2 U F
L R' F' L R2 U F'
L R' F' L U' B U2
L R' F' R2 L U F'
L2 R' F' R2 U D F'
L2 R' F' R2 U D' F'
L2 R' F' R2 U D2 F'
L2 R' F' R2 U F' D
L2 R' F' R2 U F' D'
L2 R' F' R2 U F' D2
L2 R' F' R2 D U F'
L2 R' F' R2 D' U F'
L2 R' F' R2 D2 U F'
L2 R' F' U R2 F' R2
L2 R' F' U' D B U2
L2 R' F' U' D' B U2
L2 R' F' U' D2 B U2
L2 R' F' U' B U2 D
L2 R' F' U' B U2 D'
L2 R' F' U' B U2 D2
L2 R' F' U' B D U2
L2 R' F' U' B D' U2
L2 R' F' U' B D2 U2
L2 R' F' D R2 U F'
L2 R' F' D U' B U2
L2 R' F' D' R2 U F'
L2 R' F' D' U' B U2
L2 R' F' D2 R2 U F'
L2 R' F' D2 U' B U2
L2 R' F2 R2 F U F2
R L2 U F' U B U'
R' L2 U' B U F' U
R L2 U2 L B U' F'
R L2 U2 L' B U' F'
R L2 U2 L2 B U' F'
R L2 U2 D B U' F'
R L2 U2 D' B U' F'
R L2 U2 D2 B U' F'
R L2 U2 B L U' F'
R L2 U2 B L' U' F'
R L2 U2 B L2 U' F'
R L2 U2 B U' D F'
R L2 U2 B U' D' F'
R L2 U2 B U' D2 F'
R L2 U2 B U' F' D
R L2 U2 B U' F' D'
R L2 U2 B U' F' D2
