F' R U R' F
F' R U F R'
L' U' L F' U
L2 U' L2 F' U
L U' L' F' U
L' U' F' L U
L2 U' F' L2 U
F' R' U R F
F' R2 U R2 F
F' R2 U F R2
U R2 B U' B'
U' F' L2 U B'
U' F' U' F U2
B' L U' L' F' U
D L U' L' F' U
D' L U' L' F' U
B2 L U' L' F' U
D2 L U' L' F' U
B L U' L' F' U
U' L F' L2 U B'
U' L F' U' F U2
D' L' U' L F' U
D2 L' U' L F' U
B' L' U' L F' U
D L' U' L F' U
B2 L' U' L F' U
B L' U' L F' U
D' L' U' F' L U
D2 L' U' F' L U
B' L' U' F' L U
B2 L' U' F' L U
D L' U' F' L U
B L' U' F' L U
U' L' F' L2 U B'
U' L' F' U' F U2
D' L2 U' L2 F' U
D2 L2 U' L2 F' U
B' L2 U' L2 F' U
B2 L2 U' L2 F' U
D L2 U' L2 F' U
D' L2 U' F' L2 U
D2 L2 U' F' L2 U
B' L2 U' F' L2 U
D L2 U' F' L2 U
B2 L2 U' F' L2 U
B L2 U' L2 F' U
B L2 U' F' L2 U
F L2 D' L2 F' B2
F L2 D' L2 B2 F'
F L2 D' F' L2 B2
F L2 D' F' B2 L2
F L2 D' B2 L2 F'
F L2 D' B2 F' L2
U' L2 F' L2 U B'
U' L2 F' U' F U2
L2 U D2 R2 B U'
F' R U R F R2
F' R U R' D F
F' R U R' D' F
F' R U R' D2 F
F' R U R' F D
F' R U R' F D'
F' R U R' F D2
F' R U D R' F
F' R U D F R'
F' R U D' R' F
F' R U D' F R'
F' R U D2 R' F
F' R U D2 F R'
F' R U F R' D
F' R U F R' D'
F' R U F R' D2
F' R U F D R'
F' R U F D' R'
F' R U F D2 R'
F' R U F' R' F2
R2 U B U' R2 B'
R2 U B U' B' R2
F' R D U R' F
F' R D U F R'
L' U' L D F' U
L' U' L D' F' U
L' U' L D2 F' U
L' U' L F' U D
L' U' L F' U D'
L' U' L F' U D2
L' U' L F' D U
L' U' L F' D' U
L' U' L F' D2 U
F' R D' U R' F
F' R D' U F R'
L' U' L' F' L2 U
F' R D2 U R' F
F' R D2 U F R'
L2 U' L F' L U
L U' L F' L2 U
F2 R F U R' F
L U' L' D F' U
F2 R F U F R'
L U' L' D' F' U
L U' L' D2 F' U
L U' L' F' U D
L U' L' F' U D'
L U' L' F' U D2
L U' L' F' D U
L U' L' F' D' U
L U' L' F' D2 U
L2 U' L2 D F' U
L2 U' L2 D' F' U
L2 U' L2 D2 F' U
L2 U' L2 F' U D
L2 U' L2 F' U D'
L2 U' L2 F' U D2
L2 U' L2 F' D U
L2 U' L2 F' D' U
L2 U' L2 F' D2 U
L U' L2 F' L U
L' U' D L F' U
L' U' D F' L U
L' U' D' L F' U
L' U' D' F' L U
L' U' D2 L F' U
L U' D L' F' U
U R B' U' B L
L' U' D2 F' L U
L' U' F L F2 U
L U' D' L' F' U
L2 U' D' F' U B2
L' U' F' L U D
L' U' F' L U D'
L' U' F' L U D2
L' U' F' L D U
L' U' F' L D' U
L' U' F' L D2 U
L U' D2 L' F' U
L' U' F' D L U
L' U' F' D' L U
L' U' F' D2 L U
L2 U' F L2 F2 U
L2 U' F' L2 U D
L2 U' F' L2 U D'
L2 U' F' L2 U D'
L2 U' F' L2 U D2
L2 U' F' L2 D U
L2 U' F' L2 D' U
L2 U' F' L2 D2 U
F' R' U R D F
F' R' U R D' F
F' R' U R D2 F
F' R' U R F D
F' R' U R F D'
F' R' U R F D2
F' R' U R' F R2
F' R' U R2 F R'
L2 U' F' U D' B2
F' R' U D R F
F' R' U D' R F
F' R' U D2 R F
L2 U' F' D' U B2
F' R' D U R F
F' R' D' U R F
F' R' D2 U R F
F' R' B U R F
F' R' B' U R F
F' R' B2 U R F
F' R2 U R' F R'
F' R2 U R2 D F
F' R2 U R2 D' F
F' R2 U R2 D2 F
F' R2 U R2 D2 F
F' R2 U R2 F D
F' R2 U R2 F D'
F' R2 U R2 F D2
F' R2 U F R2 D
F' R2 U F R2 D'
F' R2 U F R2 D2
F' R2 U F' R2 F2
U2 R2 U' B R2 U'
F' R2 D B2 U F
U R2 D B U' B'
U R2 D' B U' B'
F2 R2 F U R2 F
F2 R2 F U F R2
U R2 D2 B U' B'
L' D U' L F' U
F' R2 B U R2 F
F' R2 B U F R2
L' D U' F' L U
F R2 F2 U R2 F'
F' R2 B' U R2 F
F' R2 B' U R2 F
F' R2 B' U F R2
U R2 B R U' B'
U R2 B R U' B'
U R2 B R' U' B'
U R2 B R2 U' B'
U R2 B U' D B'
U R2 B U' D B'
U R2 B U' D' B'
U R2 B U' D2 B'
U R2 B U' B' D
U R2 B U' B' D'
U R2 B U' B' D2
U R2 B D U' B'
U R2 B D' U' B'
U R2 B D2 U' B'
F' R2 B2 U R2 F
F' R2 B2 U F R2
L D U' L' F' U
B' U R2 B U' B'
B2 U R2 B U' B'
D2 U R2 B U' B'
D' U R2 B U' B'
B U R2 B U' B'
U D R2 B U' B'
D U R2 B U' B'
U' D F' L2 U B'
U' D F' U' F U2
F' U F U F' U'
F' U F2 D F' R2
L' D' U' L F' U
L' D' U' F' L U
L D' U' L' F' U
L2 D' U' F' U B2
U' D' F' L2 U B'
U D' R2 B U' B'
D2 U' F' L2 U B'
U' D' F' U' F U2
D' U' F' L2 U B'
D2 U' F' U' F U2
D' U' F' U' F U2
D U' F' L2 U B'
D U' F' U' F U2
L2 D' B2 U' F' U
B2 U' F' L2 U B'
B' U' F' L2 U B'
B2 U' F' U' F U2
B' U' F' U' F U2
B U' F' L2 U B'
L' D2 U' L F' U
B U' F' U' F U2
L' D2 U' F' L U
L2 D2 U R2 B U'
L D2 U' L' F' U
U' D2 F' L2 U B'
U' D2 F' U' F U2
U D2 R2 B U' B'
R F U F' L' R'
R F U F' R' L'
F' D R U R' F
F' D R U F R'
L2 F D' L2 F' B2
L2 F D' L2 B2 F'
F' D R' U R F
L2 F D' F' L2 B2
L2 F D' F' B2 L2
L2 F D' B2 L2 F'
L2 F D' B2 F' L2
F' D R2 U R2 F
F' D R2 U F R2
F2 D R2 F U R2
U' F' L2 U D B'
U' F' L2 U D B'
U' F' L2 U D' B'
U' F' L2 U D2 B'
U' F' L2 U B' D
U' F' L2 U B' D'
U' F' L2 U B' D2
U' F' L2 D U B'
U' F' L2 D' U B'
U' F' L2 D2 U B'
F2 D F R2 U R2
D2 F' R U R' F
D2 F' R U F R'
D' F' R U R' F
D' F' R U F R'
D2 F' R' U R F
D' F' R' U R F
D F' R U R' F
D F' R U F R'
D2 F' R2 U R2 F
D2 F' R2 U F R2
D' F' R2 U R2 F
D' F' R2 U F R2
U' F' U L2 B' L2
D F' R' U R F
D F' R2 U R2 F
D F' R2 U F R2
U' F' U' D F U2
U' F' U' D' F U2
U' F' U' D2 F U2
U' F' U' F U2 D
U' F' U' F U2 D'
U' F' U' F U2 D2
U' F' U' F D U2
U' F' U' F D' U2
U' F' U' F D2 U2
U' F' D L2 U B'
U' F' D U' F U2
U' F' D' L2 U B'
U' F' D' U' F U2
F' D' R U R' F
F' D' R U F R'
U' F' D2 L2 U B'
U' F' D2 U' F U2
F' D' R' U R F
F' D' R2 U R2 F
F' D' R2 U F R2
F D' L2 D' F' B2
F D' L2 D' B2 F'
F D' L2 F' D' B2
F D' F' L2 D' B2
F' D2 R U R' F
F' D2 R U F R'
U' F2 D' F L2 U
F' D2 R' U R F
U' F2 D2 F U B2
F' D2 R2 U R2 F
F' D2 R2 U F R2
L2 B U' L2 F' U
L B U' L' F' U
L2 B U' F' L2 U
U B R2 B U' B2
F' B R U R' F
F' B R U F R'
F' B R' U R F
U B U2 F' U B'
F' B R2 U R2 F
F' B R2 U F R2
F' B' R U R' F
F' B' R U F R'
L2 B' U' L2 F' U
L B' U' L' F' U
L2 B' U' F' L2 U
B' F' R U R' F
B' F' R U F R'
F' B' R' U R F
B2 F' R U R' F
B2 F' R U F R'
B' F' R' U R F
F' B' R2 U R2 F
F' B' R2 U F R2
B2 F' R' U R F
B' F' R2 U R2 F
B' F' R2 U F R2
B F' R U R' F
B F' R U F R'
B2 F' R2 U R2 F
B2 F' R2 U F R2
B F' R' U R F
U B' U2 F' U B
B F' R2 U R2 F
B F' R2 U F R2
F' B2 R U R' F
F' B2 R U F R'
F' B2 R' U R F
F' B2 R2 U R2 F
F' B2 R2 U F R2
L2 B2 U' L2 F' U
L B2 U' L' F' U
L2 B2 U' F' L2 U
U B2 R2 B U' B
U B2 U2 F' U B2
U B2 D' R2 B U'
B' L U' L F' L2 U
D' L U' L F' L2 U
D2 L U' L F' L2 U
B' L U' L' D F' U
B' L U' L' D' F' U
B' L U' L' D2 F' U
B' L U' L' F' U D
B' L U' L' F' U D'
B' L U' L' F' U D2
B' L U' L' F' D U
B' L U' L' F' D' U
B' L U' L' F' D2 U
B2 L U' L F' L2 U
D' L U' L' D F' U
D' L U' L' D' F' U
D2 L U' L' D F' U
D' L U' L' D2 F' U
D2 L U' L' D' F' U
D2 L U' L' D2 F' U
D' L U' L' F' U D
D' L U' L' F' U D'
D' L U' L' F' U D2
D' L U' L' F' D U
D' L U' L' F' D' U
D' L U' L' F' D2 U
D2 L U' L' F' U D
D2 L U' L' F' U D'
D2 L U' L' F' U D2
D2 L U' L' F' D U
D2 L U' L' F' D' U
D2 L U' L' F' D2 U
B2 L U' L' D F' U
B' L U' L2 F' L U
B2 L U' L' D' F' U
B2 L U' L' D2 F' U
B2 L U' L' F' U D
B2 L U' L' F' U D'
B2 L U' L' F' U D2
B2 L U' L' F' D U
B2 L U' L' F' D' U
B2 L U' L' F' D2 U
D2 L U' L2 F' L U
D L U' L F' L2 U
D' L U' L2 F' L U
B L U' L F' L2 U
F2 L U' L' F U F
B2 L U' L2 F' L U
D L U' L' D F' U
D L U' L' D' F' U
D L U' L' D2 F' U
B L U' L' D F' U
B L U' L' D' F' U
D L U' L' F' U D
D L U' L' F' U D'
D L U' L' F' U D2
D L U' L' F' D U
D L U' L' F' D' U
B L U' L' D2 F' U
D L U' L' F' D2 U
B L U' L' F' U D
B L U' L' F' U D'
B L U' L' F' U D2
B L U' L' F' D U
B L U' L' F' D' U
B L U' L' F' D2 U
F L U' L' F2 U F
D L U' L2 F' L U
B L U' L2 F' L U
B' L U' D L' F' U
D2 L U' D L' F' U
D' L U' D L' F' U
B' L U' D' L' F' U
B2 L U' D L' F' U
D' L U' D' L' F' U
D2 L U' D' L' F' U
B' L U' D2 L' F' U
B2 L U' D' L' F' U
D2 L U' D2 L' F' U
D' L U' D2 L' F' U
D L U' D L' F' U
B L U' D L' F' U
B2 L U' D2 L' F' U
D L U' D' L' F' U
B L U' D' L' F' U
D L U' D2 L' F' U
B L U' D2 L' F' U
U' L U2 R2 B U' B'
D2 L D U' L' F' U
B' L D U' L' F' U
D' L D U' L' F' U
B2 L D U' L' F' U
D L D U' L' F' U
B L D U' L' F' U
U' L D F' L2 U B'
U' L D F' U' F U2
D' L D' U' L' F' U
D2 L D' U' L' F' U
B' L D' U' L' F' U
B2 L D' U' L' F' U
D L D' U' L' F' U
B L D' U' L' F' U
U' L D' F' L2 U B'
U' L D' F' U' F U2
D' L D2 U' L' F' U
D2 L D2 U' L' F' U
B' L D2 U' L' F' U
D L D2 U' L' F' U
B2 L D2 U' L' F' U
B L D2 U' L' F' U
U' L D2 F' L2 U B'
U' L D2 F' U' F U2
U' L F' L2 U D B'
U' L F' L2 U D' B'
U' L F' L2 U D2 B'
U' L F' L2 U B' D
U' L F' L2 U B' D'
U' L F' L2 U B' D2
U' L F' L2 D U B'
U' L F' L2 D' U B'
U' L F' L2 D2 U B'
U' L F' U L2 B' L2
U' L F' U' D F U2
U' L F' U' D' F U2
U' L F' U' D2 F U2
U' L F' U' F U2 D
U' L F' U' F U2 D'
U' L F' U' F U2 D2
U' L F' U' F D U2
U' L F' U' F D' U2
U' L F' U' F D2 U2
U' L F' D L2 U B'
U' L F' D U' F U2
U' L F' D' L2 U B'
U' L F' D' U' F U2
U' L F' D2 L2 U B'
U' L F' D2 U' F U2
U' L F2 D' F L2 U
U' L F2 D2 F U B2
D2 L B U' L' F' U
D' L B U' L' F' U
B' L B U' L' F' U
D L B U' L' F' U
B2 L B U' L' F' U
B L B U' L' F' U
D2 L B' U' L' F' U
D' L B' U' L' F' U
B' L B' U' L' F' U
D L B' U' L' F' U
B2 L B' U' L' F' U
B L B' U' L' F' U
D2 L B2 U' L' F' U
D' L B2 U' L' F' U
B' L B2 U' L' F' U
D L B2 U' L' F' U
B2 L B2 U' L' F' U
B L B2 U' L' F' U
D2 L' U' L D F' U
D2 L' U' L D' F' U
D2 L' U' L D2 F' U
D2 L' U' L F' U D
D2 L' U' L F' U D'
D2 L' U' L F' U D2
D2 L' U' L F' D U
D2 L' U' L F' D' U
D2 L' U' L F' D2 U
D' L' U' L D F' U
D' L' U' L D' F' U
D' L' U' L D2 F' U
D' L' U' L F' U D
D' L' U' L F' U D'
D' L' U' L F' U D2
D' L' U' L F' D U
D' L' U' L F' D' U
D' L' U' L F' D2 U
D2 L' U' L' F' L2 U
D' L' U' L' F' L2 U
B' L' U' L D F' U
B' L' U' L D' F' U
B' L' U' L D2 F' U
B' L' U' L F' U D
B' L' U' L F' U D'
B' L' U' L F' U D2
B' L' U' L F' D U
B' L' U' L F' D' U
B' L' U' L F' D2 U
B' L' U' L' F' L2 U
B2 L' U' L D F' U
B2 L' U' L D' F' U
B2 L' U' L D2 F' U
D L' U' L D F' U
B2 L' U' L F' U D
B2 L' U' L F' U D'
B2 L' U' L F' U D2
B2 L' U' L F' D U
B2 L' U' L F' D' U
B2 L' U' L F' D2 U
D L' U' L D' F' U
D L' U' L D2 F' U
D L' U' L F' U D
D L' U' L F' U D'
D L' U' L F' U D2
D L' U' L F' D U
D L' U' L F' D' U
D L' U' L F' D2 U
B2 L' U' L' F' L2 U
D L' U' L' F' L2 U
F L' U' L F2 U F
B L' U' L D F' U
B L' U' L D' F' U
B L' U' L D2 F' U
B L' U' L F' U D
B L' U' L F' U D'
B L' U' L F' U D2
B L' U' L F' D U
B L' U' L F' D' U
B L' U' L F' D2 U
D2 L' U' D L F' U
D2 L' U' D F' L U
D' L' U' D L F' U
D2 L' U' D' L F' U
D' L' U' D F' L U
B L' U' L' F' L2 U
D2 L' U' D' F' L U
D' L' U' D' L F' U
D2 L' U' D2 L F' U
D' L' U' D' F' L U
B' L' U' D L F' U
D2 L' U' D2 F' L U
D' L' U' D2 L F' U
B' L' U' D F' L U
D2 L' U' F L F2 U
D' L' U' D2 F' L U
B' L' U' D' L F' U
D' L' U' F L F2 U
B' L' U' D' F' L U
D2 L' U' F' L U D
D2 L' U' F' L U D'
D2 L' U' F' L U D2
D2 L' U' F' L D U
D2 L' U' F' L D' U
D2 L' U' F' L D2 U
