D' L B' U' R B
F L R F' U' L2 R
F L R F' U' R L2
D2 L U' R B' L B2
D' L U' R B D L2
D2 L U' B' L R B
D2 L U' B' R L B
D2 L U' B2 R B L
R' L F R U' L' R
R' L F R U' R L'
R2 L F R U' L' R2
R2 L F R U' R2 L'
L R F R U' L' R'
L R F R U' R' L'
D' L D B' U' R B
R L F R U' L' R'
R L F R U' R' L'
D' L D' B' U' R B
D' L D2 B' U' R B
F L F' U' L2 R B
F L F' U' R L2 B
F L F' U' R B L2
D2 L B' U' L R B
D2 L B' U' R L B
D' L B' U' R D B
D' L B' U' R D' B
D' L B' U' R D2 B
D' L B' U' R B D
D' L B' U' R B D'
D' L B' U' R B D2
D' L B' U' D R B
D' L B' U' D' R B
D' L B' U' D2 R B
D' L B' U' B R B
D' L B' U' B' R B
D' L B' U' B2 R B
D' L B' D U' R B
D' L B' D' U' R B
D' L B' D2 U' R B
L R' F R U' L' R
L R' F R U' R L'
L R2 F R U' L' R2
L R2 F R U' R2 L'
R U L U F U2 L'
F R L F' U' L2 R
F R L F' U' R L2
U' R F L' D F2 B
U' R F L' D B F2
U' R F L' B D F2
U R F L' D F2 B'
U R F L' D B' F2
U' R F B D L' F
U R F L' B' D F2
L U' R D2 B' L B2
L U' R F L' F' B
L U' R F L' B F'
L U' R F B L' F'
L U' R B F L' F'
L U' R B2 D2 B' L
U' R B F D L' F
L U' D2 R B' L B2
L U' D2 B' L R B
L U' D2 B' R L B
L U' D2 B2 R B L
L U' F L' F' R B
U2 D' L B' R' U' R2
B' U' L R F L' B
B' U' L R F B L'
B' U' L R B F L'
B' U' R L F L' B
B' U' R L F B L'
B' U' R L B F L'
B' U' R B L F L'
D' U2 L B' R' U' R2
L D2 U' R B' L B2
L D2 U' B' L R B
L D2 U' B' R L B
L D2 U' B2 R B L
R' F L R U' L2 R
R' F L R U' R L2
L D2 B' U' L R B
L D2 B' U' R L B
R2 F L R U' L2 R2
R2 F L R U' R2 L2
R F L R U' L2 R'
R F L R U' R' L2
R2 F L' R' D F2 B2
R2 F L' R' D B2 F2
R' F R L U' L2 R
R' F R L U' R L2
R F L' U L2 R U'
R F L' U R L2 U'
R2 F R L U' L2 R2
R2 F R L U' R2 L2
R F R L U' L2 R'
R F R L U' R' L2
R2 F R' L' D F2 B2
R2 F R' L' D B2 F2
R F U L R U' L2
R F U R L U' L2
F D L R F' U' L2
F D R L F' U' L2
D2 B' U' L R F B
D2 B' U' L R B F
D2 B' U' R L F B
D2 B' U' R L B F
