B2 L2 F U R
F L2 U2 B U' R
B2 L2 D F U R
B2 L2 D' F U R
B2 L2 D2 F U R
B2 L2 F U R D
B2 L2 F U R D'
B2 L2 F U R D2
B2 L2 F U D R
B2 L2 F U D' R
B2 L2 F U D2 R
B2 L2 F D U R
B2 L2 F D' U R
B2 L2 F D2 U R
B2 L2 F B U R
B2 L2 F B' U R
B2 L2 F B2 U R
B2 L2 B F U R
B2 L2 B' F U R
B2 L2 B2 F U R
L2 U2 B U L U2
L2 F U2 B U' R
U2 B U' D' B2 R'
U2 B D' U' B2 R'
L2 B2 U2 B' U' R'
B2 L D L F U R
B2 L D' L F U R
B2 L D2 L F U R
B2 L' B L' F U R
B2 L' B' L' F U R
B2 L' B2 L' F U R
B2 L2 R F R' U R2
L2 R2 F R2 F2 U R'
R2 L2 F R2 F2 U R'
B2 L2 R2 F R2 U R'
F2 L2 R2 F' R2 U R'
L2 R2 F' R2 U' L' U2
F L2 R2 F' R2 U R
R2 L2 F' R2 U' L' U2
L2 R2 F' U D' F2 R
R2 L2 F' U D' F2 R
L2 R2 F' D' U F2 R
R2 L2 F' D' U F2 R
F' L2 U' L U' B U'
F2 L2 U2 D2 B U' R'
F2 L2 U2 F' B U' R
F L2 U2 D B U' R
F L2 U2 D' B U' R
F2 L2 U2 B F' U' R
F L2 U2 D2 B U' R
F L2 U2 B U' R D
F L2 U2 B U' R D'
F L2 U2 B U' R D2
F L2 U2 B U' D R
F L2 U2 B U' D' R
F L2 U2 B U' D2 R
F L2 U2 B D U' R
F L2 U2 B D' U' R
F L2 U2 B D2 U' R
B' L2 D F U L2 R
B' L2 D F U R L2
B2 L2 D F U R D
B2 L2 D F U R D'
B2 L2 D F U R D2
B2 L2 D F U D R
B2 L2 D F U D' R
B2 L2 D F U D2 R
B2 L2 D F D U R
B2 L2 D F D' U R
B2 L2 D F D2 U R
B2 L2 D F B U R
B2 L2 D F B' U R
B2 L2 D F B2 U R
B2 L2 D B F U R
F L2 D U2 B U' R
B2 L2 D B' F U R
B2 L2 D B2 F U R
B2 L2 D' F U R D
B2 L2 D' F U R D'
B2 L2 D' F U R D2
B2 L2 D' F U D R
B2 L2 D' F U D' R
B2 L2 D' F U D2 R
B2 L2 D' F D U R
B2 L2 D' F D' U R
B2 L2 D' F D2 U R
B2 L2 D' F B U R
B2 L2 D' F B' U R
B2 L2 D' F B2 U R
L2 U L U F B U'
L2 U L U B F U'
B2 L2 D' B F U R
F L2 D' U2 B U' R
B2 L2 D' B' F U R
B2 L2 D' B2 F U R
F2 L2 D2 U2 B U' R'
B2 L2 D2 F U R D
B2 L2 D2 F U R D'
B2 L2 D2 F U R D2
B2 L2 D2 F U D R
B2 L2 D2 F U D' R
B2 L2 D2 F U D2 R
B2 L2 D2 F D U R
B2 L2 D2 F D' U R
B2 L2 D2 F D2 U R
B2 L2 D2 F B U R
B2 L2 D2 F B' U R
B2 L2 D2 F B2 U R
B2 L2 D2 B F U R
F L2 D2 U2 B U' R
B2 L2 D2 B' F U R
B2 L2 D2 B2 F U R
B' L2 F U R D L2
B' L2 F U D L2 R
B' L2 F U D R L2
B' L2 F U2 B2 U' R
B2 L2 F U R2 D R'
B2 L2 F U R2 D' R'
B2 L2 F U R2 D2 R'
B2 L2 F U D R D
B2 L2 F U D R D'
B2 L2 F U D R D2
B2 L2 F U D' R D
B2 L2 F U D' R D'
B2 L2 F U D' R D2
B' L2 F D U L2 R
B' L2 F D U R L2
B2 L2 F U D2 R D
B2 L2 F U D2 R D'
B2 L2 F U D2 R D2
B2 L2 F U B R B'
B2 L2 F U B2 R B2
B2 L2 F U' L U2 R
B2 L2 F U' L' U2 R
B2 L2 F U' L2 U2 R
B2 L2 F D U R D
B2 L2 F D U R D'
B2 L2 F D U R D2
B2 L2 F D B U R
B2 L2 F D B' U R
B2 L2 F D B2 U R
B2 L2 F D' U R D
B2 L2 F D' U R D'
B2 L2 F D' U R D2
B2 L2 F D' B U R
B2 L2 F D' B' U R
B2 L2 F D' B2 U R
B2 L2 F D2 U R D
B2 L2 F D2 U R D'
B2 L2 F D2 U R D2
B2 L2 F D2 B U R
B2 L2 F D2 B' U R
B2 L2 F D2 B2 U R
B2 L2 F B U R D
