D2 R F2 U' F B'
D2 R F2 U' B' F
D2 F2 R U' F' B'
D2 F2 R U' B' F'
U2 B2 L' U F B
U2 B2 L' U B F
B2 L U D L2 F B
B2 L U D L2 B F
B2 L D U L2 F B
B2 L D U L2 B F
B2 L' U D F L2 B
B2 L' U D F B L2
B2 L' U D B F L2
B2 L' U F D L2 B
B2 L' U F D B L2
B2 L' U2 B2 U' F B'
B2 L' U2 B2 U' B' F
B2 L' D U F L2 B
B2 L' D U F B L2
B2 L' D U B F L2
B2 L' D2 F2 U F' B
B2 L' D2 F2 U B F'
U' L' F L D' R2 B'
U' L' F L D' B' R2
B' L2 U F B L U'
B' L2 U B F L U'
D L2 F U' L' U' L
D2 R U' D F' R2 B'
D2 R U' D F' B' R2
D2 R U' D B' F' R2
D' R U' D' R F' B'
D' R U' D' R B' F'
D' R U' D' B' R F'
D2 R U' B' D F' R2
D2 R D U' F' R2 B'
D2 R D U' F' B' R2
D2 R D U' B' F' R2
D' R D' U' R F' B'
D' R D' U' R B' F'
D' R D' U' B' R F'
D2 R F2 R U' F B'
D2 R F2 R U' B' F
D2 R F2 R' U' F B'
D2 R F2 R' U' B' F
D2 R F2 R2 U' F B'
D2 R F2 R2 U' B' F
D2 R F2 U' D F B'
D2 R F2 U' D B' F
D2 R F2 U' D' F B'
D2 R F2 U' D' B' F
D2 R F2 U' D2 F B'
D2 R F2 U' D2 B' F
D2 R F2 U' F D B'
D2 R F2 U' F D' B'
D2 R F2 U' F D2 B'
D2 R F2 U' F B' D
D2 R F2 U' F B' D'
D2 R F2 U' F B' D2
D2 R F2 U' B' D F
D2 R F2 U' B' D' F
D2 R F2 U' B' D2 F
D2 R F2 U' B' F D
D2 R F2 U' B' F D'
D2 R F2 U' B' F D2
D2 R F2 D U' F B'
D2 R F2 D U' B' F
D2 R F2 D' U' F B'
D2 R F2 D' U' B' F
D2 R F2 D2 U' F B'
D2 R F2 D2 U' B' F
U2 R B2 L' U F B
U2 R B2 L' U B F
D2 R' U' D R2 F' B'
D2 R' U' D R2 B' F'
D2 R' D U' R2 F' B'
D2 R' D U' R2 B' F'
D2 R' F2 R2 U' F' B'
D2 R' F2 R2 U' B' F'
D2 R' F2 U B U2 B2
D2 R' F2 U' B' D2 F2
U2 R' B2 L' U F B
U2 R' B2 L' U B F
R' U2 B2 L' U F B
R' U2 B2 L' U B F
R2 U2 B2 L' U F B
R2 U2 B2 L' U B F
R U2 B2 L' U F B
R U2 B2 L' U B F
D2 R2 F2 R' U' F' B'
D2 R2 F2 R' U' B' F'
D' R2 B' U L B U'
U2 R2 B2 L' U F B
U2 R2 B2 L' U B F
B2 U L D L2 F B
B2 U L D L2 B F
B2 U L' D F L2 B
B2 U L' D F B L2
B2 U L' D B F L2
B2 U L' F D L2 B
B2 U L' F D B L2
D U L2 F U' L' U'
U D L2 F U' L' U'
D' U' R D' R F' B'
D' U' R D' R B' F'
U' D' R D' R F' B'
U' D' R D' R B' F'
D' U' R D' B' R F'
U' D' R D' B' R F'
D2 U' R D F' R2 B'
D2 U' R D F' B' R2
D2 U' R D B' F' R2
D2 U' R B' D F' R2
D2 U' R' D R2 F' B'
D2 U' R' D R2 B' F'
U' D' R2 B' U L U'
D' U' R2 B' U L U'
U2 D' B R' U R' B2
U' D' B' R2 U L U'
D' U' B' R2 U L U'
U' D' B' U L U' R2
D' U' B' U L U' R2
D2 U' B' R D F' R2
D2 U' B' R' D R2 F'
R' D2 R F2 U' F B'
R' D2 R F2 U' B' F
R2 D2 R F2 U' F B'
R2 D2 R F2 U' B' F
L' D2 R' F2 U' F' B
L' D2 R' F2 U' B F'
R D2 R F2 U' F B'
R D2 R F2 U' B' F
U' D2 R D F' R2 B'
U' D2 R D F' B' R2
U' D2 R D B' F' R2
U' D2 R B' D F' R2
U' D2 R' D R2 F' B'
U' D2 R' D R2 B' F'
B2 U2 L' B2 U' F B'
B2 U2 L' B2 U' B' F
R' D2 F2 R U' F' B'
R' D2 F2 R U' B' F'
D' U2 B R' U R' B2
R2 D2 F2 R U' F' B'
R2 D2 F2 R U' B' F'
U' D2 B' R D F' R2
R D2 F2 R U' F' B'
R D2 F2 R U' B' F'
U' D2 B' R' D R2 F'
D F L' U L' F U2
D2 F R F U' F2 B'
D2 F R F U' B' F2
F' U2 B2 L' U F B
F' U2 B2 L' U B F
F2 U2 B2 L' U F B
F2 U2 B2 L' U B F
F U2 B2 L' U F B
F U2 B2 L' U B F
D2 F' R U' F' B' R'
D2 F' R U' B' F' R'
B D' R2 F' B' L U'
B D' R2 B' L F' U'
B D' R2 B' F' L U'
D2 F2 R U' D F' B'
D2 F2 R U' D B' F'
D2 F2 R U' D' F' B'
D2 F2 R U' D' B' F'
D2 F2 R U' D2 F' B'
D2 F2 R U' D2 B' F'
D2 F2 R U' F' D B'
D2 F2 R U' F' D' B'
D2 F2 R U' F' D2 B'
D2 F2 R U' F' B' D
D2 F2 R U' F' B' D'
D2 F2 R U' F' B' D2
D2 F2 R U' B' D F'
D2 F2 R U' B' D' F'
D2 F2 R U' B' D2 F'
D2 F2 R U' B' F' D
D2 F2 R U' B' F' D'
D2 F2 R U' B' F' D2
D2 F2 R D U' F' B'
D2 F2 R D U' B' F'
D2 F2 R D' U' F' B'
D2 F2 R D' U' B' F'
D2 F2 R D2 U' F' B'
D2 F2 R D2 U' B' F'
D2 F2 R' U B U2 B2
D2 F2 R' U' B' D2 F2
D2 F2 U' R F' R' B'
D2 F2 U' B' R F' R'
D2 F2 U2 R U F' B'
D2 F2 U2 R U B' F'
F' D2 R F2 U' F B'
F' D2 R F2 U' B' F
F2 D2 R F2 U' F B'
F2 D2 R F2 U' B' F
F D2 R F2 U' F B'
F D2 R F2 U' B' F
U2 B L' B U F B
U2 B L' B U B F
F' D2 F2 R U' F' B'
F' D2 F2 R U' B' F'
F2 D2 F2 R U' F' B'
F2 D2 F2 R U' B' F'
F D2 F2 R U' F' B'
F D2 F2 R U' B' F'
D' B' L B U' R2 B'
D' B' L B U' B' R2
D' B' U L B U' R2
U' B2 L' U F L B
U2 B2 L U B D2 F2
U2 B2 L U' B' U2 B2
U2 B2 L' U D F B
U2 B2 L' U D B F
U2 B2 L' U D' F B
U2 B2 L' U D' B F
U2 B2 L' U D2 F B
U2 B2 L' U D2 B F
U2 B2 L' U F D B
U2 B2 L' U F D' B
U2 B2 L' U F D2 B
U2 B2 L' U F B D
U2 B2 L' U F B D'
U2 B2 L' U F B D2
U2 B2 L' U B D F
U2 B2 L' U B D' F
U2 B2 L' U B D2 F
U2 B2 L' U B F D
U2 B2 L' U B F D'
U2 B2 L' U B F D2
U2 B2 L' D U F B
U2 B2 L' D U B F
U2 B2 L' D' U F B
U2 B2 L' D' U B F
U2 B2 L' D2 U F B
U2 B2 L' D2 U B F
U2 B2 U L' F L B
U2 B2 U B L' F L
U2 B2 U2 L' U' F B
U2 B2 U2 L' U' B F
