U' F R' U R
B' L2 B' L U' B2
U' R F R2 U R
U2 R F R2 U B
U2 R F R2 U B
R2 U' R F U R'
R U' R2 F U R2
R U' F R2 U R2
U2 R' F U' F' U2
R U2 F R2 U B
F R2 B R U B'
U' D F R' U R
U' D' F R' U R
D2 U' F R' U R
D' U' F R' U R
D U' F R' U R
R D2 L2 B' U' B
U' D2 F R' U R
B U2 F R U B'
U' F R' U R D
U' F R' U R D'
U' F R' U R D2
U' F R' U D R
U' F R' U D' R
U' F R' U D2 R
U' F R' D U R
U' F R' D' U R
U' F R' D2 U R
U' F R' B U R
U' F R' B' U R
U' F R' B2 U R
R F R2 B U B'
U' F D R' U R
U' F D' R' U R
U' F D2 R' U R
L2 B2 L B U' B
L B2 L B' U' B'
F L R2 B R U B'
U' L U' L' R' F U
U' L U' L' F R' U
U' L U' R' L' F U
B2 L U' B' D' B' L
B2 L U2 L' F U B2
L2 R D' B' U' F2 B
L2 R D' B' U' B F2
L2 R D2 B' L2 U' B
B2 L D' R2 B' U' L
B2 L D' B' R2 U' L
L2 R B' U' D' F2 B
L2 R B' U' D' B F2
L2 R B' U' B D' F2
L2 R B' D' U' F2 B
L2 R B' D' U' B F2
L2 R B' D2 L2 U' B
B' L B' L B' U' B'
B2 L B' U' D' B' L
B2 L B' D' U' B' L
D2 L B2 L B' U' B'
D' L B2 L B' U' B'
D L B2 L B' U' B'
F L' R2 B R U B'
R L2 D' B' U' F2 B
R L2 D' B' U' B F2
U2 L2 R' U2 B' U' B
R L2 D2 B' L2 U' B
F' L2 R' F2 B' U B
F' L2 R' B' F2 U B
F L2 R2 B R U B'
U' L2 U' L2 R' F U
U' L2 U' L2 F R' U
F' L2 U' R' F2 B' U
U' L2 U' R' L2 F U
F' L2 U' R' B' F2 U
F' L2 U' F2 R' B' U
R L2 B' U' D' F2 B
R L2 B' U' D' B F2
R L2 B' U' B D' F2
R L2 B' D' U' F2 B
R L2 B' D' U' B F2
R L2 B' D2 L2 U' B
B2 L2 D' R2 B' L' U'
B2 L2 D' B' L' R2 U'
B2 L2 D' B' R2 L' U'
F' L2 F2 R' B' U B
B2 L2 B L' B2 U' B'
B' L2 B' L R U' B2
B' L2 B' L R' U' B2
B' L2 B' L R2 U' B2
B' L2 B' L U' B2 D
B' L2 B' L U' B2 D'
B' L2 B' L U' B2 D2
B' L2 B' L D' R2 U'
B' L2 B' R L U' B2
B' L2 B' R' L U' B2
B' L2 B' R2 L U' B2
B' L2 B' D' L R2 U'
B' L2 B' D' R2 L U'
D2 L2 B2 L B U' B
D' L2 B2 L B U' B
B2 L2 B2 L' B U' B'
D L2 B2 L B U' B
U2 R U R2 F U R2
U2 R U F R2 U R2
D2 R U' R2 F U R2
D' R U' R2 F U R2
D2 R U' F R2 U R2
D' R U' F R2 U R2
F' R U' F2 R2 B U
D R U' R2 F U R2
D R U' F R2 U R2
D2 R U2 F R2 U B
D' R U2 F R2 U B
D R U2 F R2 U B
B R U2 F R U B'
U' R D' F U R' F
U' R D' F U F R'
D2 R D2 L2 B' U' B
D' R D2 L2 B' U' B
D R D2 L2 B' U' B
U2 R F L R2 U B
D2 R F R2 B U B'
D' R F R2 B U B'
U2 R F L' R2 U B
U' R F R2 U R D
U' R F R2 U R D'
U' R F R2 U R D2
U' R F R2 U D R
U' R F R2 U D' R
U' R F R2 U D2 R
U' R F R2 D U R
U' R F R2 D' U R
U' R F R2 D2 U R
U2 R F L2 R2 U B
U' R F R2 B U R
U' R F R2 B' U R
U' R F R2 B2 U R
U' R F U D' R' F2
U' R F U D' F2 R'
U2 R F R2 L U B
U2 R F R2 L' U B
U2 R F R2 L2 U B
U2 R F R2 U D B
U2 R F R2 U D' B
U2 R F R2 U D2 B
U2 R F R2 U B D
U2 R F R2 U B D'
U2 R F R2 U B D2
U2 R F R2 D U B
U2 R F R2 D' U B
U2 R F R2 D2 U B
U' R F D' U R' F2
U' R F D' U F2 R'
D R F R2 B U B'
F' R F2 R2 B U B'
R2 U' R D F U R'
R2 U' R D' F U R'
R2 U' R D2 F U R'
R2 U' R F U R' D
R2 U' R F U R' D'
R2 U' R F U R' D2
R2 U' R F U D R'
R2 U' R F U D' R'
R2 U' R F U D2 R'
R2 U' R F D U R'
R2 U' R F D' U R'
R2 U' R F D2 U R'
L2 U' R' U2 B' U' R
R2 U' R2 F R' U R'
R U' R2 D F B2 U
R U' R2 D B2 F U
R U' R2 F U R2 D
R U' R2 F U R2 D'
R U' R2 F U R2 D2
R U' R2 F D B2 U
R U' R2 F B U R2
R U' R2 F B' U R2
R U' R2 F B2 U R2
R U' R2 B F U R2
R2 U' D R F U R'
R U' R2 B' F U R2
R U' R2 B2 F U R2
R2 U' D' R F U R'
R2 U' D2 R F U R'
U2 R' L2 U2 B' U' B
L' U' F' R' U L' R
L' U' F' R' U R L'
R U' F R2 U R2 D
R U' F R2 U R2 D'
R U' F R2 U R2 D2
R U' F R2 D B2 U
R U' F R2 B U R2
R U' F R2 B' U R2
R U' F R2 B2 U R2
F' R' L2 F2 B' U B
F' R' L2 B' F2 U B
R U' F B R2 U R2
U' R' U R U' F U
R U' F B' R2 U R2
R U' F B2 R2 U R2
R U' F' R2 F2 U R2
R2 U' B R F U R'
R U' B R2 F U R2
B R' U2 F R U B'
R U' B F R2 U R2
R2 U' B' R F U R'
R U' B' R2 F U R2
U2 R' D F U' F' U2
R U' B' F R2 U R2
R2 U' B2 R F U R'
F R' D B U R' B'
R U' B2 R2 F U R2
U2 R' D' F U' F' U2
R U' B2 F R2 U R2
F R' D2 L B' U B
U2 R' D2 F U' F' U2
U2 R' F L U' F' U2
U2 R' F L' U' F' U2
U' R' F U F' R F
U2 R' F L2 U' F' U2
U' R' F U2 F' U' R
U2 R' F U R2 B R2
U' R' F D2 B U R'
U2 R' F U' D F' U2
U2 R' F U' D' F' U2
U2 R' F U' D2 F' U2
U2 R' F U' F' U2 D
U2 R' F U' F' U2 D'
U2 R' F U' F' U2 D2
U2 R' F U' F' D U2
U2 R' F U' F' D' U2
U2 R' F U' F' D2 U2
U2 R' F U2 R2 U' B
U2 R' F D U' F' U2
U2 R' F D' U' F' U2
U2 R' F D2 U' F' U2
U2 R' F' L2 F2 U B'
U2 R' F' U D' L2 B'
U2 R' F' D' U L2 B'
R2 U2 R F U' F' U2
U2 R' F2 D' L2 F' U
U2 R' F2 D' F' L2 U
L' U2 R' F' L2 U B'
U2 R' F2 D2 F' U B2
L' U2 R' F' U' F U2
L2 U2 R' U2 B' U' B
R2 U2 R' F R2 U B
R U2 R2 F U' F' U2
F R' B' U D B R'
F R' B' D U B R'
R' U2 F U' F' U2 F
F R2 L B R U B'
R U2 F L R2 U B
R U2 F L' R2 U B
R U2 F L2 R2 U B
R U2 F R2 L U B
R U2 F R2 L' U B
R U2 F R2 L2 U B
F R2 L' B R U B'
R U2 F R2 U D B
R U2 F R2 U D' B
R U2 F R2 U D2 B
