B L2 F2 R U B2
B' R D' L2 R2 F2
B' R D' L2 F2 R2
B' R D' R2 L2 F2
B' R D' R2 F2 L2
B' R D' F2 L2 R2
B' R D' F2 R2 L2
B' R' F2 B2 U B2
B' R' B2 F2 U B2
B' U' R' F2 B2 U
B' U' R' B2 F2 U
B' U' F2 R' B2 U
F2 B U2 L U' B2
F2 B' R' B2 U B2
B' F2 R' B2 U B2
B F2 U2 L U' B2
B' L R D' L2 R2 F2
B' L R D' L2 F2 R2
B' L R D' R2 L2 F2
B' L R D' R2 F2 L2
B' L R D' F2 L2 R2
B' L R D' F2 R2 L2
B' L R' F2 B2 U B2
B' L R' B2 F2 U B2
B' L U' R' F2 B2 U
B' L U' R' B2 F2 U
B' L U' F2 R' B2 U
B' L F2 R' B2 U B2
B L F2 U B2 D2 F2
B' L' R D' L2 R2 F2
B' L' R D' L2 F2 R2
B' L' R D' R2 L2 F2
B' L' R D' R2 F2 L2
B' L' R D' F2 L2 R2
B' L' R D' F2 R2 L2
B' L' R' F2 B2 U B2
B' L' R' B2 F2 U B2
B' L' U' R' F2 B2 U
B' L' U' R' B2 F2 U
B' L' U' F2 R' B2 U
B' L' F2 R' B2 U B2
B L' F2 U B2 D F2
B L' F2 U2 L2 U' B2
B L' F2 D L2 U F2
F2 L' B U2 L U' B'
B' L2 R D' L2 R2 F2
B' L2 R D' L2 F2 R2
B' L2 R D' R2 L2 F2
B' L2 R D' R2 F2 L2
B' L2 R D' F2 L2 R2
B' L2 R D' F2 R2 L2
B L2 R F2 R U B2
B' L2 R' F2 B2 U B2
B' L2 R' B2 F2 U B2
B L2 R' F2 R U B2
B L2 R2 F2 R U B2
B' L2 U' R' F2 B2 U
B' L2 U' R' B2 F2 U
B' L2 U' F2 R' B2 U
B' L2 F2 R' B2 U B2
B L2 F2 L R U B2
B L2 F2 L' R U B2
B L2 F2 L2 R U B2
B L2 F2 R L U B2
B L2 F2 R L' U B2
B L2 F2 R L2 U B2
B L2 F2 R U B2 D
B L2 F2 R U B2 D'
B L2 F2 R U B2 D2
B L2 F2 R D L2 U
B L2 F2 D L2 R U
B L2 F2 D R L2 U
B' R L D' L2 R2 F2
B' R L D' L2 F2 R2
B' R L D' R2 L2 F2
B' R L D' R2 F2 L2
B' R L D' F2 L2 R2
B' R L D' F2 R2 L2
B' R L' D' L2 R2 F2
B' R L' D' L2 F2 R2
B' R L' D' R2 L2 F2
B' R L' D' R2 F2 L2
B' R L' D' F2 L2 R2
B' R L' D' F2 R2 L2
B' R L2 D' L2 R2 F2
B' R L2 D' L2 F2 R2
B' R L2 D' R2 L2 F2
B' R L2 D' R2 F2 L2
B' R L2 D' F2 L2 R2
B' R L2 D' F2 R2 L2
B R L2 F2 R U B2
B' R U' R2 F2 B2 U
B' R U' R2 B2 F2 U
B' R U' F2 R2 B2 U
B' R U' F2 B2 R2 U
B' R U' B2 R2 F2 U
B' R U' B2 F2 R2 U
B' R D' L R2 F2 L
B' R D' L F2 L R2
B' R D' L F2 R2 L
B' R D' L2 R' F2 R'
B' R D' L2 R2 F2 D
B' R D' L2 R2 F2 D'
B' R D' L2 R2 F2 D2
B' R D' L2 F R2 F
B' R D' L2 F2 R2 D
B' R D' L2 F2 R2 D'
B' R D' L2 F2 R2 D2
B' R D' R' L2 F2 R'
B' R D' R' F2 L2 R'
B' R D' R' F2 R' L2
B' R D' R2 L F2 L
B' R D' R2 L2 F2 D
B' R D' R2 L2 F2 D'
B' R D' R2 L2 F2 D2
B' R D' R2 F' L2 F'
B' R D' R2 F2 L2 D
B' R D' R2 F2 L2 D'
B' R D' R2 F2 L2 D2
B' R D' F R2 F L2
B' R D' F' L2 F' R2
B' R D' F2 L2 R2 D
B' R D' F2 L2 R2 D'
B' R D' F2 L2 R2 D2
B' R D' F2 R2 L2 D
B' R D' F2 R2 L2 D'
B' R D' F2 R2 L2 D2
B' R F2 R2 B2 U B2
B' R F2 B2 R2 U B2
B R F2 U2 L U' B2
F2 R B' R' B U B'
B' R B2 R2 F2 U B2
B' R B2 F2 R2 U B2
B' R' L F2 B2 U B2
B' R' L B2 F2 U B2
B' R' L' F2 B2 U B2
B' R' L' B2 F2 U B2
B' R' L2 F2 B2 U B2
B' R' L2 B2 F2 U B2
B R' L2 F2 R U B2
B' R' D' L2 R2 D' F2
B' R' D' R2 L2 D' F2
B' R' F2 L B2 U B2
B' R' F2 L' B2 U B2
B' R' F2 L2 B2 U B2
B' R' F2 B2 L U B2
B' R' F2 B2 L' U B2
B' R' F2 B2 L2 U B2
B' R' F2 B2 U B2 D
B' R' F2 B2 U B2 D'
B' R' F2 B2 U B2 D2
B' R' F2 B2 D L2 U
B R' F2 U2 L U' B2
U R' F2 U F R B'
U R' F2 U F B' R
U R' F2 U B' F R
B' R' B2 L F2 U B2
B' R' B2 L' F2 U B2
B' R' B2 L2 F2 U B2
B' R' B2 U B2 D' L2
B' R' B2 F2 L U B2
B' R' B2 F2 L' U B2
B' R' B2 F2 L2 U B2
