F' L' U' R' U2 F' R2
F' L' B2 U L R F
F' L' B2 U R L F
U' R U D2 L2 B R'
U' R U D2 B L2 R'
U' R U D2 B R' L2
U' R U' R2 F' U2 R
U' R D2 U L2 B R'
U' R D2 U B L2 R'
U' R D2 U B R' L2
B2 R F' L' U L2 R
B2 R F' L' U R L2
R U' R' F' R' U2 R2
R U' F' R2 U2 R' B
F R' D' L' F2 U2 F'
U' R' F' U R2 U R'
U' R' F' U2 D' R F2
U' R' F' D B2 U2 R
U' R' F' D' U2 R F2
R F D' F2 L' U R
R F' L' U D2 L2 R
R F' L' U D2 R L2
R F' L' U' R2 U2 R'
R F' L' D2 U L2 R
R F' L' D2 U R L2
R' F' U L' R2 U R'
R' F' U R2 L' U R'
R F' D2 L' U L' R
R F' D2 L' U R L'
