B2 L2 B' L' R' U'
B2 L2 B' R' L' U'
B R' U2 F R U
U2 R' D2 F L' U
U2 D' R' F U B
U2 D' F R' U B
D2 U2 R' F L' U
U2 D2 R' F L' U
D' U2 R' F U B
U2 D2 F L' R' U
D2 U2 F L' R' U
U2 D2 F R' L' U
D2 U2 F R' L' U
D' U2 F R' U B
U2 F D' R' U B
L B2 L B' R' U'
B L R' B L B' U'
B2 L U' D' L' B' L
B2 L U2 F' L' F U
B2 L D' U' L' B' L
B2 L D' B' R' U' L
B L D2 R' B L U'
B2 L D2 B' R' B U'
L2 R B R' B2 L U'
L2 R B' U2 L R2 U
L2 R B' U2 R2 L U
B L B L B' R' U'
B2 L B' D2 R' B U'
D L B2 L B' U' B2
D' L' U2 R' F' U B
U2 L' D' R' U B L
U2 L' D' R' U B L
B2 L2 R B' L' R' U'
B2 L2 R B' R' L' U'
F' L2 R' F2 B' L U
F' L2 R' B' L F2 U
F' L2 R' B' F2 L U
B2 L2 R' B' L' R' U'
B2 L2 R' B' R' L' U'
B L2 R' B L B2 U'
B L2 R' B' U2 R' U
B2 L2 R2 B' L' R' U'
B2 L2 R2 B' R' L' U'
R L2 B R' B2 L U'
L2 R2 B' U2 L R U
L2 R2 B' U2 R L U
R2 L2 B' U2 L R U
R2 L2 B' U2 R L U
R L2 B' U2 L R2 U
R L2 B' U2 R2 L U
B2 L2 D B' L' R' U'
B2 L2 D B' R' L' U'
B2 L2 D' B' L' R' U'
B2 L2 D' B' R' L' U'
B2 L2 D2 B' L' R' U'
B2 L2 D2 B' R' L' U'
F' L2 F2 R' B' L U
B' L2 B' L U' D' B2
B' L2 B' L U2 L2 U
B' L2 B' L D' U' B2
B' L2 B' L D2 R2 U'
B2 L2 B' L' R' U' D
B2 L2 B' L' R' U' D'
B2 L2 B' L' R' U' D2
B2 L2 B' L' R' D U'
B2 L2 B' L' R' D' U'
B2 L2 B' L' R' D2 U'
B2 L2 B' L' D R' U'
B2 L2 B' L' D' R' U'
B2 L2 B' L' D2 R' U'
B2 L2 B' R' L' U' D
B2 L2 B' R' L' U' D'
B2 L2 B' R' L' U' D2
B2 L2 B' R' L' D U'
B2 L2 B' R' L' D' U'
B2 L2 B' R' L' D2 U'
B2 L2 B' R' D L' U'
B2 L2 B' R' D' L' U'
B2 L2 B' R' D2 L' U'
B2 L2 B' D L' R' U'
B2 L2 B' D R' L' U'
B2 L2 B' D' L' R' U'
B2 L2 B' D' R' L' U'
B2 L2 B' D2 L' R' U'
B2 L2 B' D2 R' L' U'
