B' R2 U' R F'
B' L R2 U' R F'
B' L' R2 U' R F'
B' L2 R2 U' R F'
B' R2 L U' R F'
B' R2 L' U' R F'
B' R2 L2 U' R F'
B' R2 U' R D F'
B' R2 U' R D' F'
B' R2 U' R D2 F'
B' R2 U' R F' D
B' R2 U' R F' D'
B' R2 U' R F' D2
R2 D B' L U' R'
B D B2 L2 R' F'
B D B2 R' L2 F'
B D B2 R' F' L2
B' F R2 U' R F'
R2 B' U' R F' R2
F' B' R2 U' R F'
B' F' R2 U' R F'
F2 B' R2 U' R F'
F B' R2 U' R F'
B' F2 R2 U' R F'
B' L R2 U' R D F'
B' L R2 U' R D' F'
B' L R2 U' R D2 F'
B' L R2 U' R F' D
B' L R2 U' R F' D'
B' L R2 U' R F' D2
B' L F R2 U' R F'
B' L F' R2 U' R F'
B' L F2 R2 U' R F'
B2 L B R2 U' R F'
B' L' R2 U' R D F'
B' L' R2 U' R D' F'
B' L' R2 U' R D2 F'
B' L' R2 U' R F' D
B' L' R2 U' R F' D'
B' L' R2 U' R F' D2
B' L' F R2 U' R F'
B' L' F' R2 U' R F'
B' L' F2 R2 U' R F'
B2 L' B R2 U' R F'
L2 R2 U2 F U R F'
R2 L2 U2 F U R F'
B' L2 R2 U' R D F'
B' L2 R2 U' R D' F'
B' L2 R2 U' R D2 F'
B' L2 R2 U' R F' D
B' L2 R2 U' R F' D'
B' L2 R2 U' R F' D2
B L2 D L2 B2 R' F'
B' L2 F R2 U' R F'
B' L2 F' R2 U' R F'
B' L2 F2 R2 U' R F'
B2 L2 B R2 U' R F'
B' R' D R' U' R F'
B' R' D' R' U' R F'
B' R' D2 R' U' R F'
B' R' F R' U' R F2
B' R' F2 R' U' R F
U R' F' R' B' L' U'
D R' B' U' F' R' B'
B' R2 L U' R D F'
B' R2 L U' R D' F'
B' R2 L U' R D2 F'
B' R2 L U' R F' D
B' R2 L U' R F' D'
B' R2 L U' R F' D2
B' R2 L' U' R D F'
B' R2 L' U' R D' F'
B' R2 L' U' R D2 F'
B' R2 L' U' R F' D
B' R2 L' U' R F' D'
B' R2 L' U' R F' D2
B' R2 L2 U' R D F'
B' R2 L2 U' R D' F'
B' R2 L2 U' R D2 F'
B' R2 L2 U' R F' D
B' R2 L2 U' R F' D'
B' R2 L2 U' R F' D2
B' R2 U L U2 R F'
B' R2 U L' U2 R F'
B' R2 U L2 U2 R F'
B' R2 U B U2 R F'
B' R2 U B' U2 R F'
B' R2 U B2 U2 R F'
B' R2 U' L' R F' L
B' R2 U' L2 R F' L2
B' R2 U' R L' F' L
B' R2 U' R L2 F' L2
B' R2 U' R D F' D
B' R2 U' R D F' D'
B' R2 U' R D F' D2
B' R2 U' R D' F' D
B' R2 U' R D' F' D'
B' R2 U' R D' F' D2
B' R2 U' R D2 F' D
B' R2 U' R D2 F' D'
B' R2 U' R D2 F' D2
B' R2 U' R F2 D F
B' R2 U' R F2 D' F
B' R2 U' R F2 D2 F
B' R2 U' R' F R2 F'
