L B2 R2 F' U' B
D' L U R2 U2 B R'
D L U F' U2 L R
D L U F' U2 R L
R2 L B2 R' U' B' R'
R2 L B2 R2 F' U' B'
R2 L B2 U' B' D' R2
R2 L B2 U2 B U B2
U' L B2 R2 F' U' B
U2 L B2 R2 F' U' B
F' L B2 U2 B U B'
U L B2 R2 F' U' B
F L B2 D R2 F' U'
R2 L' F L2 B2 U' B'
F' L' U' F L2 B2 U'
F' L' U' F B2 L2 U'
F' L' U' B2 F L2 U'
F L' F L2 B2 U' B
F L' F B2 L2 U' B'
F L' B2 F L2 U' B'
L' R2 F L2 B2 U' B'
L R2 B2 R' U' B' R'
L R2 B2 R2 F' U' B'
L R2 B2 U' B' D' R2
L R2 B2 U2 B U B2
D' R2 U' L U' B R'
B2 R2 F2 L' F U' B
L' D F U' F L2 B'
F' U' L B2 U2 B U
F' U' L' F L2 B2 U'
F' U' L' F B2 L2 U'
F' U' L' B2 F L2 U'
L' F L2 D R2 U' L2
L' F L2 B2 U F2 U2
L' F L2 B2 U' D2 B2
L' F L2 B2 D R2 U'
L' F L2 B2 D2 U' B2
L' F D R2 U' L2 F2
L' F D R2 U' F2 L2
L' F B2 L2 U F2 U2
L' F B2 L2 U' D2 B2
L' F B2 L2 D R2 U'
L' F B2 L2 D2 U' B2
L' F B2 D R2 U' F2
L F B2 D R2 F' U'
L' F' U' L2 F2 B2 U'
L' F' U' L2 B2 F2 U'
L' F' U' F2 L2 B2 U'
L' F' U' F2 B2 L2 U'
L' F' U' B2 L2 F2 U'
L' F' U' B2 F2 L2 U'
D F' U' L U' L R
D F' U' L U' R L
L' F' U2 D L2 R2 F2
L' F' U2 D L2 F2 R2
L' F' U2 D R2 L2 F2
L' F' U2 D R2 F2 L2
L' F' U2 D F2 L2 R2
L' F' U2 D F2 R2 L2
L' F' D U2 L2 R2 F2
L' F' D U2 L2 F2 R2
L' F' D U2 R2 L2 F2
L' F' D U2 R2 F2 L2
L' F' D U2 F2 L2 R2
L' F' D U2 F2 R2 L2
L' F' D' L2 R2 B2 U2
L' F' D' L2 B2 R2 U2
L' F' D' R2 L2 B2 U2
L' F' D' R2 B2 L2 U2
L' F' D' B2 L2 R2 U2
L' F' D' B2 R2 L2 U2
L F' B2 U2 B U B'
L' F2 L2 F' B2 U' B
L' F2 L2 B2 F' U' B
L' F2 B2 L2 F' U' B'
L B D' B U' R2 B
L' B2 R2 F L2 U' B
L B2 R' U' B' R' B
L B2 R2 D F' U' B
L B2 R2 D' F' U' B
L B2 R2 D2 F' U' B
L B2 R2 F' U' D B
L B2 R2 F' U' D' B
L B2 R2 F' U' D2 B
L B2 R2 F' U' B D
L B2 R2 F' U' B D'
L B2 R2 F' U' B D2
L B2 R2 F' D U' B
L B2 R2 F' D' U' B
L B2 R2 F' D2 U' B
L B2 U F' U B U
L B2 U' B' D' R2 B
L B2 U2 B U' F' U2
L B2 D R2 F' U' B
L' B2 F L2 U F2 U2
L' B2 F L2 U' D2 B2
L' B2 F L2 D R2 U'
L' B2 F L2 D2 U' B2
L B2 D' R2 F' U' B
L' B2 F D R2 U' F2
L B2 D2 R2 F' U' B
L' B2 F2 L2 F' U' B'
L B2 F D R2 F' U'
L B2 F' U2 B U B'
