B2 L F2 U R F' L'
R' U F' U' F B U2
R' U F' U' B F U2
R' U B U F' B' U
R' U B U B' F' U
R2 U' R' B L R2 U'
R2 U' R' B R2 L U'
R' U' R2 B U' F' B'
R' U' R2 B U' B' F'
R U' D B U' F' B
R U' D B U' B F'
U2 R' U B U2 L R
U2 R' U B U2 R L
U2 R' U' R2 F' L' R'
U2 R' U' R2 F' R' L'
D' R' U2 F' R U R'
R U' B R2 U B U2
R U' B U' D F' B2
R U' B U' D B2 F'
R U' B U' F' D B2
R U' B D U' F' B2
R U' B D U' B2 F'
B R' B U L F' U
B R' B U F' L U
U' R' B' U R' B2 U2
U' R' B' U B2 U2 L
U' R' B2 U B' U2 L
R' U2 F' R2 U F' R2
R U2 F' U B R2 U'
R U2 F' B' D L2 B2
R U2 F' B' D B2 L2
R U2 B R2 U' R2 F'
R U2 B' D L2 F' B2
R U2 B' D L2 B2 F'
R U2 B' D F' L2 B2
R U2 B' D F' B2 L2
R U2 B' D B2 L2 F'
R U2 B' D B2 F' L2
R U2 B' F' D L2 B2
R U2 B' F' D B2 L2
R D U' B U' F' B
R D U' B U' B F'
R D' F2 U' B U' F
R F U' B R2 U' F2
R F2 U' B R2 U' F
R' B R2 U' B R2 U'
R' B U F' L2 U B'
R' B U F' U' F U2
R' B U' R2 B U' B'
R B' U2 D L2 F' B2
R B' U2 D L2 B2 F'
R B' U2 D F' L2 B2
R B' U2 D F' B2 L2
R B' U2 D B2 L2 F'
R B' U2 D B2 F' L2
R B' U2 F' D L2 B2
R B' U2 F' D B2 L2
R B' D U2 L2 F' B2
R B' D U2 L2 B2 F'
R B' D U2 F' L2 B2
R B' D U2 F' B2 L2
R B' D U2 B2 L2 F'
R B' D U2 B2 F' L2
R B' D' R2 F2 B U2
R B' D' R2 B F2 U2
R B' D' F2 R2 U2 F
