B L' R' F L' U'
B L' F L' R' U'
B L' F R' L' U'
F L' F B R' U'
F L' B R' F U'
F L' B F R' U'
B R' L' F L' U'
B R' F L' F U'
L' F L' B R' U'
L' F B L' R' U'
L' F B R' L' U'
L' B R' F L' U'
L' B F L' R' U'
L' B F R' L' U'
B F L' R' F U'
F B L' R' F U'
B F L' F R' U'
F B L' F R' U'
B F R' L' F U'
F B R' L' F U'
R2 L F' R B' L U
R2 L F' B' L R U
R2 L F' B' R L U
R2 L B' L F' R U
R2 L B' F' L R U
R2 L B' F' R L U
B L' R F L' R2 U'
B L' R F R2 L' U'
B L' R' F L' U' D
B L' R' F L' U' D'
B L' R' F L' U' D2
B L' R' F L' D U'
B L' R' F L' D' U'
B L' R' F L' D2 U'
B L' R' F D L' U'
B L' R' F D' L' U'
B L' R' F D2 L' U'
U' L' F L' B R' U'
U2 L' F L' B R' U'
B L' F L' R' U' D
B L' F L' R' U' D'
B L' F L' R' U' D2
B L' F L' R' D U'
B L' F L' R' D' U'
B L' F L' R' D2 U'
B L' F L' D R' U'
B L' F L' D' R' U'
B L' F L' D2 R' U'
B L' F R' L' U' D
B L' F R' L' U' D'
B L' F R' L' U' D2
B L' F R' L' D U'
B L' F R' L' D' U'
B L' F R' L' D2 U'
U L' F L' B R' U'
B L' F R' D L' U'
B L' F R' D' L' U'
B L' F R' D2 L' U'
U' L' F B L' R' U'
U' L' F B R' L' U'
B L' F D L' R' U'
B L' F D R' L' U'
U2 L' F B L' R' U'
B L' F D' L' R' U'
U2 L' F B R' L' U'
B L' F D' R' L' U'
B L' F D2 L' R' U'
B L' F D2 R' L' U'
F L' F B R' U' D
F L' F B R' U' D'
F L' F B R' U' D2
F L' F B R' D U'
F L' F B R' D' U'
F L' F B R' D2 U'
F L' F B D R' U'
F L' F B D' R' U'
F L' F B D2 R' U'
U L' F B L' R' U'
U L' F B R' L' U'
F L' F' B R' F2 U'
U' L' B R' F L' U'
D' L' B U' R' F B
D' L' B U' R' B F
U2 L' B R' F L' U'
D' L' B U' F R' B
F L' B R F R2 U'
F L' B R' D F U'
F L' B R' D' F U'
F L' B R' D2 F U'
F L' B R' F U' D
F L' B R' F U' D'
F L' B R' F U' D2
F L' B R' F D U'
F L' B R' F D' U'
F L' B R' F D2 U'
U L' B R' F L' U'
U' L' B F L' R' U'
U' L' B F R' L' U'
U2 L' B F L' R' U'
U2 L' B F R' L' U'
F L' B D R' F U'
F L' B D F R' U'
F L' B D' R' F U'
F L' B D' F R' U'
F L' B D2 R' F U'
F L' B D2 F R' U'
F L' B F R' U' D
F L' B F R' U' D'
F L' B F R' U' D2
F L' B F R' D U'
F L' B F R' D' U'
F L' B F R' D2 U'
F L' B F D R' U'
F L' B F D' R' U'
F L' B F D2 R' U'
F L' B F' R' F2 U'
U L' B F L' R' U'
U L' B F R' L' U'
L R2 F' R B' L U
L R2 F' B' L R U
L R2 F' B' R L U
L R2 B' L F' R U
L R2 B' F' L R U
L R2 B' F' R L U
L' U F L' B R' U'
B R L' F L' R2 U'
B R L' F R2 L' U'
L' U F B L' R' U'
L' U F B R' L' U'
L' U B R' F L' U'
L' U B F L' R' U'
L' U B F R' L' U'
B R F L' R2 F U'
B R F L' F R2 U'
B R F R2 L' F U'
L' U' F L' B R' U'
L' U' F B L' R' U'
L' U' F B R' L' U'
B R' L' F L' U' D
B R' L' F L' U' D'
B R' L' F L' U' D2
B R' L' F L' D U'
B R' L' F L' D' U'
B R' L' F L' D2 U'
B R' L' F D L' U'
B R' L' F D' L' U'
B R' L' F D2 L' U'
L' U' B R' F L' U'
B R' U' D R F' R
B R' U' D F' R F'
L' U' B F L' R' U'
L' U' B F R' L' U'
B R' D U' R F' R
B R' D U' F' R F'
B R' D F' U' R F'
B R' F L' D F U'
B R' F L' D' F U'
B R' F L' D2 F U'
B R' F L' F U' D
B R' F L' F U' D'
B R' F L' F U' D2
B R' F L' F D U'
B R' F L' F D' U'
B R' F L' F D2 U'
L' U2 F L' B R' U'
L' U2 F B L' R' U'
L' U2 F B R' L' U'
L' U2 B R' F L' U'
L' U2 B F L' R' U'
L' U2 B F R' L' U'
B R2 D R U' F' R
F U L' F B R' U'
F U L' B R' F U'
F U L' B F R' U'
F U B L' R' F U'
F U B L' F R' U'
F U B R' L' F U'
F U' L' F B R' U'
F U' L' B R' F U'
F U' L' B F R' U'
F U' B L' R' F U'
F U' B L' F R' U'
F U' B R' L' F U'
F U2 L' F B R' U'
F U2 L' B R' F U'
F U2 L' B F R' U'
L' F L B L2 R' U'
L' F L B R' L2 U'
U' F L' F B R' U'
U' F L' B R' F U'
U' F L' B F R' U'
