F L' R2 U' R' F
F L' R2 U' F R'
R2 L' F' U' F2 R
R2 L' F2 U' F' R
L' R2 F' U' F2 R
L' R2 F2 U' F' R
F' R2 U L' U2 F
F R2 L' U' R' F
F R2 L' U' F R'
R2 D F L' U' R
R2 D2 F U' R F'
R2 F L' U' R F
D F L' U' R B2
D F L' U' B2 R
R2 F U' D2 R F'
R2 F D2 U' R F'
L' F' R2 U' F2 R
R2 F' U L' U2 F
F' L R2 U L2 U2 F
F' L R2 U B' L2 U2
B2 L D L2 F R B2
B2 L D L2 F B2 R
B2 L D L2 B2 F R
R2 L F L2 U' R F
R2 L F U B' U2 R
L' R F' U' F2 R B
R2 L F' U B' L' U2
D L F L' U' R B2
D L F L' U' B2 R
U L B' U' R2 F U'
U L B' U' F R2 U'
R2 L' U' R' F D R2
R2 L' U2 B' U R' F
R2 L' U2 B' U F R'
R2 L' D F' U' F2 R
R2 L' D F2 U' F' R
F2 L' R2 U' F' R F2
F L' R2 U' R F R2
F L' R2 U' R' D F
F L' R2 U' R' D' F
F L' R2 U' R' D2 F
F L' R2 U' R' F D
F L' R2 U' R' F D'
F L' R2 U' R' F D2
F L' R2 U' D R' F
F L' R2 U' D F R'
F L' R2 U' D' R' F
F L' R2 U' D' F R'
F L' R2 U' D2 R' F
F L' R2 U' D2 F R'
F L' R2 U' F R' D
F L' R2 U' F R' D'
F L' R2 U' F R' D2
F L' R2 U' F D R'
F L' R2 U' F D' R'
F L' R2 U' F D2 R'
F L' R2 U' F' R' F2
F L' R2 D U' R' F
F L' R2 D U' F R'
F L' R2 D' U' R' F
F L' R2 D' U' F R'
F L' R2 D2 U' R' F
F L' R2 D2 U' F R'
F2 L' R2 F' U' R F2
R2 L' D' F' U' F2 R
R2 L' D' F2 U' F' R
F L' R2 F' U' R' F2
F L' R2 F' U' F2 R'
F L' R2 F2 U' F' R'
R2 L' D2 F' U' F2 R
R2 L' D2 F2 U' F' R
F L' U' D R F B2
F L' U' D R B2 F
F L' U' D B2 R F
R' L' F' R' U' F2 R
L' R' F' R' U' F2 R
R2 L' F' U L' U2 F2
R2 L' F' U' R F2 R
R2 L' F' U' R' F2 R
