U B' U L B2 U
U2 L B U2 R' U' F'
U2 L B' L B2 U F
R2 L' D2 F' R U' F'
B' L' U B2 L2 F U
U2 L' D' B R' U B
L' R2 D2 F' R U' F'
L2 R2 D2 F' R U' F2
R2 L2 D2 F' R U' F2
D2 L2 R2 F' R U' F2
U2 L2 B U2 R' U' F
R U D B' L U2 B'
B R D2 L2 F U F
L' U2 D' B R' U B
D2 R2 L2 F' R U' F2
B' R2 U L F' B2 U
B' R2 U L B2 F' U
B' R2 U F' L B2 U
L2 U2 B U2 R' U' F
D2 R2 F' L2 R U' F
D2 R2 F' R L2 U' F
D2 R2 F' R U B' U2
R D U B' L U2 B'
B' U L B2 U2 B' U'
B' U L' B2 L2 F U
F' U B' U L B2 U
F2 U B' U L B2 U
B' U B2 U2 R' B' U'
F U B' U L B2 U
L' D' U2 B R' U B
R2 D2 L2 F' R U' F2
L2 D2 R2 F' R U' F2
R2 D2 F' L2 R U' F
R2 D2 F' R L2 U' F
R2 D2 F' R U B' U2
B U2 R' D B' L2 U'
B U2 R' D2 B' U' F2
B U2 R' B' L2 U' F
B U2 R' B' U B' U2
B U2 D R' B' L2 U'
B U2 D2 R' B' U' F2
U F B' U L B2 U
B D U2 R' B' L2 U'
R2 F' U B' U L U
B D' R2 U2 R B' U'
B D' R2 U2 B' R U'
U F' B' U L B2 U
U F2 B' U L B2 U
B D2 U2 R' B' U' F2
U2 B R D2 L2 U F2
U2 B R' U' B2 U2 B2
U2 B U' B2 U L U
U2 B U2 R' U B2 U2
U2 B U2 R' U' D2 F2
U2 B U2 R' D L2 U'
U2 B U2 R' D2 U' F2
L2 B U2 R' B' U' F
U2 B U2 D L2 R' U'
U2 B U2 D R' L2 U'
U2 B U2 D2 R' U' F2
U2 B D U2 L2 R' U'
U2 B D U2 R' L2 U'
L B U2 R' B' U' F'
U2 B D' R2 U2 R U'
U2 B D2 U2 R' U' F2
U2 B' L B2 U D2 F2
U2 B' L B2 U' B2 U2
U2 B' L B2 D' R2 U
U2 B' L B2 D2 U F2
U B' L U B2 U B2
U B' L' U L2 B2 U
U B' L' U B2 L2 U
U B' L' U2 D' R2 B2
U B' L' U2 D' B2 R2
U B' L' D L2 F2 U2
U B' L' D F2 L2 U2
U B' L' D' U2 R2 B2
U B' L' D' U2 B2 R2
U B' L2 U L' B2 U
U B' L2 U B2 L' U
U2 B' U L B2 U L'
U B' U L U D' R2
U B' U L D' U R2
U B' U L B2 U D
U B' U L B2 U D'
U B' U L B2 U D2
U B' U L B2 D U
U B' U L B2 D' U
U B' U L B2 D2 U
U B' U L' B2 L2 U
U B' U L2 B2 L' U
U B' U D' L U R2
U B' U B2 U2 R' U'
U B' D L2 U L' U
U B' D' U L U R2
U B' F U L B2 U
U B' F' U L B2 U
U B' F2 U L B2 U
