R2 L' F U' F' L'
L' R2 F U' F' L'
L2 U R2 B' U' R'
L2 U B' R2 U' R
F U D F' R B2
F U D F' B2 R
F U D B2 F' R
F D U F' R B2
F D U F' B2 R
F D U B2 F' R
L2 R U R B' U' R'
L2 R U B' R U' R2
F L D B' U F' B'
F L D B' U B' F'
F L D2 B' L2 U F'
L2 R' U R' B' U' R'
F L B' U D F' B2
F L B' U D B2 F'
F L B' U F' D B2
F L B' D U F' B2
F L B' D U B2 F'
F L B' D2 L2 U F'
R2 L' D F U' F' L'
B' L' R2 F U' F' L'
R2 L' D' F U' F' L'
F2 L' R2 F B U' F
B2 L' R2 F U' F' L'
B L' R2 F U' F' L'
F2 L' R2 B F U' F
R2 L' D2 F U' F' L'
F L' U F' D R2 B2
F L' U F' D B2 R2
R2 L' F L' B' U' F'
R2 L' F U' L F' L'
R2 L' F U' L' F' L'
R2 L' F U' L2 F' L'
R2 L' F U' D F' L'
R2 L' F U' D' F' L'
R2 L' F U' D2 F' L'
R2 L' F U' F' L' D
R2 L' F U' F' L' D'
R2 L' F U' F' L' D2
R2 L' F U' F' D L'
R2 L' F U' F' D' L'
R2 L' F U' F' D2 L'
R2 L' F D U' F' L'
R2 L' F D' U' F' L'
R2 L' F D2 U' F' L'
R2 L' F B U' F' L'
R2 L' F B' U' F' L'
R2 L' F B2 U' F' L'
F L' U2 F R2 U' F2
R2 L' B F U' F' L'
F L' D2 L2 B' U F'
R2 L' B' F U' F' L'
F L' F R2 B U' F2
R2 L' B2 F U' F' L'
R' L2 U R' B' U' R'
R L2 U R B' U' R'
R L2 U B' R U' R2
L' R2 D F U' F' L'
L' R2 D' F U' F' L'
L' R2 D2 F U' F' L'
L' R2 F L' B' U' F'
L' R2 F U' L F' L'
L' R2 F U' L' F' L'
L' R2 F U' L2 F' L'
L' R2 F U' D F' L'
L' R2 F U' D' F' L'
L' R2 F U' D2 F' L'
L' R2 F U' F' L' D
L' R2 F U' F' L' D'
L' R2 F U' F' L' D2
L' R2 F U' F' D L'
L' R2 F U' F' D' L'
L' R2 F U' F' D2 L'
L' R2 F D U' F' L'
L' R2 F D' U' F' L'
L' R2 F D2 U' F' L'
L' R2 F B U' F' L'
L' R2 F B' U' F' L'
L' R2 F B2 U' F' L'
B' L2 U R2 B' U' R'
B2 L2 U R2 B' U' R'
L2 R2 F' B' U' F R
R2 L2 F' B' U' F R
B L2 U R2 B' U' R'
B' L2 U B' R2 U' R
B2 L2 U B' R2 U' R
B L2 U B' R2 U' R
L' R2 B F U' F' L'
L2 R2 B' L F U' F'
R2 L2 B' L F U' F'
L' R2 B' F U' F' L'
L2 R2 B' F' U' F R
R2 L2 B' F' U' F R
L' R2 B2 F U' F' L'
L2 U R B' R U' R2
L' U R2 F B U' L
L2 U R2 D B' U' R'
L' U R2 B F U' L
L2 U R2 D' B' U' R'
L2 U R2 D2 B' U' R'
L2 U R2 F B' U' R'
L2 U R2 F' B' U' R'
L2 U R2 F2 B' U' R'
L2 U R2 B' U' R' D
L2 U R2 B' U' R' D'
L2 U R2 B' U' R' D2
L2 U R2 B' U' D R'
L2 U R2 B' U' D' R'
L2 U R2 B' U' D2 R'
L2 U R2 B' D U' R'
L2 U R2 B' D' U' R'
L2 U R2 B' D2 U' R'
L2 U R2 B' F U' R'
L2 U R2 B' F' U' R'
L2 U R2 B' F2 U' R'
L2 U D B' U' R' B'
L' U F R2 B U' L
L2 U F R2 B' U' R'
L' U F B R2 U' L
L2 U F B' R2 U' R
L2 U F' R2 B' U' R'
L2 U F' B' R2 U' R
L2 U F2 R2 B' U' R'
L2 U F2 B' R2 U' R
L' U B R2 F U' L
L2 U B R2 B2 U' R'
L' U B F R2 U' L
L2 U B' R2 U' R D
L2 U B' R2 U' R D'
L2 U B' R2 U' R D2
L2 U B' R2 U' D R
L2 U B' R2 U' D' R
L2 U B' R2 U' D2 R
L2 U B' R2 D U' R
L2 U B' R2 D' U' R
L2 U B' R2 D2 U' R
L2 U B' U' D R' B2
L2 U B' D U' R' B2
L2 U B' F R2 U' R
L2 U B' F' R2 U' R
L2 U B' F2 R2 U' R
L2 U' D2 L2 F U R
R2 U' F L B' U B
R' U' F B2 L B' U
D2 R' U' F L2 B U
D2 R' U' F B L2 U
D2 R' U' B F L2 U
R' U' B2 F L B' U
D2 R' F L2 B U F'
D2 R' F B L2 U F'
D2 R' B F L2 U F'
B' R2 L' F U' F' L'
B2 R2 L' F U' F' L'
F2 R2 L' F B U' F
F2 R2 L' B F U' F
B R2 L' F U' F' L'
F2 R2 D' L2 B U' R'
F2 R2 D' B L2 U' R'
F2 R2 B L' F U' F
L2 D U B' U' R' B'
L' D F U' F' L' B2
L' D F U' F' B2 L'
L' D F U' B2 F' L'
U' D F L2 U B2 R'
U' D F U' L' U2 B2
F U D F' R B2 D
F U D F' R B2 D'
F U D F' R B2 D2
F U D F' R' B2 R2
F U D F' B' R B'
F U D F' B2 R D
F U D F' B2 R D'
F U D F' B2 R D2
F U D F' B2 D R
F U D F' B2 D' R
F U D F' B2 D2 R
F U D B' F' R B'
F U D B2 F' R D
F U D B2 F' R D'
F U D B2 F' R D2
F U D B2 F' D R
F U D B2 F' D' R
F U D B2 F' D2 R
F U D' F' R2 B R'
F U B D F' R B2
F U B D F' B2 R
F U B D B2 F' R
F U B' D F' R B2
F U B' D F' B2 R
F U B' D B2 F' R
F U B2 D F' R B2
F U B2 D F' B2 R
F U B2 D B2 F' R
D U' F L2 U B2 R'
D U' F U' L' U2 B2
F U' D F' R B2 L
L2 D2 U' L2 F U R
F U2 L' F R2 U' F2
U' F L D B' U B'
U' F L D2 B' L2 U
U' F L B' U D B2
U' F L B' U2 R2 U'
U' F L B' D U B2
U' F L B' D2 L2 U
U' F L' U2 R2 F U'
U' F L' U2 F R2 U'
U' F L' D2 L2 B' U
D2 F L2 U D' F' R
D2 F L2 D' U F' R
D F L2 U F' B2 R'
D F L2 U B2 F' R'
L' F R2 U B U2 L
D2 F U D' F' R B2
D2 F U D' F' B2 R
D2 F U D' B2 F' R
L' F U' D F' L' B2
