F L' B' U' R' B
F L' R' B' U' R' B2
F L' F B' U' R' B
F L' F' B' U' R' B
F L' F2 B' U' R' B
F L' B' R U' R2 B
F2 L' B' U' R' F' B
F2 L' B' U' R' B F'
F L' B' U' R' D B
F L' B' U' R' D' B
F L' B' U' R' D2 B
F L' B' U' R' B D
F L' B' U' R' B D'
F L' B' U' R' B D2
F L' B' F U' R' B
F L' B' F' U' R' B
F L' B' F2 U' R' B
F R' L' B' U' R' B2
L' D2 B' L U' R' B'
R' F L' B' U' R' B2
L' F B' L' U' R' B
R F' U R B U L
L' F2 B' U' R' F' B
L' F2 B' U' R' B F'
B' F' R U R2 B L
F' B' R U R2 B L
F2 B' U R' B L F
L' B' F L' U' R' B
F2 B' U' R' F' L' B
F2 B' U' R' F' B L'
F2 B' U' R' B F' L'
L' B' F2 U' R' F' B
L' B' F2 U' R' B F'
B' F2 U R' B L F
B' F2 U' R' F' L' B
B' F2 U' R' F' B L'
B' F2 U' R' B F' L'
