U2 R D F' L' R2
U2 R D F' R2 L'
B' R' U2 D R2 F'
B' R' D U2 R2 F'
B' R' D B U2 R2
U2 R' D R2 F' L'
B' R' D' L2 B U2
B' R' D' B L2 U2
B' R' B U' F2 U'
B' R' B U2 D R2
B' R' B D U2 R2
B' R' B D' L2 U2
R' U2 D R2 F' L'
R U2 D F' L' R2
R U2 D F' R2 L'
R' D U2 R2 F' L'
R D U2 F' L' R2
R D U2 F' R2 L'
R' D B U2 L R2
R' D B U2 R2 L
R' D' L2 B U2 L
R D' L2 U2 F' L'
R' D' B L2 U2 L'
R' B U' F2 U' L
R' B U2 L D R2
R' B U2 D L R2
R' B U2 D R2 L
R' B U2 D R2 L
R' B D U2 L R2
R' B D U2 R2 L
R' B D' L2 U2 L'
U2 L R D F' L' R2
U2 L R D F' R2 L'
B' L R' U2 D R2 F'
B' L R' D U2 R2 F'
B' L R' D B U2 R2
B' L R' D' L2 B U2
U2 L R' D R2 F' L'
B' L R' D' B L2 U2
B' L R' B U' F2 U'
B' L R' B U2 D R2
B' L R' B D U2 R2
B' L R' B D' L2 U2
L' R U2 D F' L' R2
L' R U2 D F' R2 L'
R' L U2 D R2 F' L'
L2 R U2 D F' L' R2
L2 R U2 D F' R2 L'
L R U2 D F' L' R2
L R U2 D F' R2 L'
R L U2 D F' L' R2
R L U2 D F' R2 L'
L' R D U2 F' L' R2
L' R D U2 F' R2 L'
R' L D U2 R2 F' L'
L2 R D U2 F' L' R2
L2 R D U2 F' R2 L'
L R D U2 F' L' R2
L R D U2 F' R2 L'
R' L D B U2 L R2
R' L D B U2 R2 L
R L D U2 F' L' R2
R L D U2 F' R2 L'
L' R D' L2 U2 F' L'
R' L D' L2 B U2 L
L2 R D' L2 U2 F' L'
L R D' L2 U2 F' L'
R L D' L2 U2 F' L'
R' L D' B L2 U2 L'
D2 L D B' L2 R' U2
D2 L D B' R' L2 U2
D' L D' L B' R' U2
D2 L D' B' R' U2 R'
R' L B U' F2 U' L
R' L B U2 L D R2
R' L B U2 D L R2
R' L B U2 D R2 L
R' L B D U2 L R2
R' L B D U2 R2 L
R' L B D' L2 U2 L'
U L F2 R B U' F'
D2 L B' R' U B' U
R' L' U2 D R2 F' L'
L' R' U2 D R2 F' L'
L R' U2 D R2 F' L'
L2 R' U2 D R2 F' L'
R L' U2 D F' L' R2
R L' U2 D F' R2 L'
U2 L' R D F' L' R2
U2 L' R D F' R2 L'
R' L' D U2 R2 F' L'
L' R' D U2 R2 F' L'
B' L' R' U2 D R2 F'
L R' D U2 R2 F' L'
B' L' R' D U2 R2 F'
L2 R' D U2 R2 F' L'
B' L' R' D B U2 R2
R' L' D B U2 L R2
R' L' D B U2 R2 L
B' L' R' D' L2 B U2
L' R' D B U2 L R2
L' R' D B U2 R2 L
U2 L' R' D R2 F' L'
B' L' R' D' B L2 U2
R L' D U2 F' L' R2
R L' D U2 F' R2 L'
L R' D B U2 L R2
L R' D B U2 R2 L
L2 R' D B U2 L R2
L2 R' D B U2 R2 L
R' L' D' L2 B U2 L
B' L' R' B U' F2 U'
B' L' R' B U2 D R2
L' R' D' L2 B U2 L
B' L' R' B D U2 R2
B' L' R' B D' L2 U2
L R' D' L2 B U2 L
L2 R' D' L2 B U2 L
R L' D' L2 U2 F' L'
R' L' D' B L2 U2 L'
L' R' D' B L2 U2 L'
L R' D' B L2 U2 L'
L2 R' D' B L2 U2 L'
D2 L' D L2 B' R' U2
U' L' D B' L U' R2
R' L' B U' F2 U' L
R' L' B U2 L D R2
R' L' B U2 D L R2
R' L' B U2 D R2 L
L' R' B U' F2 U' L
L' R' B U2 L D R2
L' R' B U2 D L R2
L' R' B U2 D R2 L
R' L' B D U2 L R2
R' L' B D U2 R2 L
