U' R B' U2 R'
U' B' R U2 R2
U' L2 R U2 F R
U L2 F2 L' F' R
U' R L2 U2 F R
B' R U B U B'
U' R D B' U2 R'
U' R D B' U2 R'
U' R D' B' U2 R'
U' R D2 B' U2 R'
U' R B L B2 U2
U' R B' L U2 R'
U' R B' L' U2 R'
U' R B' L2 U2 R'
U' R B' U2 R' D
U' R B' U2 R' D'
U' R B' U2 R' D2
U' R B' U2 D R'
U' R B' U2 D' R'
U' R B' U2 D2 R'
U' R B' D U2 R'
U' R B' D' U2 R'
U' R B' D2 U2 R'
U R' D2 L2 F R
U' R' B' R2 U2 R
F2 U L2 F L R
F2 U L2 F R L
U' D R B' U2 R'
F U L2 F L' R
F U L2 F R L'
U' D B' R U2 R2
U' D' R B' U2 R'
D2 U' R B' U2 R'
D' U' R B' U2 R'
D U' R B' U2 R'
U' D' B' R U2 R2
D2 U' B' R U2 R2
D' U' B' R U2 R2
D U' B' R U2 R2
B2 U' B L R U2
B2 U' B R L U2
U' D2 R B' U2 R'
F2 U' B' U2 L' R'
F2 U' B' U2 R' L'
U' D2 B' R U2 R2
U F L2 R F L'
U F R L2 F L'
U' B L R B2 U2
U' B L B2 R U2
U' B R L B2 U2
U' B R B2 U2 R'
U' B' L R U2 R2
U' B' L' R U2 R2
U' B' L2 R U2 R2
U' B' R L U2 R2
U' B' R L' U2 R2
U' B' R L2 U2 R2
U' B' R U2 R2 D
U' B' R U2 R2 D'
U' B' R U2 R2 D2
U' B' R D2 L2 U2
U' B' U2 R' D2 L2
U' B' D R U2 R2
U' B' D' R U2 R2
R B' U B2 U B2
U' B' D2 R U2 R2
B' L R U L' B U
B' L R U B L' U
U' L R B L U2 F
U' L R B' U2 R' F'
U L U2 R B L U2
U2 L F L U' F L'
U L F L R F L'
U L F R L F L'
U' L B L R U2 F
U' L B R L U2 F
B' L' R U L B U
U' L' R B L B' U2
U L' F L' R F L'
U L' F R L' F L'
U L' F R F L' F
U L' F2 L' F' R F2
U' L' B L R B' U2
U' L' B L B' R U2
U' L' B R L B' U2
B' L2 R U L2 B U
B' L2 R U B L2 U
U' L2 R U2 R F R
U' L2 R U2 R' F R
U' L2 R U2 R2 F R
U' L2 R U2 D F R
U' L2 R U2 D' F R
U' L2 R U2 D2 F R
U' L2 R U2 F R D
U' L2 R U2 F R D'
U' L2 R U2 F R D2
U' L2 R U2 F D R
U' L2 R U2 F D' R
U' L2 R U2 F D2 R
U' L2 R D U2 F R
U' L2 R D' U2 F R
U' L2 R D2 U2 F R
U' L2 R B' U2 R' F
U' L2 R B' U2 F R'
U L2 R' D2 F L2 R
U L2 R' D2 F R L2
U L2 R' F D2 L2 R
U L2 R' F D2 R L2
U L2 R2 F R D2 L2
U' L2 U2 F2 L' F' R
U L2 U2 R U2 F R
U' L2 D R U2 F R
U' L2 D' R U2 F R
U L2 D F2 L' F' R
U' L2 D2 R U2 F R
U L2 D' F2 L' F' R
U L2 D2 F2 L' F' R
U L2 F R F L' F'
R U L2 B U F B'
R U L2 B U B' F
U L2 F2 L F' L2 R
U L2 F2 L F' R L2
U L2 F2 L' F' R D
U L2 F2 L' F' R D'
U L2 F2 L' F' R D2
U L2 F2 L' F' D R
U L2 F2 L' F' D' R
U L2 F2 L' F' D2 R
U L2 F2 L2 F' L R
U L2 F2 L2 F' R L
U' L2 B' R U2 R2 F
U' L2 B' R U2 F R2
B' R L U L' B U
B' R L U B L' U
R' U D2 L2 F D R2
U' R L B L U2 F
U' R L B' U2 R' F'
B' R L' U L B U
U' R L' B L B' U2
B' R L2 U L2 B U
B' R L2 U B L2 U
U' R L2 U2 R F R
U' R L2 U2 R' F R
U' R L2 U2 R2 F R
U' R L2 U2 D F R
U' R L2 U2 D' F R
U' R L2 U2 D2 F R
U' R L2 U2 F R D
U' R L2 U2 F R D'
U' R L2 U2 F R D2
U' R L2 U2 F D R
U' R L2 U2 F D' R
U' R L2 U2 F D2 R
U' R L2 D U2 F R
U' R L2 D' U2 F R
U' R L2 D2 U2 F R
U' R L2 B' U2 R' F
U' R L2 B' U2 F R'
B' R U L B U B'
B' R U L' B U B'
B' R U L2 B U B'
B' R U D B U B'
B' R U D' B U B'
B' R U D2 B U B'
B' R U B U D B'
B' R U B U D' B'
B' R U B U D2 B'
B' R U B U B' D
B' R U B U B' D'
B' R U B U B' D2
B' R U B D U B'
B' R U B D' U B'
B' R U B D2 U B'
U' R U2 L2 F L2 R
U' R U2 L2 F R L2
R U B U D2 F2 B'
R U B U D2 B' F2
R U B U' B2 U2 B
R U B D' R2 U B'
R U B D2 U F2 B'
R U B D2 U B' F2
U' R D L2 U2 F R
B' R D U B U B'
U' R D B L B2 U2
U' R D B' L U2 R'
U' R D B' L' U2 R'
U' R D B' L2 U2 R'
U' R D B' U2 R' D
U' R D B' U2 R' D'
U' R D B' U2 R' D2
U' R D B' U2 D R'
U' R D B' U2 D' R'
U' R D B' U2 D2 R'
U' R D B' D U2 R'
U' R D B' D' U2 R'
U' R D B' D2 U2 R'
U' R D' L2 U2 F R
B' R D' U B U B'
U' R D' B L B2 U2
U' R D' B' L U2 R'
U' R D' B' L' U2 R'
U' R D' B' L2 U2 R'
U' R D' B' U2 R' D
U' R D' B' U2 R' D'
