F L D B2 R' B L
L2 R' B' U' R2 B2 U'
L2 R' B' U' B2 R2 U'
L2 R' B' U2 D L2 B2
L2 R' B' U2 D B2 L2
L2 R' B' D U2 L2 B2
L2 R' B' D U2 B2 L2
L2 R' B' D' R2 F2 U2
L2 R' B' D' F2 R2 U2
R' L2 B' U' R2 B2 U'
R' L2 B' U' B2 R2 U'
R' L2 B' U2 D L2 B2
R' L2 B' U2 D B2 L2
R' L2 B' D U2 L2 B2
R' L2 B' D U2 B2 L2
R' L2 B' D' R2 F2 U2
R' L2 B' D' F2 R2 U2
R U L2 B' U F' U
D2 R U' R D F L'
D2 R U' D R F L'
D' R U' F L' D' R2
D' R U' F D' L' R2
D' R U' F D' R2 L'
D' R U2 B2 U F L'
D2 R D U' R F L'
D R F2 B' U' L F'
D R F2 B' U' F' L
D R B' F2 U' L F'
D R B' F2 U' F' L
R U' D' F D' L2 R2
R U' D' F D' R2 L2
R U' D2 F R2 D' L2
R U' F D' L2 D' R2
R U' F D2 R2 D L2
D2 R' D R' F L' B2
D2 R' D R' F B2 L'
D2 R' D R' B2 F L'
D2 R' D F L' R' B2
D2 R' D F R' L' B2
D2 R' D F R' B2 L'
R U2 D' F' B2 U F2
R U2 D' B2 F' U F2
R U2 D2 F' U R2 F2
R U2 D2 F' U F2 R2
R U2 F' U F2 D2 R2
R U2 F' U' L2 U2 F2
R' D F2 B U' F' B
R' D F2 B U' B F'
R D F2 L' U' F' L'
R D F2 L2 B' U' F'
R' D B F2 U' F' B
R' D B F2 U' B F'
R D F2 U' F' D' L2
R D F2 U2 F U F2
L2 D B' U' R U' L
R D' U' F D' L2 R2
R D' U' F D' R2 L2
R D' U2 F' B2 U F2
R D' U2 B2 F' U F2
R' D2 R2 F D' L2 B2
R' D2 R2 F D' B2 L2
R D2 U' F R2 D' L2
R D2 U2 F' U R2 F2
R D2 U2 F' U F2 R2
D' F L2 D' L R2 B'
D' F L2 D' L B' R2
D' F L2 D' R2 L B'
D2 F R2 D' L B' L
D2 F R2 D' B' L B'
D' F D' L R2 B' L2
D' F D' L B' L2 R2
D' F D' L B' R2 L2
D' F D' R2 L B' L2
R F D2 R2 D L2 B2
R F D2 R2 D B2 L2
R F' U L2 U2 L2 F2
R F' U L2 U2 F2 L2
R F' U F2 D2 R2 B2
R F' U F2 D2 B2 R2
D' F' B2 U F2 L' B'
D2 F2 L' F U R2 F2
D2 F2 L' F U F2 R2
F2 D2 L' F U R2 F2
F2 D2 L' F U F2 R2
R' B R2 U L2 B' U2
R' B R2 U' D2 R2 F
R' B R2 U' D2 F R2
R' B R2 U' F D2 R2
R' B R2 D F2 U' F'
R' B R2 D2 U' R2 F
R' B R2 D2 U' F R2
R' B D F2 U' F' B2
R' B D F2 U' B2 F'
L2 B' R' U' B R2 U'
D B' R F2 U' L F'
D B' R F2 U' F' L
L2 B' U' R U2 F' U
L2 B' U' R' B R2 U'
D' B2 U2 R U' F L'
D' B2 F' U F2 L' B'
