U2 F' U' F
U2 L F' U' F
U2 L' F' U' F
U2 L2 F' U' F
B' R2 B U F'
U2 D F' U' F
U2 D' F' U' F
D U2 F' U' F
D' U2 F' U' F
U2 D2 F' U' F
D2 U2 F' U' F
U2 F' U' D F
U2 F' U' D' F
U2 F' U' D2 F
U2 F' U' F D
U2 F' U' F D'
U2 F' U' F D2
U2 F' D U' F
U2 F' D' U' F
U2 F' D2 U' F
B2 D' R2 B U
R2 B U' B' U2
U' L U' L' F' U'
U2 L D F' U' F
U2 L D' F' U' F
U2 L D2 F' U' F
U2 L F' U' D F
U2 L F' U' D' F
U2 L F' U' D2 F
U2 L F' U' F D
U2 L F' U' F D'
U2 L F' U' F D2
U2 L F' D U' F
U2 L F' D' U' F
U2 L F' D2 U' F
U' L' U' L F' U'
U' L' U' F' L U'
U2 L' D F' U' F
U2 L' D' F' U' F
U2 L' D2 F' U' F
U2 L' F' U' D F
U2 L' F' U' D' F
U2 L' F' U' D2 F
U2 L' F' U' F D
U2 L' F' U' F D'
U2 L' F' U' F D2
U2 L' F' D U' F
U2 L' F' D' U' F
U2 L' F' D2 U' F
U' L2 U' L2 F' U'
U' L2 U' F' L2 U'
L2 R2 B L2 U F
R2 L2 B L2 U F
U2 L2 D F' U' F
U2 L2 D' F' U' F
U2 L2 D2 F' U' F
U2 L2 F' U' D F
U2 L2 F' U' D' F
U2 L2 F' U' D2 F
U2 L2 F' U' F D
U2 L2 F' U' F D'
U2 L2 F' U' F D2
U2 L2 F' D U' F
U2 L2 F' D' U' F
U2 L2 F' D2 U' F
B' R U F R F'
B R U' B' U2 R'
R U2 L F U' F'
R U2 F' U' F R
U R2 U' B R2 U
B' R2 D B U F'
B' R2 D' B U F'
B2 R2 D' B R2 U
B' R2 D2 B U F'
B2 R2 D2 B U F2
B2 R2 B R2 U F'
B' R2 B U D F'
B' R2 B U D' F'
B' R2 B U D2 F'
B' R2 B U F' D
B' R2 B U F' D'
B' R2 B U F' D2
B2 R2 B U' B U2
B' R2 B D U F'
D2 R2 B U' B' U2
B' R2 B D' U F'
D' R2 B U' B' U2
B' R2 B D2 U F'
B R2 B U D2 F2
B R2 B U' B2 U2
B R2 B D' R2 U
B R2 B D2 U F2
D R2 B U' B' U2
U2 D L F' U' F
U2 D L' F' U' F
U2 D L2 F' U' F
R2 D B U' B' U2
U2 D F' U' D F
