B U F' U R
B L U F' U R
B L' U F' U R
B L2 U F' U R
R2 U' B U' F' R
B U F' U R D
B U F' U R D'
B U F' U R D2
B U F' U D R
B U F' U D' R
B U F' U D2 R
B U F' D U R
B U F' D' U R
B U F' D2 U R
B U F' B U R
B U F' B' U R
B U F' B2 U R
B U B F' U R
B U B' F' U R
B U B2 F' U R
U F' R2 U F' R'
U F' U R2 F' R'
U F' U' B U2 R
L' B U F' U R
D2 B U F' U R'
L2 B U F' U R
L B U F' U R
R2 L U' B U' F' R
B L U F' U R D
B L U F' U R D'
B L U F' U R D2
B L U F' U D R
B L U F' U D' R
B L U F' U D2 R
B L U F' D U R
B L U F' D' U R
B L U F' D2 U R
B L U F' B U R
B L U F' B' U R
B L U F' B2 U R
B L U B F' U R
B L U B' F' U R
B L U B2 F' U R
D2 L B U F' U R'
D' L B U F' B2 U
D' L B U B2 F' U
R2 L' U' B U' F' R
B' L B2 U F' U R
B L' U F' U R D
B L' U F' U R D'
B L' U F' U R D2
B L' U F' U D R
B L' U F' U D' R
B L' U F' U D2 R
B L' U F' D U R
B L' U F' D' U R
B L' U F' D2 U R
B L' U F' B U R
B L' U F' B' U R
B L' U F' B2 U R
B L' U B F' U R
B L' U B' F' U R
B L' U B2 F' U R
F L' D R2 U2 F' B
F L' D R2 U2 B F'
F L' D F' R2 U2 F'
F L' D F' B R2 U2
F L' D B R2 U2 B
F L' D B F' R2 U2
F L' D' F' B U2 L2
F L' D' B F' U2 L2
F L' F' B U F' U
L' R2 U' B U' F' R
L2 R2 U' B U' F' R
R2 L2 U' B U' F' R
L R2 U' B U' F' R
D2 L' B U F' U R'
F L' B D R2 U2 B
F L' B D F' R2 U2
F L' B D' F' U2 L2
F L' B F' U F' U
B' L' B2 U F' U R
F' L2 R2 U F' R' B'
F' L2 U R2 F' R' B'
F' L2 U B' R D2 F2
B2 L2 U F' U R F2
F' L2 U B' D2 R F2
B L2 U F' U R D
B L2 U F' U R D'
B L2 U F' U R D2
B L2 U F' U D R
B L2 U F' U D' R
B L2 U F' U D2 R
B L2 U F' D U R
B L2 U F' D' U R
B L2 U F' D2 U R
B L2 U F' B U R
B L2 U F' B' U R
B L2 U F' B2 U R
B L2 U B F' U R
B L2 U B' F' U R
B L2 U B2 F' U R
F' L2 U' B U2 R B2
F' L2 U' B U2 B2 R
D2 L2 B U F' U R'
B' L2 B2 U F' U R
L' U F' R2 U F' R'
L' U F' U R2 F' R'
L' U F' U' B U2 R
L2 U F' R2 U F' R'
L2 U F' U R2 F' R'
L2 U F' U' B U2 R
L U F' R2 U F' R'
L U F' U R2 F' R'
L U F' U' B U2 R
R U F' U L' R F'
R U F' U R L' F'
U R U R F' L' R
U R U R F' R L'
B R U F' U L' R
B R U F' U R L'
U R U F' L' R F'
U R U F' R L' F'
R2 U' L B U' F' R
R2 U' L' B U' F' R
R2 U' L2 B U' F' R
U R F' U R F' L'
R2 U' D2 B U' F' R'
R2 U' F B U' F2 R
R2 U' B L U' F' R
R2 U' B L' U' F' R
R2 U' B L2 U' F' R
R2 U' B U' F' R D
R2 U' B U' F' R D'
R2 U' B U' F' R D2
R2 U' B U' F' D R
R2 U' B U' F' D' R
R2 U' B U' F' D2 R
R2 U' B F U' F2 R
F' R2 L2 U F' R' B'
R2 U2 F' U B U' R
F' R2 U F' R' D2 B2
F' R2 U F' D2 R' B2
U2 R2 U B U' F' R
F' R2 U' F U2 R' F2
F' R2 U' F U2 F2 R'
D2 R2 U' B U' F' R'
B R2 U' D2 B U' R'
B R2 U' F' B U' R
B R2 U' B F' U' R
R2 U2 B U' F' R B'
R2 U2 B U' F' B' R
R2 U2 B U' B' F' R
U R2 U2 B U' F' R
B R2 D2 U' B U' R'
U2 R2 F' U B U' R
F R2 F2 U B R F
U2 R2 B U' F' R B'
U2 R2 B U' F' B' R
U2 R2 B U' B' F' R
B U L' F' L U R
B U L2 F' L2 U R
F' U R2 F' R' D2 B2
F' U R2 F' D2 R' B2
D2 U F' U' B U2 R'
B U D2 F' B U R'
B U D2 B F' U R'
B' U F' U R D2 F2
B' U F' U D2 R F2
B' U F' U' B2 U2 R
B' U F' D' R2 U R'
B' U F' D2 U R F2
B2 U F' U' B' U2 R
B U F' U R2 D R'
B U F' U R2 D' R'
B U F' U R2 D2 R'
B U F' U D R D
B U F' U D R D'
B U F' U D R D2
B U F' U D' R D
B U F' U D' R D'
B U F' U D' R D2
B U F' U D2 R D
B U F' U D2 R D'
B U F' U D2 R D2
B U F' U B R B'
B U F' U B2 R B2
B U F' U' L U2 R
B U F' U' L' U2 R
B U F' U' L2 U2 R
B U F' D U R D
B U F' D U R D'
B U F' D U R D2
B U F' D B U R
B U F' D B' U R
B U F' D B2 U R
B U F' D' U R D
B U F' D' U R D'
B U F' D' U R D2
B U F' D' B U R
B U F' D' B' U R
B U F' D' B2 U R
B U F' D2 U R D
B U F' D2 U R D'
B U F' D2 U R D2
B U F' D2 B U R
B U F' D2 B' U R
B U F' D2 B2 U R
B U F' B U R D
B U F' B U R D'
B U F' B U R D2
B U F' B U D R
B U F' B U D' R
B U F' B U D2 R
B U F' B D U R
B U F' B D' U R
B U F' B D2 U R
B U F' B' U R D
B U F' B' U R D'
B U F' B' U R D2
B U F' B' U D R
B U F' B' U D' R
B U F' B' U D2 R
B U F' B' D U R
B U F' B' D' U R
B U F' B' D2 U R
B U F' B2 U R D
B U F' B2 U R D'
B U F' B2 U R D2
B U F' B2 U D R
B U F' B2 U D' R
B U F' B2 U D2 R
B U F' B2 D U R
B U F' B2 D' U R
B U F' B2 D2 U R
B U F2 D F U R
B U F2 D' F U R
B U F2 D2 F U R
B U B F' U R D
B U B F' U R D'
B U B F' U R D2
B U B F' U D R
B U B F' U D' R
B U B F' U D2 R
B U B F' D U R
B U B F' D' U R
B U B F' D2 U R
B U B' F' U R D
B U B' F' U R D'
B U B' F' U R D2
B U B' F' U D R
B U B' F' U D' R
B U B' F' U D2 R
B U B' F' D U R
B U B' F' D' U R
B U B' F' D2 U R
B U B2 F' U R D
B U B2 F' U R D'
B U B2 F' U R D2
B U B2 F' U D R
B U B2 F' U D' R
B U B2 F' U D2 R
B U B2 F' D U R
B U B2 F' D' U R
B U B2 F' D2 U R
F' U' L' B U2 R B
F' U' L2 B U2 R B2
F' U' L2 B U2 B2 R
F' U' F U2 R2 F' R
F' U' F D2 B U2 R'
B U' F U2 F2 U R
F' U' F2 L' F' B U2
F' U' F2 L' B F' U2
F' U' F2 B L' F' U2
F' U' B L' U2 R B
F' U' B L2 U2 R B'
F' U' B L2 U2 B' R
F' U' B F2 L' F' U2
B U' B U2 F' U R
B U' B' U2 F' U R
B U' B2 U2 F' U R
R2 D2 U' B U' F' R'
