U2 D' F' B' L U'
U2 D' B' L F' U'
U2 D' B' F' L U'
D' U2 F' B' L U'
D' U2 B' L F' U'
D' U2 B' F' L U'
U2 F' D' B' L U'
U2 F' B' L' U' F
U2 B' L' F' U' F2
U2 B' F' L' U' F
U2 L F' U B' R' U2
U' L B' U' F' U' L'
U2 L' D F' U' F2 L'
U L' D F L' D R2
U L' D F D L' R2
U L' D F D R2 L'
U2 L' F' L B' U' F2
B' L' F' U2 L U F2
B L' F' B2 R' U' F2
B L' B2 F' R' U' F2
R U L' D F L' R
R U L' D F R L'
D' R U2 B' L F U'
R U2 D' B' L F U'
B2 R2 D F' B R U
B2 R2 D B F' R U
B2 R2 D' F' B R' U
B2 R2 D' B F' R' U
B2 R2 F' D' B R' U
D' R2 B R' U D L2
D' R2 B R' U2 B2 U'
D' R2 B R' D U L2
D' R2 B R' D2 F2 U
D' R2 B U2 B2 L U'
D' R2 B D R' U L2
D' R2 B D2 R' F2 U
D' R2 B D2 F2 R' U
B2 R2 B D F' R U
B U L' F D L2 R2
B U L' F D R2 L2
F U L' D R2 F L'
F U L' D F L' R2
F U L' D F R2 L'
U2 D F B' L' F2 U'
D' U F' B' L U' B
U2 D F' B' U2 R U
D' U B' L F' U' B
D' U B' F' L U' B
U2 D B' F L' F2 U'
U2 D B' F' U2 R U
R D' U2 B' L F U'
U2 D' F B' L F2 U'
R2 D' B R' U D L2
R2 D' B R' U2 B2 U'
R2 D' B R' D U L2
R2 D' B R' D2 F2 U
R2 D' B U2 B2 L U'
R2 D' B D R' U L2
R2 D' B D2 R' F2 U
R2 D' B D2 F2 R' U
U2 D' F' B' L U' D
U2 D' F' B' L U' D'
U2 D' F' B' L U' D2
U2 D' F' B' L D U'
U2 D' F' B' L D' U'
U2 D' F' B' L D2 U'
U2 D' F' B' D L U'
U2 D' F' B' D' L U'
U2 D' F' B' D2 L U'
U D' F' B' L U' B
U2 D' B' L D F' U'
U2 D' B' L D' F' U'
U2 D' B' L D2 F' U'
U2 D' B' L F' U' D
U2 D' B' L F' U' D'
U2 D' B' L F' U' D2
U2 D' B' L F' D U'
U2 D' B' L F' D' U'
U2 D' B' L F' D2 U'
U2 D' B' L' F' L2 U'
U2 D' B' D L F' U'
U2 D' B' D F' L U'
U2 D' B' D' L F' U'
U2 D' B' D' F' L U'
U2 D' B' D2 L F' U'
U2 D' B' D2 F' L U'
U2 D' B' F L F2 U'
U2 D' B' F' L U' D
U2 D' B' F' L U' D'
U2 D' B' F' L U' D2
