B' U' B2 D' F' R
B D L2 D2 F' R
F' D B R' D L2
F' D B D L2 R'
F' D B D R' L2
D' F' B R D L2
D' F' B D L2 R
D' F' B D R L2
D F' B R' D L2
D F' B D L2 R'
D F' B D R' L2
B D' F' D2 L2 R
B D' F' D2 R L2
D2 B D L2 F' R
D2 B D F' L2 R
D2 B D F' R L2
D B D L2 F' R'
D B D F' L2 R'
D B D F' R' L2
D' B F' R D L2
D' B F' D L2 R
D' B F' D R L2
D B F' R' D L2
D B F' D L2 R'
D B F' D R' L2
D' B' U' F' R B2
D' B' U' F' B2 R
D' B' U' B2 F' R
D B' U' F' B2 R'
D B' U' B2 F' R'
D' L U F' B L R
D' L U F' B R L
D' L U B L F' R
D L U F' B L R'
D L U F' B R' L
D' L U B F' L R
D' L U B F' R L
D L U B L F' R'
D L U B F' L R'
D L U B F' R' L
D' L U' F' L' B R
D' L U' F' B L' R
D' L U' F' B R L'
D L U' F' L' B R'
D L U' F' B L' R'
D L U' F' B R' L'
D' L U' B F' L' R
D' L U' B F' R L'
B' L U' B2 D' F' R
D L U' B F' L' R'
D L U' B F' R' L'
B L D L2 D2 F' R
B L D' F' D2 L2 R
B L D' F' D2 R L2
B' L' U' B2 D' F' R
B L' D L2 D2 F' R
B L' D' F' D2 L2 R
B L' D' F' D2 R L2
B' L2 U' B2 D' F' R
B L2 D L2 D2 F' R
B L2 D' F' D2 L2 R
B L2 D' F' D2 R L2
D' L2 F U F2 B R
D' L2 F U B F2 R
D L2 F U F2 B R'
D L2 F U B R' F2
D L2 F U B F2 R'
D' L2 F' D' L2 B R
D' L2 F' D' B L2 R
D' L2 F' D' B R L2
D' L2 F' B R D' L2
D' L2 F' B D' L2 R
D' L2 F' B D' R L2
D L2 F' B R' D' L2
D L2 F' B D' L2 R'
D L2 F' B D' R' L2
D' L2 B F' R D' L2
D' L2 B F' D' L2 R
D' L2 B F' D' R L2
D L2 B F' R' D' L2
D L2 B F' D' L2 R'
D L2 B F' D' R' L2
L U D F' B L R'
L U D F' B R' L
L U D B L F' R'
L U D B F' L R'
L U D B F' R' L
L U D' F' B L R
L U D' F' B R L
L U D' B L F' R
L U D' B F' L R
L U D' B F' R L
L U F' D B L R'
L U F' D B R' L
B R U F' L' B2 U'
B R U F' B2 L' U'
B R U B2 F' L' U'
L U B L D' F' R
L U B D' L F' R
L U B D' F' L R
L U B D' F' R L
B' R F' R' U' F' B2
B' R F' R' U' B2 F'
L U' D F' L' B R'
L U' D F' B L' R'
L U' D F' B R' L'
L U' D B F' L' R'
L U' D B F' R' L'
L U' D' F' L' B R
L U' D' F' B L' R
L U' D' F' B R L'
L U' D' B F' L' R
L U' D' B F' R L'
L U' F' L' D B R'
L U' F' D L' B R'
L U' F' D B L' R'
L U' F' D B R' L'
L U' B D' F' L' R
L U' B D' F' R L'
L D U F' B L R'
L D U F' B R' L
L D U B L F' R'
L D U B F' L R'
L D U B F' R' L
L D U' F' L' B R'
L D U' F' B L' R'
L D U' F' B R' L'
L' D F L' F2 B R'
L' D F L' B R' F2
L' D F L' B F2 R'
L D U' B F' L' R'
L D U' B F' R' L'
L' D F B L' R' F2
L' D F B L' F2 R'
L' D F B R' L' F2
L2 D F U F2 B R'
L2 D F U B R' F2
L2 D F U B F2 R'
L' D F' B R' D2 L2
L2 D F' B R' D' L2
L2 D F' B D' L2 R'
L2 D F' B D' R' L2
L' D B F L' R' F2
L' D B F L' F2 R'
L' D B F R' L' F2
L' D B F' R' D2 L2
L2 D B F' R' D' L2
L2 D B F' D' L2 R'
L2 D B F' D' R' L2
F' U D B' U' B2 R'
D' U F' B R D L2
D' U F' B D L2 R
D' U F' B D R L2
U' D F' B R' D L2
U' D F' B D L2 R'
U' D F' B D R' L2
U2 D F' B R' D L2
U2 D F' B D L2 R'
U2 D F' B D R' L2
D U F' B R' D L2
D U F' B D L2 R'
D U F' B D R' L2
U D F' B R' D L2
U D F' B D L2 R'
U D F' B D R' L2
U' D B D L2 F' R'
U' D B D F' L2 R'
U' D B D F' R' L2
D2 U B D L2 F' R
D2 U B D F' L2 R
D2 U B D F' R L2
D' U B F' R D L2
U' D B F' R' D L2
D' U B F' D L2 R
D' U B F' D R L2
U' D B F' D L2 R'
U' D B F' D R' L2
U2 D B D L2 F' R'
U2 D B D F' L2 R'
U2 D B D F' R' L2
U2 D B F' R' D L2
D' U B' U' F' R B2
D' U B' U' F' B2 R
U' D B' U' F' B2 R'
U2 D B F' D L2 R'
U2 D B F' D R' L2
D' U B' U' B2 F' R
U' D B' U' B2 F' R'
D U B D L2 F' R'
D U B D F' L2 R'
D U B D F' R' L2
D U B F' R' D L2
D U B F' D L2 R'
D U B F' D R' L2
U D B D L2 F' R'
U D B D F' L2 R'
U D B D F' R' L2
U2 D B' U' F' B2 R'
U2 D B' U' B2 F' R'
U D B F' R' D L2
U D B F' D L2 R'
U D B F' D R' L2
D U B' U' F' B2 R'
D U B' U' B2 F' R'
U D B' U' F' B2 R'
U D B' U' B2 F' R'
F' U B' R F' U' B2
L D' U F' B L R
L D' U F' B R L
B U B2 U' D' F' R
L D' U B L F' R
L D' U B F' L R
L D' U B F' R L
B U B2 D' U' F' R
L D' U' F' L' B R
L D' U' F' B L' R
L D' U' F' B R L'
L D' U' B F' L' R
L D' U' B F' R L'
L2 D' F U F2 B R
L2 D' F U B F2 R
L' D' F' B R D2 L2
L' D' F' B' L R B2
L' D' F' B' L B2 R
L' D' F' B' R L B2
L2 D' F' D' L2 B R
L2 D' F' D' B L2 R
L2 D' F' D' B R L2
L2 D' F' B R D' L2
L2 D' F' B D' L2 R
L2 D' F' B D' R L2
L' D' B F' R D2 L2
L' D' B' L F' R B2
L' D' B' L F' B2 R
U' D' F' B R D L2
D' U' F' B R D L2
L' D' B' L B2 F' R
U' D' F' B D L2 R
U' D' F' B D R L2
D' U' F' B D L2 R
D' U' F' B D R L2
L2 D' B F' R D' L2
L2 D' B F' D' L2 R
L2 D' B F' D' R L2
U2 D' F' B R D L2
U2 D' F' B D L2 R
U2 D' F' B D R L2
L' D' B' F' L R B2
L' D' B' F' L B2 R
L' D' B' F' R L B2
D U' F' B R' D L2
D U' F' B D L2 R'
D U' F' B D R' L2
U D' F' B R D L2
U D' F' B D L2 R
U D' F' B D R L2
D2 U' B D L2 F' R
D2 U' B D F' L2 R
D2 U' B D F' R L2
U' D' B F' R D L2
D' U' B F' R D L2
U' D' B F' D L2 R
U' D' B F' D R L2
D' U' B F' D L2 R
D' U' B F' D R L2
B' U' D' F' D R B2
B' U' D' F' D B2 R
U' D' B' U' F' R B2
U' D' B' U' F' B2 R
U' D' B' U' B2 F' R
D' U' B' U' F' R B2
D' U' B' U' F' B2 R
D' U' B' U' B2 F' R
U2 D' B F' R D L2
U2 D' B F' D L2 R
U2 D' B F' D R L2
D U' B D L2 F' R'
D U' B D F' L2 R'
D U' B D F' R' L2
D U' B F' R' D L2
D U' B F' D L2 R'
D U' B F' D R' L2
U2 D' B' U' F' R B2
U2 D' B' U' F' B2 R
U2 D' B' U' B2 F' R
U D' B F' R D L2
U D' B F' D L2 R
U D' B F' D R L2
D U' B' U' F' B2 R'
D U' B' U' B2 F' R'
U D' B' U' F' R B2
U D' B' U' F' B2 R
U D' B' U' B2 F' R
B' U' F' B D B R'
B' U' B D F' B R'
B' U' B D B F' R'
B' U' B D' F' B R
B' U' B D' B F' R
B' U' B F' D B R'
B' U' B' D' F' R B'
B' U' B' D' F' B' R
B' U' B' D' B' F' R
B' U' B2 D' F' R D
B' U' B2 D' F' R D'
B' U' B2 D' F' R D2
B' U' B2 D' F' D R
B' U' B2 D' F' D' R
B' U' B2 D' F' D2 R
D' U2 F' B R D L2
D' U2 F' B D L2 R
D' U2 F' B D R L2
L2 D2 F' D' L2 B R'
L2 D2 F' D' B L2 R'
L2 D2 F' D' B R' L2
D U2 F' B R' D L2
D U2 F' B D L2 R'
D U2 F' B D R' L2
U' D2 B D L2 F' R
U' D2 B D F' L2 R
U' D2 B D F' R L2
D2 U2 B D L2 F' R
D2 U2 B D F' L2 R
D2 U2 B D F' R L2
D' U2 B F' R D L2
D' U2 B F' D L2 R
D' U2 B F' D R L2
U2 D2 B D L2 F' R
U2 D2 B D F' L2 R
U2 D2 B D F' R L2
D' U2 B' U' F' R B2
D' U2 B' U' F' B2 R
D' U2 B' U' B2 F' R
D U2 B D L2 F' R'
D U2 B D F' L2 R'
D U2 B D F' R' L2
D U2 B F' R' D L2
D U2 B F' D L2 R'
D U2 B F' D R' L2
U D2 B D L2 F' R
U D2 B D F' L2 R
U D2 B D F' R L2
D U2 B' U' F' B2 R'
D U2 B' U' B2 F' R'
L2 F U F2 D B R'
B D L D2 L F' R
B D L D2 F' L R
B D L D2 F' R L
B D L' D2 L' F' R
B D L2 D2 F' R D
B D L2 D2 F' R D'
B D L2 D2 F' R D2
B D L2 D2 F' D R
B D L2 D2 F' D' R
B D L2 D2 F' D2 R
B D L2 F' B R' B'
B D L2 B F' R' B'
D' F B' U' F2 R B2
D' F B' U' F2 B2 R
D' F B' U' B2 F2 R
D F B R' F2 D L2
F' D U B' U' B2 R'
D F B' U' F2 B2 R'
D F B' U' B2 R' F2
D F B' U' B2 F2 R'
F2 D F B R' D L2
F2 D F B D L2 R'
F2 D F B D R' L2
B D F' L2 B R' B'
B D F' B R' B' L2
F' D B L R' D L2
F' D B L D L2 R'
F' D B L D R' L2
F' D B L' R' D L2
F' D B L' D L2 R'
F' D B L' D R' L2
F' D B L2 R' D L2
F' D B L2 D L2 R'
F' D B L2 D R' L2
F' D B R' L D L2
F' D B R' L' D L2
F' D B R' L2 D L2
F' D B R' U B2 U'
F' D B R' D L2 D
F' D B R' D L2 D'
F' D B R' D L2 D2
F' D B R2 D L2 R
F' D B R2 D R L2
F2 D B R' D F L2
F2 D B R' F D L2
F' D B D L2 R' D
F' D B D L2 R' D'
F' D B D L2 R' D2
F' D B D L2 D R'
F' D B D L2 D' R'
F' D B D L2 D2 R'
F' D B D R' L2 D
F' D B D R' L2 D'
F' D B D R' L2 D2
B2 D B U' F' R' B2
F' D B D2 R' D' L2
F2 D B D R' F L2
F2 D B D F L2 R'
F2 D B D F R' L2
F2 D B F R' D L2
F2 D B F D L2 R'
F2 D B F D R' L2
F2 D B' U' F B2 R'
F2 D B' U' B2 R' F
F2 D B' U' B2 F R'
B D B F' R' B' L2
D' F' U B' U' R B2
D' F' U B' U' B2 R
R F' R' B' U' F' B2
R F' R' B' U' B2 F'
D F' U B' U' B2 R'
U' F' D B R' D L2
U' F' D B D L2 R'
U' F' D B D R' L2
B D' L F' D2 L2 R
B D' L F' D2 R L2
D' F' D B R D L2
D' F' D B D L2 R
D' F' D B D R L2
U2 F' D B R' D L2
U2 F' D B D L2 R'
U2 F' D B D R' L2
B D' L' F' D2 L2 R
B D' L' F' D2 R L2
L2 F' D B D2 L2 R'
L2 F' D B D2 R' L2
D2 F' D' B R' D L2
D2 F' D' B D L2 R'
D2 F' D' B D R' L2
D' F' D' B R D L2
D' F' D' B D L2 R
D' F' D' B D R L2
L2 F' D' L2 D2 B R'
B D' L2 F' D2 L2 R
B D' L2 F' D2 R L2
U F' D B R' D L2
U F' D B D L2 R'
U F' D B D R' L2
D' F' D2 B R D L2
D' F' D2 B D L2 R
D' F' D2 B D R L2
D' F' B L R D L2
D' F' B L D L2 R
D' F' B L D R L2
D' F' B L' R D L2
D' F' B L' D L2 R
D' F' B L' D R L2
D' F' B L2 R D L2
D' F' B L2 D L2 R
D' F' B L2 D R L2
D' F' B R L D L2
D' F' B R L' D L2
D' F' B R L2 D L2
D' F' B R U B2 U'
D' F' B R D L2 D
D' F' B R D L2 D'
D' F' B R D L2 D2
D' F' B R2 D L2 R'
D' F' B R2 D R' L2
D' F' B U B2 U' R
D' F' B D L2 R D
D' F' B D L2 R D'
D' F' B D L2 R D2
D' F' B D L2 D R
D' F' B D L2 D' R
D' F' B D L2 D2 R
D' F' B D R L2 D
D' F' B D R L2 D'
D' F' B D R L2 D2
B' D' R2 U' R2 F' R
D' F' B D2 R D' L2
D' F' B' R B2 D L2
D F' B L R' D L2
D F' B L D L2 R'
D F' B L D R' L2
D F' B L' R' D L2
D F' B L' D L2 R'
D F' B L' D R' L2
D F' B L2 R' D L2
D F' B L2 D L2 R'
D F' B L2 D R' L2
D F' B R' L D L2
D F' B R' L' D L2
D F' B R' L2 D L2
D F' B R' U B2 U'
D F' B R' D L2 D
D F' B R' D L2 D'
D F' B R' D L2 D2
D F' B R2 D L2 R
D F' B R2 D R L2
D' F' B2 R D B' L
D F' B D L2 R' D
D F' B D L2 R' D'
D F' B D L2 R' D2
D F' B D L2 D R'
D F' B D L2 D' R'
D F' B D L2 D2 R'
D F' B D R' L2 D
D F' B D R' L2 D'
D F' B D R' L2 D2
D F' B D2 R' D' L2
B' D' U' F' D R B2
B' D' U' F' D B2 R
R F' B' R' U' F' B
R F' B' R' U' B F'
B' D' F R2 U' F2 R
B D' F R F2 L' R
B D' F R F2 R L'
B2 D' F' R D B' L
B2 D' F' B' R D L2
B2 D' F' B' D L2 R
B2 D' F' B' D R L2
B D' F' L D2 L2 R
B D' F' L D2 R L2
B D' F' L' D2 L2 R
B D' F' L' D2 R L2
B D' F' L2 D2 L2 R
B D' F' L2 D2 R L2
B D' F' R U2 R U2
B D' F' R F2 L' F2
B D' F' U2 R2 U2 R'
B D' F' D R D L2
B D' F' D' R D' L2
B D' F' D2 L2 R D
B D' F' D2 L2 R D'
B D' F' D2 L2 R D2
B D' F' D2 L2 D R
B D' F' D2 L2 D' R
B D' F' D2 L2 D2 R
B D' F' D2 R L2 D
B D' F' D2 R L2 D'
B D' F' D2 R L2 D2
B2 D' B U' F' R B2
B2 D' B U' F' B2 R
B2 D' B U' B2 F' R
B D' F2 D2 F L2 R
B D' F2 D2 F R L2
B2 D' B' F' R D L2
B2 D' B' F' D L2 R
B2 D' B' F' D R L2
L' F2 D F L' B R'
L' F2 D F B L' R'
L' F2 D F B R' L'
L' F2 D B R' F L'
L' F2 D B F L' R'
L' F2 D B F R' L'
D' F2 B D F L2 R
D' F2 B D F R L2
D F2 B R' D F L2
D F2 B R' F D L2
D F2 B D R' F L2
D F2 B D F L2 R'
D F2 B D F R' L2
D F2 B' U' F B2 R'
D F2 B' U' B2 R' F
D F2 B' U' B2 F R'
D' B L F' R D L2
D' B L F' D L2 R
D' B L F' D R L2
D2 B L' F' D L2 R2
D2 B L' F' D R2 L2
D' B L' F' R D L2
D' B L' F' D L2 R
D' B L' F' D R L2
D B L D L2 F' R'
D B L D F' L2 R'
D B L D F' R' L2
D B L F' R' D L2
D B L F' D L2 R'
D B L F' D R' L2
D' B L2 F' R D L2
D' B L2 F' D L2 R
D' B L2 F' D R L2
D B L' D L2 F' R'
D B L' D F' L2 R'
D B L' D F' R' L2
D B L' F' R' D L2
D B L' F' D L2 R'
D B L' F' D R' L2
D B L2 D L2 F' R'
D B L2 D F' L2 R'
D B L2 D F' R' L2
D B L2 F' R' D L2
D B L2 F' D L2 R'
D B L2 F' D R' L2
B2 D2 B' D L2 F' R
B2 D2 B' D F' L2 R
B2 D2 B' D F' R L2
D' B U B2 U' F' R
U' B D L2 D2 F' R
D2 B D L F' L R
D2 B D L F' R L
D2 B D L2 F' R D
D2 B D L2 F' R D'
D2 B D L2 F' R D2
D2 B D L2 F' D R
D2 B D L2 F' D' R
D2 B D L2 F' D2 R
D' B D L2 D' F' R
D2 B D F' L2 R D
D2 B D F' L2 R D'
D2 B D F' L2 R D2
D2 B D F' L2 D R
D2 B D F' L2 D' R
D2 B D F' L2 D2 R
D2 B D F' R L2 D
D2 B D F' R L2 D'
D2 B D F' R L2 D2
U2 B D L2 D2 F' R
U' B D' F' D2 L2 R
U' B D' F' D2 R L2
D B D L F' L R'
D B D L F' R' L
D B D L2 D F' R'
D B D L2 D' F' R'
D B D L2 D2 F' R'
D B D L2 F R' F2
D B D L2 F' R' D
D B D L2 F' R' D'
D B D L2 F' R' D2
D B D L2 F' D R'
D B D L2 F' D' R'
D B D L2 F' D2 R'
D B D L2 F2 R' F
F' B R U F' B2 U'
F' B R U B2 F' U'
B' F R F' U' F' B2
B' F R F' U' B2 F'
D B D F L2 R' F2
D B D F L2 F2 R'
D B D F R' L2 F2
D B D F R' F2 L2
D B D F' L2 R' D
D B D F' L2 R' D'
D B D F' L2 R' D2
D B D F' L2 D R'
D B D F' L2 D' R'
D B D F' L2 D2 R'
D B D F' R' L2 D
D B D F' R' L2 D'
D B D F' R' L2 D2
D B D F2 R' F L2
U B D L2 D2 F' R
L2 B D' F' R D' L2
U2 B D' F' D2 L2 R
U2 B D' F' D2 R L2
L2 B D' F' D' L2 R
L2 B D' F' D' R L2
F2 B R F D L2 R2
F2 B R F D R2 L2
D B D' F' D2 L2 R'
D B D' F' D2 R' L2
U B D' F' D2 L2 R
U B D' F' D2 R L2
D' B F' L R D L2
D' B F' L D L2 R
D' B F' L D R L2
D' B F' L' R D L2
D' B F' L' D L2 R
D' B F' L' D R L2
D' B F' L2 R D L2
D' B F' L2 D L2 R
D' B F' L2 D R L2
D' B F' R L D L2
D' B F' R L' D L2
D' B F' R L2 D L2
D' B F' R U B2 U'
D' B F' R D L2 D
D' B F' R D L2 D'
D' B F' R D L2 D2
D' B F' R2 D L2 R'
D' B F' R2 D R' L2
D' B F' U B2 U' R
D' B F' D L2 R D
D' B F' D L2 R D'
D' B F' D L2 R D2
D' B F' D L2 D R
D' B F' D L2 D' R
D' B F' D L2 D2 R
D' B F' D R L2 D
D' B F' D R L2 D'
D' B F' D R L2 D2
D' B F' D2 R D' L2
D B F R' F2 D L2
D B F' L R' D L2
D B F' L D L2 R'
D B F' L D R' L2
D' B F2 D F L2 R
D' B F2 D F R L2
D B F' L' R' D L2
D B F' L' D L2 R'
D B F' L' D R' L2
D B F' L2 R' D L2
D B F' L2 D L2 R'
D B F' L2 D R' L2
D B F' R' L D L2
D B F' R' L' D L2
D B F' R' L2 D L2
D B F' R' U B2 U'
D B F' R' D L2 D
D B F' R' D L2 D'
D B F' R' D L2 D2
D B F' R2 D L2 R
D B F' R2 D R L2
D' B' L U' F' R B2
D' B' L U' F' B2 R
D' B' L U' B2 F' R
D B F' D L2 R' D
D B F' D L2 R' D'
D B F' D L2 R' D2
D B F' D L2 D R'
D B F' D L2 D' R'
D B F' D L2 D2 R'
D B F' D R' L2 D
D B F' D R' L2 D'
D B F' D R' L2 D2
D B F' D2 R' D' L2
D B F2 R' D F L2
D B F2 R' F D L2
D B F2 D R' F L2
D' B' L' U' F' R B2
D' B' L' U' F' B2 R
D B F2 D F L2 R'
D B F2 D F R' L2
D' B' L' U' B2 F' R
D2 B' L' F U' F2 B2
D2 B' L' F U' B2 F2
D' B' L2 U' F' R B2
D' B' L2 U' F' B2 R
D' B' L2 U' B2 F' R
F' B D L2 B R' B'
F' B D B R' B' L2
F2 B D' F' R F2 L'
D' B' U F' R B2 L
D B' U L U2 F' B2
D B' U L U2 B2 F'
U' B' U' B2 D' F' R
D' B' U' F' R B2 D
D' B' U' F' R B2 D'
D' B' U' F' R B2 D2
D' B' U' F' R' B2 R2
D' B' U' F' B' R B'
D' B' U' F' B2 R D
D' B' U' F' B2 R D'
D' B' U' F' B2 R D2
D' B' U' F' B2 D R
D' B' U' F' B2 D' R
D' B' U' F' B2 D2 R
D2 B' U' B2 D F' R
D' B' U' B' F' R B'
R2 B' U F' L' B2 U2
D' B' U' B2 F' R D
D' B' U' B2 F' R D'
D' B' U' B2 F' R D2
D' B' U' B2 F' D R
D' B' U' B2 F' D' R
D' B' U' B2 F' D2 R
R2 B' U F' B2 L' U2
R2 B' U B2 F' L' U2
B' F' R F' U' F B2
B' F' R F' U' B2 F
D B' U' R B2 R' F'
U2 B' U' B2 D' F' R
F' B' R F' U' F B2
F' B' R F' U' B2 F
D B' U' F B2 R' F2
D B' U' F' R B2 R'
D B' U' F' R' B2 R'
D B' U' F' R2 B2 R'
D B' U' F' B2 R' D
D B' U' F' B2 R' D'
D B' U' F' B2 R' D2
D B' U' F' B2 D R'
D B' U' F' B2 D' R'
D B' U' F' B2 D2 R'
F2 B' R F' U' F2 B2
F2 B' R F' U' B2 F2
D B' U' F2 B2 R' F
D B' U' B2 D F' R'
D B' U' B2 D' F' R'
D B' U' B2 D2 F' R'
D B' U' B2 F R' F2
D B' U' B2 F' R' D
D B' U' B2 F' R' D'
D B' U' B2 F' R' D2
D B' U' B2 F' D R'
D B' U' B2 F' D' R'
D B' U' B2 F' D2 R'
D B' U' B2 F2 R' F
B F' R U F' B2 U'
B F' R U B2 F' U'
U B' U' B2 D' F' R
F B' R F' U' F' B2
F B' R F' U' B2 F'
D' B' F U' F2 R B2
D' B' F U' F2 B2 R
D' B' F U' B2 F2 R
D' B' F' R B2 D L2
D B' F U' F2 B2 R'
D B' F U' B2 R' F2
D B' F U' B2 F2 R'
B F' D L2 B R' B'
D B' F2 U' F B2 R'
D B' F2 U' B2 R' F
D B' F2 U' B2 F R'
R B' F' R' U' F' B
R B' F' R' U' B F'
B F' D B R' B' L2
B' F2 R F' U' F2 B2
B' F2 R F' U' B2 F2
B F2 R F D L2 R2
B F2 R F D R2 L2
L' B2 D' F' R B' L
L' B2 D' F' B' L R
L' B2 D' F' B' R L
L' B2 D' B' L F' R
L' B2 D' B' F' L R
L' B2 D' B' F' R L
D' B2 F' R D B' L
B F2 D' F' R F2 L'
