D' L2 B' R2 U F'
D' L2 B' U' B U2
F2 R2 U F2 B U
F2 R2 U B F2 U
D' U L2 B' U L2
U2 D R2 F U' F'
F2 U F2 U2 F U'
U D' L2 B' U L2
F2 U' D' F' U' L2
F2 U' D2 F' B2 U'
F2 U' D2 B2 F' U'
F2 U' F' U2 F' U
U2 D2 F U' F' B2
U2 D2 F U' B2 F'
D2 U2 F U' F' B2
D2 U2 F U' B2 F'
D U2 R2 F U' F'
U2 F L2 U' F' B'
U2 F L2 U' B' F'
U2 F U F U2 F2
U2 F U' F' D2 B2
F2 D R2 U B U
B2 D' L2 R2 B' U
B2 D' L2 B' R2 U
B D' L2 B' U F
B2 D' R2 L2 B' U
B2 D' R2 L2 B' U
F2 D' U' F' U' L2
L2 F2 U F2 B' U
U' F2 U' F' U' F
L2 F2 U B' F2 U
F2 D2 U' F' B2 U'
F2 D2 U' B2 F' U'
D' B L2 B' U F
L2 B' U' F2 B U2
L2 B' U' B F2 U2
F2 L R2 U F2 B U
F2 L R2 U B F2 U
D' L U L B' U L'
F2 L U F2 U2 F U'
F2 L U' D' F' U' L2
F2 L U' D2 F' B2 U'
F2 L U' D2 B2 F' U'
F2 L U' F' U2 F' U
F2 L D R2 U B U
F' L D F' R U2 R
F2 L D' U' F' U' L2
F2 L D2 U' F' B2 U'
F2 L D2 U' B2 F' U'
L2 R F2 U F2 B' U
L2 R F2 U B' F2 U
L2 R B' U' F2 B U2
L2 R B' U' B F2 U2
F2 L' R2 U F2 B U
F2 L' R2 U B F2 U
F2 L' U F2 U2 F U'
F2 L' U' D' F' U' L2
F2 L' U' D2 F' B2 U'
F2 L' U' D2 B2 F' U'
F2 L' U' F' U2 F' U
F2 L' D R2 U B U
L2 R' F2 U F2 B' U
L2 R' F2 U B' F2 U
F2 L' D' U' F' U' L2
F2 L' D2 U' F' B2 U'
F2 L' D2 U' B2 F' U'
L2 R' B' U' F2 B U2
L2 R' B' U' B F2 U2
F' L' F' U' F' U' L'
D' L2 R B' R2 U F'
D' L2 R B' U' B U2
D' L2 R' B' R2 U F'
D' L2 R' B' U' B U2
F2 L2 R2 U F2 B U
F2 L2 R2 U B F2 U
D' L2 R2 B' R2 U F'
D' L2 R2 B' U' B U2
R' L2 F2 U F2 B' U
R' L2 F2 U B' F2 U
F2 L2 U F2 U2 F U'
L2 R2 F2 U F2 B' U
L2 R2 F2 U B' F2 U
R2 L2 F2 U F2 B' U
R2 L2 F2 U B' F2 U
R L2 F2 U F2 B' U
R L2 F2 U B' F2 U
F2 L2 U' D' F' U' L2
F2 L2 U' D2 F' B2 U'
F2 L2 U' D2 B2 F' U'
F2 L2 U' F' U2 F' U
D' L2 U2 L2 F U' F'
R' L2 B' U' F2 B U2
R' L2 B' U' B F2 U2
F L2 U2 F' U F B'
F L2 U2 F' U B' F
L2 R2 B' U' F2 B U2
L2 R2 B' U' B F2 U2
R2 L2 B' U' F2 B U2
R2 L2 B' U' B F2 U2
F2 L2 D R2 U B U
R L2 B' U' F2 B U2
R L2 B' U' B F2 U2
D' L2 D B' R2 U F'
D' L2 D B' U' B U2
B2 L2 D' R2 B' L2 U
F2 L2 D' U' F' U' L2
D' L2 D' B' R2 U F'
D' L2 D' B' U' B U2
B2 L2 D' B' L2 R2 U
B2 L2 D' B' R2 L2 U
U L2 D' B' L2 F U
F2 L2 D2 U' F' B2 U'
F2 L2 D2 U' B2 F' U'
D' L2 D2 B' R2 U F'
D' L2 D2 B' U' B U2
B2 L2 D2 B' U F2 B'
B2 L2 D2 B' U B' F2
B L2 D2 B' U F B'
B L2 D2 B' U B' F
